Row,Experiment,ID,Plant,Microbes,Treatment,Bio_rep,Rep,Time_Point,Nb,Root_Length
72,Sugars,#REF!,Col0,MF,3OMG,Rep 1,22,D07,NA,11
73,Sugars,#REF!,Col0,MF,3OMG,Rep 1,23,D07,NA,17
74,Sugars,#REF!,Col0,MF,3OMG,Rep 1,24,D07,NA,16
75,Sugars,#REF!,Col0,MF,3OMG,Rep 1,25,D07,NA,17
76,Sugars,#REF!,Col0,MF,3OMG,Rep 1,26,D07,NA,16
77,Sugars,#REF!,Col0,MF,3OMG,Rep 1,27,D07,NA,3
78,Sugars,#REF!,Col0,MF,3OMG,Rep 1,28,D07,NA,13
79,Sugars,#REF!,Col0,MF,3OMG,Rep 1,29,D07,NA,16
80,Sugars,#REF!,Col0,MF,3OMG,Rep 1,30,D07,NA,17
81,Sugars,#REF!,Col0,MF,3OMG,Rep 1,31,D07,NA,3
82,Sugars,#REF!,Col0,MF,3OMG,Rep 1,32,D07,NA,16
83,Sugars,#REF!,Col0,MF,3OMG,Rep 1,33,D07,NA,17
84,Sugars,#REF!,Col0,MF,3OMG,Rep 1,34,D07,NA,18
85,Sugars,#REF!,Col0,MF,3OMG,Rep 1,35,D07,NA,6
86,Sugars,#REF!,Col0,MF,3OMG,Rep 1,36,D07,NA,16
87,Sugars,#REF!,Col0,MF,3OMG,Rep 1,37,D07,NA,14
88,Sugars,#REF!,Col0,MF,3OMG,Rep 1,38,D07,NA,12
89,Sugars,#REF!,Col0,MF,3OMG,Rep 1,39,D07,NA,6
90,Sugars,#REF!,Col0,MF,3OMG,Rep 1,40,D07,NA,13
91,Sugars,#REF!,Col0,MF,3OMG,Rep 1,41,D07,NA,4
92,Sugars,#REF!,Col0,MF,3OMG,Rep 1,42,D07,NA,3
93,Sugars,#REF!,Col0,MF,3OMG,Rep 1,43,D07,NA,15
94,Sugars,#REF!,Col0,MF,3OMG,Rep 1,44,D07,NA,4
95,Sugars,#REF!,Col0,MF,3OMG,Rep 1,45,D07,NA,12
96,Sugars,#REF!,Col0,MF,3OMG,Rep 1,46,D07,NA,11
97,Sugars,#REF!,Col0,MF,3OMG,Rep 1,47,D07,NA,3
98,Sugars,#REF!,Col0,MF,3OMG,Rep 1,48,D07,NA,3
99,Sugars,#REF!,Col0,MF,3OMG,Rep 1,49,D07,NA,7
100,Sugars,#REF!,Col0,MF,3OMG,Rep 1,50,D07,NA,11
101,Sugars,#REF!,HXK1,MF,Water,Rep 1,1,D07,NA,6
102,Sugars,#REF!,HXK1,MF,Water,Rep 1,2,D07,NA,10
103,Sugars,#REF!,HXK1,MF,Water,Rep 1,3,D07,NA,14
104,Sugars,#REF!,HXK1,MF,Water,Rep 1,4,D07,NA,1
105,Sugars,#REF!,HXK1,MF,Water,Rep 1,5,D07,NA,0.98
106,Sugars,#REF!,HXK1,MF,Water,Rep 1,6,D07,NA,2
107,Sugars,#REF!,HXK1,MF,Water,Rep 1,7,D07,NA,5
108,Sugars,#REF!,HXK1,MF,Water,Rep 1,8,D07,NA,2
109,Sugars,#REF!,HXK1,MF,Water,Rep 1,9,D07,NA,13
110,Sugars,#REF!,HXK1,MF,Water,Rep 1,10,D07,NA,15
111,Sugars,#REF!,HXK1,MF,Water,Rep 1,11,D07,NA,3
112,Sugars,#REF!,HXK1,MF,Water,Rep 1,12,D07,NA,8
113,Sugars,#REF!,HXK1,MF,Water,Rep 1,13,D07,NA,5
114,Sugars,#REF!,HXK1,MF,Water,Rep 1,14,D07,NA,9
115,Sugars,#REF!,HXK1,MF,Water,Rep 1,15,D07,NA,2
116,Sugars,#REF!,HXK1,MF,Water,Rep 1,16,D07,NA,1
117,Sugars,#REF!,HXK1,MF,Water,Rep 1,17,D07,NA,1
118,Sugars,#REF!,HXK1,MF,Water,Rep 1,18,D07,NA,0.85
119,Sugars,#REF!,HXK1,MF,Water,Rep 1,19,D07,NA,3
120,Sugars,#REF!,HXK1,MF,Water,Rep 1,20,D07,NA,4
121,Sugars,#REF!,HXK1,MF,Water,Rep 1,21,D07,NA,1
122,Sugars,#REF!,HXK1,MF,Water,Rep 1,22,D07,NA,1
123,Sugars,#REF!,HXK1,MF,Water,Rep 1,23,D07,NA,10
124,Sugars,#REF!,HXK1,MF,Water,Rep 1,24,D07,NA,3
125,Sugars,#REF!,HXK1,MF,Water,Rep 1,25,D07,NA,1
126,Sugars,#REF!,HXK1,MF,Water,Rep 1,26,D07,NA,12
127,Sugars,#REF!,HXK1,MF,Water,Rep 1,27,D07,NA,7
128,Sugars,#REF!,HXK1,MF,Water,Rep 1,28,D07,NA,4
129,Sugars,#REF!,HXK1,MF,Water,Rep 1,29,D07,NA,2
130,Sugars,#REF!,HXK1,MF,Water,Rep 1,30,D07,NA,1
131,Sugars,#REF!,HXK1,MF,Water,Rep 1,31,D07,NA,6
132,Sugars,#REF!,HXK1,MF,Water,Rep 1,32,D07,NA,1
133,Sugars,#REF!,HXK1,MF,Water,Rep 1,33,D07,NA,2
134,Sugars,#REF!,HXK1,MF,Water,Rep 1,34,D07,NA,4
135,Sugars,#REF!,HXK1,MF,Water,Rep 1,35,D07,NA,7
136,Sugars,#REF!,HXK1,MF,Water,Rep 1,36,D07,NA,0.96
137,Sugars,#REF!,HXK1,MF,Water,Rep 1,37,D07,NA,1
138,Sugars,#REF!,HXK1,MF,Water,Rep 1,38,D07,NA,4
139,Sugars,#REF!,HXK1,MF,Water,Rep 1,39,D07,NA,5
140,Sugars,#REF!,HXK1,MF,Water,Rep 1,40,D07,NA,6
141,Sugars,#REF!,HXK1,MF,Water,Rep 1,41,D07,NA,6
142,Sugars,#REF!,HXK1,MF,Water,Rep 1,42,D07,NA,6
143,Sugars,#REF!,HXK1,MF,Water,Rep 1,43,D07,NA,1
144,Sugars,#REF!,HXK1,MF,Water,Rep 1,44,D07,NA,10
145,Sugars,#REF!,HXK1,MF,Water,Rep 1,45,D07,NA,5
146,Sugars,#REF!,HXK1,MF,Water,Rep 1,46,D07,NA,7
147,Sugars,#REF!,HXK1,MF,Water,Rep 1,47,D07,NA,8
148,Sugars,#REF!,HXK1,MF,Water,Rep 1,48,D07,NA,3
149,Sugars,#REF!,HXK1,MF,Water,Rep 1,49,D07,NA,10
150,Sugars,#REF!,HXK1,MF,Water,Rep 1,50,D07,NA,10
151,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,1,D07,NA,11
152,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,2,D07,NA,3
153,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,3,D07,NA,1
154,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,4,D07,NA,5
155,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,5,D07,NA,9
156,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,6,D07,NA,10
157,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,7,D07,NA,11
158,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,8,D07,NA,2
159,Sugars,#REF!,HXK1,MF,Water,Rep 1,9,D07,NA,3
160,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,10,D07,NA,1
161,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,11,D07,NA,9
162,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,12,D07,NA,12
163,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,13,D07,NA,5
164,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,14,D07,NA,9
165,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,15,D07,NA,1
166,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,16,D07,NA,1
167,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,17,D07,NA,3
168,Sugars,#REF!,HXK1,MF,Water,Rep 1,18,D07,NA,3
169,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,19,D07,NA,14
170,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,20,D07,NA,13
171,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,21,D07,NA,9
172,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,22,D07,NA,5
173,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,23,D07,NA,10
174,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,24,D07,NA,2
175,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,25,D07,NA,2
176,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,26,D07,NA,0.96
177,Sugars,#REF!,HXK1,MF,Water,Rep 1,27,D07,NA,10
178,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,28,D07,NA,9
179,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,29,D07,NA,11
180,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,30,D07,NA,3
181,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,31,D07,NA,13
182,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,32,D07,NA,2
183,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,33,D07,NA,2
184,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,34,D07,NA,6
185,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,35,D07,NA,6
186,Sugars,#REF!,HXK1,MF,Water,Rep 1,36,D07,NA,10
187,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,37,D07,NA,9
188,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,38,D07,NA,7
189,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,39,D07,NA,0.92
190,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,40,D07,NA,7
191,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,41,D07,NA,10
192,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,42,D07,NA,2
193,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,43,D07,NA,7
194,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,44,D07,NA,10
195,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,45,D07,NA,11
196,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,46,D07,NA,3
197,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,47,D07,NA,5
198,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,48,D07,NA,2
199,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,49,D07,NA,3
200,Sugars,#REF!,HXK1,MF,3OMG,Rep 1,50,D07,NA,5
