,Time,Media,Plate,Well,Sample,Strain,Strain2,Phylum,Class,Order,Family,Genus,Phylum_alternative,OD600
1593,T1W,3OMG,P2.2,E9,S72,R685,Root685,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,#REF!,Alphaproteobacteria,0.1021
1594,T1W,3OMG,P2.2,E10,S73,R695,Root695,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Alphaproteobacteria,0.114100002
1595,T1W,3OMG,P2.2,E11,S74,R700,Root700,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,#REF!,Alphaproteobacteria,0.1074
1596,T1W,3OMG,P2.2,E12,S75,R708,Root708,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.091200002
1597,T1W,Glucose,P2.2,F1,S76,R901,Root901,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.084700003
1598,T1W,Glucose,P2.2,F2,S77,R918,Root918,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,#REF!,Actinobacteria,0.202600002
1599,T1W,Glucose,P2.2,F3,S78,R930,Root930,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,#REF!,Actinobacteria,0.1294
1600,T1W,Glucose,P2.2,F4,S79,R935,Root935,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.108000003
1601,T1W,Glucose,P2.2,F5,S80,R1203,Root1203,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.163000003
1602,T1W,Glucose,P2.2,F6,S81,R1212,Root1212,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.109700002
1603,T1W,3OMG,P2.2,F7,S76,R901,Root901,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.086400002
1604,T1W,3OMG,P2.2,F8,S77,R918,Root918,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,#REF!,Actinobacteria,0.0977
1605,T1W,3OMG,P2.2,F9,S78,R930,Root930,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,#REF!,Actinobacteria,0.100599997
1606,T1W,3OMG,P2.2,F10,S79,R935,Root935,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes,0.105899997
1607,T1W,3OMG,P2.2,F11,S80,R1203,Root1203,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.103600003
1608,T1W,3OMG,P2.2,F12,S81,R1212,Root1212,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.088500001
1609,T1W,Glucose,P2.2,G1,S82,R1220,Root1220,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.097199999
1610,T1W,Glucose,P2.2,G2,S83,R1240,Root1240,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Alphaproteobacteria,0.160300002
1611,T1W,Glucose,P2.2,G3,S84,R1252,Root1252,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Alphaproteobacteria,0.306899995
1612,T1W,Glucose,P2.2,G4,S85,R1280,Root1280,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Gammaproteobacteria,0.105700001
1613,T1W,Glucose,P2.2,G5,S86,R1294,Root1294,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Alphaproteobacteria,0.097000003
1614,T1W,Glucose,P2.2,G6,S87,R1295,Root1295,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,0.155699998
1615,T1W,3OMG,P2.2,G7,S82,R1220,Root1220,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.095600002
1616,T1W,3OMG,P2.2,G8,S83,R1240,Root1240,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Alphaproteobacteria,0.1105
1617,T1W,3OMG,P2.2,G9,S84,R1252,Root1252,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Alphaproteobacteria,0.236699998
1618,T1W,3OMG,P2.2,G10,S85,R1280,Root1280,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Gammaproteobacteria,0.117799997
1619,T1W,3OMG,P2.2,G11,S86,R1294,Root1294,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Alphaproteobacteria,0.0955
1620,T1W,3OMG,P2.2,G12,S87,R1295,Root1295,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Actinobacteria,0.0858
