"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","GeneID"
"1",45.4739761686623,0.172421752354904,0.255581597103086,0.674625068116149,0.499914002195132,0.66864389084034,"3OMG_F16_vs_3OMG_MF","AT1G01010"
"2",40.4060176241533,-0.467745302654684,0.299629694992587,-1.56107792542477,0.118505365785862,0.262439861633658,"3OMG_F16_vs_3OMG_MF","AT1G01020"
"3",17.5030107017866,-0.288773739538457,0.391999298719158,-0.736669020791653,0.461323650437378,0.636073648521569,"3OMG_F16_vs_3OMG_MF","AT1G01030"
"4",253.338410404795,0.436317666232384,0.195346610317734,2.23355637204407,0.025512277258845,0.089530215892396,"3OMG_F16_vs_3OMG_MF","AT1G01040"
"5",295.013941251758,0.166955039140792,0.143555853066814,1.16299708840912,0.244830683734153,0.424212704958166,"3OMG_F16_vs_3OMG_MF","AT1G01050"
"6",113.696205702694,-1.01956305161583,0.199965137731611,-5.09870402001905,3.41986802593938e-07,1.28279386997083e-05,"3OMG_F16_vs_3OMG_MF","AT1G01060"
"7",15.815016529755,0.868846112024622,0.444109407597187,1.95637853457199,0.0504205788951233,0.145370645741766,"3OMG_F16_vs_3OMG_MF","AT1G01070"
"8",625.271425491455,0.076821528419344,0.104318549335419,0.736412928561126,0.461479439043217,0.636147816909991,"3OMG_F16_vs_3OMG_MF","AT1G01080"
"9",1583.39655671287,-0.311136625810665,0.12060819456207,-2.57973039842281,0.00988774755856212,0.0459803645491512,"3OMG_F16_vs_3OMG_MF","AT1G01090"
"10",1136.84064784786,-1.1834134774678,0.269949726156359,-4.38382914595865,1.16611242092451e-05,0.000255393313185866,"3OMG_F16_vs_3OMG_MF","AT1G01100"
"11",26.5748573090889,0.652860327142518,0.335762813829303,1.94440926824738,0.0518461170925537,0.148219265498464,"3OMG_F16_vs_3OMG_MF","AT1G01110"
"12",469.468193861532,-0.208234419948647,0.129817198557281,-1.60405880162916,0.108701091884481,0.247475490116039,"3OMG_F16_vs_3OMG_MF","AT1G01120"
"13",9.13620831888077,-0.808220859104421,0.67979553196027,-1.18891758051693,0.234472101311461,0.411687080787488,"3OMG_F16_vs_3OMG_MF","AT1G01130"
"14",298.320521464918,-0.481287941795724,0.16235044814637,-2.96450023569883,0.00303175010824511,0.0192380028753542,"3OMG_F16_vs_3OMG_MF","AT1G01140"
"15",89.7706618999115,-0.0897844681910777,0.22475408850496,-0.399478687076681,0.689540524765058,0.815074163298822,"3OMG_F16_vs_3OMG_MF","AT1G01160"
"16",111.8160368135,-0.11328119398291,0.250098405018978,-0.452946487101,0.650587275443847,0.787109475731287,"3OMG_F16_vs_3OMG_MF","AT1G01170"
