	locus_name	symbol	full_name
1	18S RRNA	18S RRNA	NULL
2	25S RRNA	25S RRNA	NULL
3	5.8S RRNA	5.8S RRNA	NULL
4	AAN	AAN	ANOTHER ANDANTE
5	AAR1	AAR1	ALLYL ALCOHOL RESISTANT 1
6	AAR2	AAR2	ALLYL ALCOHOL RESISTANT 2
7	ACL1	ACL1	ACAULIS 1
8	ACL2	ACL2	ACAULIS 2
9	ACL3	ACL3	ACAULIS 3
10	ACL4	ACL4	ACAULIS 4
11	ADD1	ADD1	ARRESTED DEVELOPMENT 1
12	ADD2	ADD2	ARRESTED DEVELOPMENT 2
13	ADD3	ADD3	ARRESTED DEVELOPMENT 3
14	ADE1	ADE1	ABA DEREGULATED GENE EXPRESSION 1
15	AGE1	AGE1	AUXIN ALTERED GENE EXPRESSION 1
16	AGE2	AGE2	AUXIN ALTERED GENE EXPRESSION 2
17	AGI1	AGI1	ABERRANT GST1 INDUCTION
18	AHR1	AHR1	ALTERED HYDROTROPIC RESPONSE 1
19	AK2	AK2	ASPARTATE KINASE 2
20	ALB2	ALB2	ALBINA 2
21	ALB2	M4-6-18	NULL
22	ALF3	ALF3	ABERRANT LATERAL ROOT FORMATION 3
23	ALI	ALI	ALIEN
24	ALR-104	ALR-104	ALUMINUM RESISTANT 104
25	ALR-128	ALR-128	ALUMINUM RESISTANT 128
26	ALS2	ALS2	ALUMINUM SENSITIVE 2
27	ALS4	ALS4	ALUMINUM SENSITIVE 4
28	ALS5	ALS5	ALUMINUM SENSITIVE 5
29	ALS7	ALS7	ALUMINUM SENSITIVE 7
30	AMOS2	AMOS2	ammonium overly sensitive 2
31	AND	AND	ANDANTE
32	ANL1	ANL1	ANTHOCYANINLESS 1
33	ARA1	Ara1	Ara1
34	ARA2	ARA2	NULL
35	ARC10	ARC10	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 10
36	ARC4	ARC4	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 4
37	ARC7	ARC7	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 7
38	ARC8	ARC8	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 8
39	ARC9	ARC9	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 9
40	ARP1	ARP1	ALTERED RNASE PROFILES 1
41	ARS1	ARS1	ARSENIC RESISTANCE 1
42	ASC1	ASC1	ACCELERATION OF SYMPTOMS BY CAMV N7 1
43	AT1G01010	ANAC001	NAC domain containing protein 1
44	AT1G01010	NAC001	NAC domain containing protein 1
45	AT1G01010	NTL10	NULL
46	AT1G01020	ARV1	NULL
47	AT1G01030	NGA3	NGATHA3
48	AT1G01040	ASU1	ABNORMAL SUSPENSOR 1
49	AT1G01040	ATDCL1	DICER-LIKE 1
50	AT1G01040	CAF	CARPEL FACTORY
51	AT1G01040	DCL1	dicer-like 1
52	AT1G01040	EMB60	EMBRYO DEFECTIVE 60
53	AT1G01040	EMB76	EMBRYO DEFECTIVE 76
54	AT1G01040	SIN1	SHORT INTEGUMENTS 1
55	AT1G01040	SUS1	SUSPENSOR 1
56	AT1G01046	MIR838A	microRNA838A
57	AT1G01050	AtPPa1	pyrophosphorylase 1
58	AT1G01050	PPa1	pyrophosphorylase 1
59	AT1G01060	LHY	LATE ELONGATED HYPOCOTYL
60	AT1G01060	LHY1	LATE ELONGATED HYPOCOTYL 1
61	AT1G01070	UMAMIT28	Usually multiple acids move in and out Transporters 28
62	AT1G01080	CP28B	CHLOROPLAST RNA BINDING PROTEIN 28B
63	AT1G01090	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
64	AT1G01100	P1w	Ribosomal Protein P1w
65	AT1G01100	RPP1.1	RPP1 co-orthologous gene 1
66	AT1G01100	RPP1A	60S acidic ribosomal protein P1-1
67	AT1G01110	IQD18	IQ-domain 18
68	AT1G01120	KCS1	3-ketoacyl-CoA synthase 1
69	AT1G01140	CIPK9	CBL-interacting protein kinase 9
70	AT1G01140	PKS6	PROTEIN KINASE 6
71	AT1G01140	SnRK3.12	SNF1-RELATED PROTEIN KINASE 3.12
72	AT1G01160	GIF2	GRF1-interacting factor 2
73	AT1G01183	MIR165	MICRORNA 165
74	AT1G01183	MIR165A	microRNA165A
75	AT1G01184	miPEP165a	miPEP165a
76	AT1G01190	CYP78A8	"cytochrome P450, family 78, subfamily A, polypeptide 8"
77	AT1G01200	ATRAB-A3	ARABIDOPSIS RAB GTPASE HOMOLOG A3
78	AT1G01200	ATRABA3	RAB GTPase homolog A3
79	AT1G01200	RABA3	RAB GTPase homolog A3
80	AT1G01220	AtFKGP	Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase
81	AT1G01220	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
82	AT1G01230	AtORM1	NULL
83	AT1G01230	ORM1	Orosomucoid-like 1
84	AT1G01260	bHLH013	NULL
85	AT1G01260	bHLH13	NULL
86	AT1G01260	JAM2	Jasmonate Associated MYC2 LIKE 2
87	AT1G01280	CYP703	NULL
88	AT1G01280	CYP703A2	"cytochrome P450, family 703, subfamily A, polypeptide 2"
89	AT1G01290	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
90	AT1G01320	FLL2	FLOURY ENDOSPERM LIKE 2
91	AT1G01320	REC1	REDUCED CHLOROPLAST COVERAGE
92	AT1G01335	AREP1	auxin-responsive endogenous polypeptide 1
93	AT1G01340	ACBK1	NULL
94	AT1G01340	ATCNGC10	cyclic nucleotide gated channel 10
95	AT1G01340	CNGC10	cyclic nucleotide gated channel 10
96	AT1G01360	PYL9	PYRABACTIN RESISTANCE 1-LIKE 9
97	AT1G01360	RCAR1	regulatory component of ABA receptor 1
98	AT1G01370	CENH3	CENTROMERIC HISTONE H3
99	AT1G01370	HTR12	NULL
100	AT1G01380	ETC1	ENHANCER OF TRY AND CPC 1
101	AT1G01410	APUM22	pumilio 22
102	AT1G01410	PUM22	pumilio 22
103	AT1G01420	UGT72B3	UDP-glucosyl transferase 72B3
104	AT1G01430	MOAT3	mannan O-acetyltransferase 3
105	AT1G01430	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
106	AT1G01450	MLKL3	NULL
107	AT1G01460	ATPIPK11	NULL
108	AT1G01460	PIP5K10	NULL
109	AT1G01460	PIPK11	NULL
110	AT1G01470	AtLEA14	Arabidopsis thaliana Late Embryogenesis abundant 14
111	AT1G01470	LEA1	NULL
112	AT1G01470	LEA14	LATE EMBRYOGENESIS ABUNDANT 14
113	AT1G01470	LSR3	LIGHT STRESS-REGULATED 3
114	AT1G01480	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
115	AT1G01480	AT-ACC2	NULL
116	AT1G01490	AtHMP01	Heavy Metal Protein 1
117	AT1G01510	AN	ANGUSTIFOLIA
118	AT1G01510	DOQ	DETORQUEO
119	AT1G01520	ASG4	ALTERED SEED GERMINATION 4
120	AT1G01520	REV3	REVEILLE 3
121	AT1G01530	AGL28	AGAMOUS-like 28
122	AT1G01550	BPS1	BYPASS 1
123	AT1G01560	ATMPK11	MAP kinase 11
124	AT1G01560	MPK11	MAP kinase 11
125	AT1G01580	ATFRO2	FERRIC REDUCTION OXIDASE 2
126	AT1G01580	FRD1	FERRIC CHELATE REDUCTASE DEFECTIVE 1
127	AT1G01580	FRO2	ferric reduction oxidase 2
128	AT1G01590	ATFRO1	FERRIC REDUCTION OXIDASE 1
129	AT1G01590	FRO1	ferric reduction oxidase 1
130	AT1G01600	CYP86A4	"cytochrome P450, family 86, subfamily A, polypeptide 4"
131	AT1G01610	ATGPAT4	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4
132	AT1G01610	GPAT4	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4
133	AT1G01620	PIP1;3	PLASMA MEMBRANE INTRINSIC PROTEIN 1;3
134	AT1G01620	PIP1C	plasma membrane intrinsic protein 1C
135	AT1G01620	TMP-B	NULL
136	AT1G01650	ATSPPL4	ARABIDOPSIS THALIANA SIGNAL PEPTIDE PEPTIDASE-LIKE 4
137	AT1G01650	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
138	AT1G01660	PUB55	NULL
139	AT1G01670	PUB56	NULL
140	AT1G01680	ATPUB54	PLANT U-BOX 54
141	AT1G01680	PUB54	plant U-box 54
142	AT1G01690	ATPRD3	ARABIDOPSIS THALIANA PUTATIVE RECOMBINATION INITIATION DEFECTS 3
143	AT1G01690	MER2	NULL
144	AT1G01690	PRD3	putative recombination initiation defects 3
145	AT1G01695	TRM33	TON1 Recruiting Motif 33
146	AT1G01700	ATROPGEF2	NULL
147	AT1G01700	ROPGEF2	ROP (rho of plants) guanine nucleotide exchange factor 2
148	AT1G01720	ANAC002	Arabidopsis NAC domain containing protein 2
149	AT1G01720	ANAC2	NULL
150	AT1G01720	ATAF1	NULL
151	AT1G01740	BSK4	brassinosteroid-signaling kinase 4
152	AT1G01750	ADF11	actin depolymerizing factor 11
153	AT1G01760	AtTAD1	NULL
154	AT1G01760	TAD1	ortholog of yeast Tad1
155	AT1G01780	PLIM2b	PLIM2b
156	AT1G01790	ATKEA1	K+ EFFLUX ANTIPORTER 1
157	AT1G01790	KEA1	K+ efflux antiporter 1
158	AT1G01820	PEX11C	peroxin 11c
159	AT1G01860	PFC1	PALEFACE 1
160	AT1G01880	AtGEN1	NULL
161	AT1G01880	GEN1	ortholog of HsGEN1
162	AT1G01900	ATSBT1.1	NULL
163	AT1G01900	SBTI1.1	NULL
164	AT1G01910	AtGET3a	Guided Entry of Tail-anchored protein 3a
165	AT1G01910	GET3a	Guided Entry of Tail-anchored protein 3a
166	AT1G01940	CYP18-1	CYCLOPHILIN 18-1
167	AT1G01950	ARK2	armadillo repeat kinesin 2
168	AT1G01950	AtKINUb	"Arabidopsis thaliana KINESIN Ungrouped clade, gene B"
169	AT1G01960	BIG3	BIG3
170	AT1G01960	EDA10	embryo sac development arrest 10
171	AT1G01970	DG409	DELAYED GREENING409
172	AT1G01980	AtBBE1	NULL
173	AT1G01980	OGOX4	oligogalacturonide oxidase 4
174	AT1G02000	GAE2	UDP-D-glucuronate 4-epimerase 2
175	AT1G02010	SEC1A	secretory 1A
176	AT1G02050	LAP6	LESS ADHESIVE POLLEN 6
177	AT1G02050	PKSA	polyketide synthase A
178	AT1G02065	SPL8	squamosa promoter binding protein-like 8
179	AT1G02080	NOT1	NULL
180	AT1G02090	ATCSN7	ARABIDOPSIS THALIANA COP9 SIGNALOSOME SUBUNIT 7
181	AT1G02090	COP15	CONSTITUTIVE PHOTOMORPHOGENIC 15
182	AT1G02090	CSN7	COP9 SIGNALOSOME SUBUNIT 7
183	AT1G02090	FUS5	FUSCA 5
184	AT1G02100	LCMT1	leucine carboxyl methyl transferase 1
185	AT1G02100	SBI1	SUPPRESSOR OF BRI1
186	AT1G02120	VAD1	VASCULAR ASSOCIATED DEATH1
187	AT1G02130	ARA-5	RAS 5
188	AT1G02130	ARA5	ARABIDOPSIS RAS 5
189	AT1G02130	ATRAB1B	ARABIDOPSIS THALIANA RESPONSIVE TO ABSCISIC ACID 1B
190	AT1G02130	ATRABD2A	ARABIDOPSIS THALIANA RAB D2A
191	AT1G02130	RA-5	RAS 5
192	AT1G02130	RABD2A	RAB D2A
193	AT1G02140	HAP1	HAPLESS 1
194	AT1G02140	MAGO	MAGO NASHI
195	AT1G02140	MEE63	MATERNAL EFFECT EMBRYO ARREST 63
196	AT1G02145	ALG12	homolog of asparagine-linked glycosylation 12
197	AT1G02145	EBS4	EMS-MUTAGENIZED BRI1(BRASSINOSTEROID INSENSITIVE 1) SUPPRESSOR 4
198	AT1G02145	SBI2	NULL
199	AT1G02150	CCR16	NULL
200	AT1G02170	ATMC1	ARABIDOPSIS THALIANA METACASPASE 1
201	AT1G02170	AtMCP1b	metacaspase 1b
202	AT1G02170	ATMCPB1	ARABIDOPSIS THALIANA METACASPASE 1B
203	AT1G02170	LOL3	LSD ONE LIKE 3
204	AT1G02170	MC1	metacaspase 1
205	AT1G02170	MCP1b	metacaspase 1b
206	AT1G02190	CER1-L1	ECERIFERUM1-like1
207	AT1G02205	CER1	ECERIFERUM 1
208	AT1G02205	CER22	ECERIFERUM 22
209	AT1G02220	ANAC003	NAC domain containing protein 3
210	AT1G02220	NAC003	NAC domain containing protein 3
211	AT1G02220	XVP	NULL
212	AT1G02230	ANAC004	NAC domain containing protein 4
213	AT1G02230	NAC004	NAC domain containing protein 4
214	AT1G02250	anac005	NAC domain containing protein 5
215	AT1G02250	NAC005	NAC domain containing protein 5
216	AT1G02280	ATTOC33	NULL
217	AT1G02280	PPI1	PLASTID PROTEIN IMPORT 1
218	AT1G02280	TOC33	translocon at the outer envelope membrane of chloroplasts 33
219	AT1G02290	NFRKB3	NULL
220	AT1G02300	AtcathB1	NULL
221	AT1G02305	AtcathB2	NULL
222	AT1G02310	MAN1	endo-beta-mannanase 1
223	AT1G02330	CSU2	COP1 SUPPRESSOR 2
224	AT1G02335	GL22	germin-like protein subfamily 2 member 2 precursor
225	AT1G02335	PDGLP2	PLASMODESMAL GERMIN-LIKE PROTEIN 2
226	AT1G02340	FBI1	NULL
227	AT1G02340	HFR1	LONG HYPOCOTYL IN FAR-RED
228	AT1G02340	REP1	REDUCED PHYTOCHROME SIGNALING 1
229	AT1G02340	RSF1	REDUCED SENSITIVITY TO FAR-RED LIGHT 1
230	AT1G02390	ATGPAT2	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2
231	AT1G02390	GPAT2	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2
232	AT1G02400	ATGA2OX4	Arabidopsis thaliana gibberellin 2-oxidase 4
233	AT1G02400	ATGA2OX6	ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6
234	AT1G02400	DTA1	DOWNSTREAM TARGET OF AGL15 1
235	AT1G02400	GA2OX6	gibberellin 2-oxidase 6
236	AT1G02410	COX11	cytochrome c oxidase 11
237	AT1G02430	ARFD1B	ADP-ribosylation factor D1B
238	AT1G02430	ARL3	ADP-ribosylation factor 3
239	AT1G02430	ATARFD1B	ADP-ribosylation factor D1B
240	AT1G02440	ARFD1A	ADP-ribosylation factor D1A
241	AT1G02440	ARL4	ADP-ribosylation factor 4
242	AT1G02440	ATARFD1A	ADP-ribosylation factor D1A
243	AT1G02450	NIMIN-1	NULL
244	AT1G02450	NIMIN1	NIM1-interacting 1
245	AT1G02500	AtSAM1	NULL
246	AT1G02500	MAT1	NULL
247	AT1G02500	METK1	NULL
248	AT1G02500	SAM-1	S-ADENOSYLMETHIONINE SYNTHETASE-1
249	AT1G02500	SAM1	S-adenosylmethionine synthetase 1
250	AT1G02500	SAMS1	NULL
251	AT1G02510	ATKCO4	CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4
252	AT1G02510	ATTPK4	NULL
253	AT1G02510	KCO4	CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4
254	AT1G02510	TPK4	NULL
255	AT1G02520	ABCB11	ATP-binding cassette B11
256	AT1G02520	MDR8	multi-drug resistance 8
257	AT1G02520	PGP11	P-glycoprotein 11
258	AT1G02530	ABCB12	ATP-binding cassette B12
259	AT1G02530	PGP12	P-glycoprotein 12
260	AT1G02560	CLPP5	nuclear encoded CLP protease 5
261	AT1G02560	NCLPP1	NUCLEAR-ENCODED CLPP 1
262	AT1G02560	NCLPP5	NUCLEAR CLPP 5
263	AT1G02580	EMB173	EMBRYO DEFECTIVE 173
264	AT1G02580	FIS1	FERTILIZATION INDEPENDENT SEED 1
265	AT1G02580	MEA	MEDEA
266	AT1G02580	SDG5	SET DOMAIN-CONTAINING PROTEIN 5
267	AT1G02640	ATBXL2	BETA-XYLOSIDASE 2
268	AT1G02640	BXL2	beta-xylosidase 2
269	AT1G02660	PLIP2	PLASTID LIPASE2
270	AT1G02680	TAF13	TBP-associated factor 13
271	AT1G02690	IMPA-6	importin alpha isoform 6
272	AT1G02720	AtGATL5	NULL
273	AT1G02720	GATL5	galacturonosyltransferase-like 5
274	AT1G02730	ATCSLD5	cellulose synthase-like D5
275	AT1G02730	CSLD5	CELLULOSE SYNTHASE LIKE D5
276	AT1G02730	CSLD5	cellulose synthase-like D5
277	AT1G02730	SOS6	SALT OVERLY SENSITIVE 6
278	AT1G02740	MRG2	MORF related gene 2
279	AT1G02750	DiL-2	NULL
280	AT1G02780	eL19x	Ribosomal Protein eL19x
281	AT1G02780	emb2386	embryo defective 2386
282	AT1G02790	PG45	NULL
283	AT1G02790	PGA4	polygalacturonase 4
284	AT1G02800	ATCEL2	cellulase 2
285	AT1G02800	CEL2	NULL
286	AT1G02800	CEL2	cellulase 2
287	AT1G02810	PMEI-PME7	pectin methyl esterase inhibitor-pectin methylesterase7
288	AT1G02820	AtLEA3	NULL
289	AT1G02820	LEA2	late embryogenesis abundant 38
290	AT1G02820	LEA3	late embryogenesis abundant 3
291	AT1G02830	eL22x	Ribosomal Protein eL22x
292	AT1G02840	At-SR34	Serine/Arginine-Rich Protein Splicing Factor 34
293	AT1G02840	ATSRP34	NULL
294	AT1G02840	SR1	NULL
295	AT1G02840	SR34	Serine/Arginine-Rich Protein Splicing Factor 34
296	AT1G02840	SRP34	NULL
297	AT1G02850	BGLU11	beta glucosidase 11
298	AT1G02860	BAH1	BENZOIC ACID HYPERSENSITIVE 1
299	AT1G02860	NLA	nitrogen limitation adaptation
300	AT1G02860	SYG1	NULL
301	AT1G02880	TPK1	thiamin pyrophosphokinase1
302	AT1G02900	ATRALF1	RAPID ALKALINIZATION FACTOR 1
303	AT1G02900	RALF1	rapid alkalinization factor 1
304	AT1G02900	RALFL1	RALF-LIKE 1
305	AT1G02910	LPA1	LOW PSII ACCUMULATION1
306	AT1G02920	ATGST11	ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11
307	AT1G02920	ATGSTF7	NULL
308	AT1G02920	ATGSTF8	NULL
309	AT1G02920	GST11	GLUTATHIONE S-TRANSFERASE 11
310	AT1G02920	GSTF7	glutathione S-transferase 7
311	AT1G02930	ATGST1	ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 1
312	AT1G02930	ATGSTF3	ARABIDOPSIS THALIANA GLUATIONE S-TRANSFERASE F3
313	AT1G02930	ATGSTF6	GLUTATHIONE S-TRANSFERASE
314	AT1G02930	ERD11	EARLY RESPONSIVE TO DEHYDRATION 11
315	AT1G02930	GST1	GLUTATHIONE S-TRANSFERASE 1
316	AT1G02930	GSTF6	glutathione S-transferase 6
317	AT1G02940	ATGSTF5	GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5
318	AT1G02940	GSTF5	glutathione S-transferase (class phi) 5
319	AT1G02950	ATGSTF4	glutathione S-transferase F4
320	AT1G02950	GST31	GLUTATHIONE S-TRANSFERASE 31
321	AT1G02950	GSTF4	glutathione S-transferase F4
322	AT1G02970	ATWEE1	NULL
323	AT1G02970	WEE1	WEE1 kinase homolog
324	AT1G02980	ATCUL2	NULL
325	AT1G02980	CUL2	cullin 2
326	AT1G03000	PEX6	peroxin 6
327	AT1G03020	GRXS1	NULL
328	AT1G03020	ROXY16	NULL
329	AT1G03040	bHLH007	NULL
330	AT1G03040	PFB2	PERICYCLE FACTOR TYPE-B 2
331	AT1G03050	PICALM5A	Phosphatidylinositol binding clathrin assembly protein 5a
332	AT1G03055	AtD27	A. thaliana homolog of rice D27
333	AT1G03055	D27	DWARF27
334	AT1G03060	BCHA1	Beach-Domain Homolog A1
335	AT1G03060	SPI	SPIRRIG
336	AT1G03070	AtLFG4	NULL
337	AT1G03070	LFG4	LIFEGUARD 4
338	AT1G03080	NET1D	Networked 1D
339	AT1G03090	MCCA	NULL
340	AT1G03103	LTPG19	glycosylphosphatidylinositol-anchored lipid protein transfer 19
341	AT1G03110	AtTRM82	NULL
342	AT1G03110	TRM82	tRNA modification 82
343	AT1G03120	RAB28	responsive to abscisic acid 28
344	AT1G03130	PSAD-2	photosystem I subunit D-2
345	AT1G03140	PRP18a	pre-mRNA processing  factor 18a
346	AT1G03150	NAA20	NatB catalytic subunit
347	AT1G03160	FZL	FZO-like
348	AT1G03170	FAF2	FANTASTIC FOUR 2
349	AT1G03170	FTM5	FLORAL TRANSITION AT THE MERISTEM5
350	AT1G03180	COMET	NULL
351	AT1G03190	ATXPD	ARABIDOPSIS THALIANA XERODERMA PIGMENTOSUM GROUP D
352	AT1G03190	UVH6	ULTRAVIOLET HYPERSENSITIVE 6
353	AT1G03220	SAP2	secreted aspartic protease 2
354	AT1G03230	SAP1	secreted aspartic protease 1
355	AT1G03300	ATDUF1	DOMAIN OF UNKNOWN FUNCTION 724 1
356	AT1G03300	DUF1	DOMAIN OF UNKNOWN FUNCTION 724 1
357	AT1G03310	AtBE2	NULL
358	AT1G03310	ATISA2	ARABIDOPSIS THALIANA ISOAMYLASE 2
359	AT1G03310	BE2	BRANCHING ENZYME 2
360	AT1G03310	DBE1	debranching enzyme 1
361	AT1G03310	ISA2	NULL
362	AT1G03330	LSM2	SM-like 2
363	AT1G03360	ATRRP4	ribosomal RNA processing 4
364	AT1G03360	RRP4	ribosomal RNA processing 4
365	AT1G03360	SOP2	SUPPRESSOR OF PAS2 2
366	AT1G03380	ATATG18G	homolog of yeast autophagy 18 (ATG18) G
367	AT1G03380	ATG18G	homolog of yeast autophagy 18 (ATG18) G
368	AT1G03410	2A6	NULL
369	AT1G03420	Sadhu4-2	sadhu non-coding retrotransposon 4-2
370	AT1G03430	AHP5	histidine-containing phosphotransfer factor 5
371	AT1G03445	BSU1	BRI1 SUPPRESSOR 1
372	AT1G03457	AtBRN2	NULL
373	AT1G03457	BRN2	Bruno-like 2
374	AT1G03470	NET3A	Networked 3A
375	AT1G03475	ATCPO-I	NULL
376	AT1G03475	HEMF1	NULL
377	AT1G03475	LIN2	LESION INITIATION 2
378	AT1G03490	ANAC006	NAC domain containing protein 6
379	AT1G03490	NAC006	NAC domain containing protein 6
380	AT1G03530	ATNAF1	NULL
381	AT1G03530	NAF1	nuclear assembly factor 1
382	AT1G03550	AtSCAMP4	NULL
383	AT1G03550	SCAMP4	Secretory carrier membrane protein 4
384	AT1G03600	PSB27	NULL
385	AT1G03620	ELMOD_E	Engulfment and Cell Motility (ELMO) domain E
386	AT1G03630	POR C	protochlorophyllide oxidoreductase C
387	AT1G03630	PORC	NULL
388	AT1G03680	ATHM1	thioredoxin M-type 1
389	AT1G03680	ATM1	ARABIDOPSIS THIOREDOXIN M-TYPE 1
390	AT1G03680	THM1	thioredoxin M-type 1
391	AT1G03680	TRX-M1	THIOREDOXIN M-TYPE 1
392	AT1G03700	CASPL1C2	CASP-like protein 1C2
393	AT1G03750	CHR9	CHROMATIN REMODELING 9
394	AT1G03760	SARL	NULL
395	AT1G03760	URI	prefoldinRPB5 interactor
396	AT1G03770	ATRING1B	ARABIDOPSIS THALIANA RING 1B
397	AT1G03770	RING1B	RING 1B
398	AT1G03780	AtTPX2	NULL
399	AT1G03780	TPX2	targeting protein for XKLP2
400	AT1G03790	AtC3H2	NULL
401	AT1G03790	AtTZF4	NULL
402	AT1G03790	SOM	SOMNUS
403	AT1G03790	TZF4	Tandem CCCH Zinc Finger protein 4
404	AT1G03800	ATERF10	ARABIDOPSIS THALIANA RF DOMAIN PROTEIN 10
405	AT1G03800	ERF10	ERF domain protein 10
406	AT1G03830	GBPL1	GUANYLATE-BINDING PROTEIN-LIKE 1
407	AT1G03840	IDD3	INDETERMINATE DOMAIN 3
408	AT1G03840	MGP	Magpie
409	AT1G03850	ATGRXS13	glutaredoxin 13
410	AT1G03850	GRXS13	glutaredoxin 13
411	AT1G03850	ROXY18	NULL
412	AT1G03860	ATPHB2	prohibitin 2
413	AT1G03860	PHB2	prohibitin 2
414	AT1G03870	FLA9	FASCICLIN-like arabinoogalactan 9
415	AT1G03880	CRB	CRUCIFERIN B
416	AT1G03880	CRU2	cruciferin 2
417	AT1G03900	ABCI18	ATP-binding cassette I18
418	AT1G03900	ATNAP4	non-intrinsic ABC protein 4
419	AT1G03900	NAP4	non-intrinsic ABC protein 4
420	AT1G03905	ABCI19	ATP-binding cassette I19
421	AT1G03905	ATNAP4	non-intrinsic ABC protein 4
422	AT1G03910	CTN	CACTIN
423	AT1G03920	NDR2	nuclear Dbf2-related 2
424	AT1G03930	ADK1	dual specificity kinase 1
425	AT1G03930	CKL9ALPHA	CASEIN KINASE I-LIKE 9 ALPHA
426	AT1G03930	CKL9BETA	CASEIN KINASE I-LIKE 9 BETA
427	AT1G03950	VPS2.3	vacuolar protein sorting-associated protein 2.3
428	AT1G03970	GBF4	G-box binding factor 4
429	AT1G03980	ATPCS2	phytochelatin synthase 2
430	AT1G03980	PCS2	phytochelatin synthase 2
431	AT1G04010	ATPSAT1	NULL
432	AT1G04010	ERP1	enhanced response to Phytophthora 1
433	AT1G04010	PSAT1	phospholipid sterol acyl transferase 1
434	AT1G04020	ATBARD1	NULL
435	AT1G04020	BARD1	breast cancer associated RING 1
436	AT1G04020	ROW1	REPRESSOR OF WUSCHEL1
437	AT1G04027	ath-MIR2112	NULL
438	AT1G04050	SDG13	SET DOMAIN PROTEIN 13
439	AT1G04050	SUVR1	homolog of SU(var)3-9 1
440	AT1G04070	ATTOM22-I	NULL
441	AT1G04070	TOM22-I	translocase of outer membrane 22-I
442	AT1G04080	PRP39	NULL
443	AT1G04080	PRP39a	NULL
444	AT1G04100	IAA10	indoleacetic acid-induced protein 10
445	AT1G04110	AtSDD1	NULL
446	AT1G04110	SDD1	STOMATAL DENSITY AND DISTRIBUTION 1
447	AT1G04120	ABCC5	ATP-binding cassette C5
448	AT1G04120	ATABCC5	Arabidopsis thaliana ATP-binding cassette C5
449	AT1G04120	ATMRP5	multidrug resistance-associated protein 5
450	AT1G04120	MRP5	MULTIDRUG RESISTANCE PROTEIN 5
451	AT1G04120	MRP5	multidrug resistance-associated protein 5
452	AT1G04130	AtTPR2	NULL
453	AT1G04130	TPR2	tetratricopeptide repeat 2
454	AT1G04150	MCTP10	multiple C2 domain and transmembrane region protein 10
455	AT1G04160	ATXIB	ARABIDOPSIS THALIANA MYOSIN XI B
456	AT1G04160	XI-8	MYOSIN XI-8
457	AT1G04160	XI-B	MYOSIN XI B
458	AT1G04160	XIB	myosin XI B
459	AT1G04170	EIF2 GAMMA	eukaryotic translation initiation factor 2 gamma subunit
460	AT1G04180	YUC9	YUCCA 9
461	AT1G04180	YUCCA9	NULL
462	AT1G04190	TPR3	tetratricopeptide repeat 3
463	AT1G04220	DAISY	DAISY
464	AT1G04220	KCS2	3-ketoacyl-CoA synthase 2
465	AT1G04240	IAA3	indole-3-acetic acid inducible 3
466	AT1G04240	SHY2	SHORT HYPOCOTYL 2
467	AT1G04250	AtIAA17	NULL
468	AT1G04250	AXR3	AUXIN RESISTANT 3
469	AT1G04250	IAA17	indole-3-acetic acid inducible 17
470	AT1G04260	MPI1	NULL
471	AT1G04260	MPI1	MP-INTERACTING 1
472	AT1G04260	MPI7	CAMV movement protein interacting protein 7
473	AT1G04260	MPIP1	NULL
474	AT1G04260	MPIP7	CAMV MOVEMENT PROTEIN INTERACTING PROTEIN 7
475	AT1G04260	PRA1.D	PRENYLATED RAB ACCEPTOR 1.D
476	AT1G04263	U5-6	NULL
477	AT1G04270	RPS15	cytosolic ribosomal protein S15
478	AT1G04270	uS19u	Ribosomal Protein uS19u
479	AT1G04280	NADKc	NAD kinase-CaM dependent
480	AT1G04300	MUSE13	NULL
481	AT1G04300	TRAF1b	Tumor necrosis factor Receptor-Associated Factor 1b
482	AT1G04310	ERS2	ethylene response sensor 2
483	AT1G04330	HRML1	HRM1-LIKE-1
484	AT1G04330	PH2	NULL
485	AT1G04360	ATL1	Arabidopsis Toxicos en Levadura 1
