	locus_name	symbol	full_name
5821	AT1G69240	MES15	methyl esterase 15
5822	AT1G69240	RHS9	ROOT HAIR SPECIFIC 9
5823	AT1G69250	AtG3BP-4	NULL
5824	AT1G69250	AtG3BP3	NULL
5825	AT1G69260	AFP1	ABI five binding protein
5826	AT1G69270	AtRPK1	NULL
5827	AT1G69270	RPK1	receptor-like protein kinase 1
5828	AT1G69295	PDCB4	plasmodesmata callose-binding protein 4
5829	AT1G69310	ATWRKY57	NULL
5830	AT1G69310	WRKY57	WRKY DNA-binding protein 57
5831	AT1G69320	CLE10	CLAVATA3/ESR-RELATED 10
5832	AT1G69370	AtCM3	NULL
5833	AT1G69370	cm-3	NULL
5834	AT1G69370	CM3	chorismate mutase 3
5835	AT1G69380	RRG	RETARDED ROOT GROWTH
5836	AT1G69390	ARC12	accumulation and replication of chloroplasts 12
5837	AT1G69390	ATMINE1	homologue of bacterial MinE 1
5838	AT1G69390	MINE1	homologue of bacterial MinE 1
5839	AT1G69410	ATELF5A-3	EUKARYOTIC ELONGATION FACTOR 5A-3
5840	AT1G69410	ELF5A-3	eukaryotic elongation factor 5A-3
5841	AT1G69440	AGO7	ARGONAUTE7
5842	AT1G69440	ZIP	ZIPPY
5843	AT1G69450	OSCA2.4	REDUCED HYPEROSMOLALITY-INDUCED Ca2+ INCREASE 2.4
5844	AT1G69490	ANAC029	Arabidopsis NAC domain containing protein 29
5845	AT1G69490	ATNAP	"NAC-LIKE, ACTIVATED BY AP3/PI"
5846	AT1G69490	NAP	"NAC-like, activated by AP3/PI"
5847	AT1G69500	CYP704B1	"cytochrome P450, family 704, subfamily B, polypeptide 1"
5848	AT1G69500	MS26	NULL
5849	AT1G69530	AT-EXP1	NULL
5850	AT1G69530	ATEXP1	NULL
5851	AT1G69530	ATEXPA1	expansin A1
5852	AT1G69530	ATHEXP ALPHA 1.2	NULL
5853	AT1G69530	EXP1	EXPANSIN 1
5854	AT1G69530	EXPA1	expansin A1
5855	AT1G69540	AGL94	AGAMOUS-like 94
5856	AT1G69560	ATMYB105	MYB DOMAIN PROTEIN 105
5857	AT1G69560	LOF2	LATERAL ORGAN FUSION 2
5858	AT1G69560	MYB105	myb domain protein 105
5859	AT1G69570	CDF5	CYCLING DOF FACTOR 5
5860	AT1G69572	FLORE	NULL
5861	AT1G69588	CLE45	CLAVATA3/ESR-RELATED 45
5862	AT1G69600	ATHB29	ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 29
5863	AT1G69600	ZFHD1	zinc finger homeodomain  1
5864	AT1G69600	ZHD11	ZINC FINGER HOMEODOMAIN 11
5865	AT1G69620	eL34y	Ribosomal Protein eL34y
5866	AT1G69620	RPL34	ribosomal protein L34
5867	AT1G69640	SBH1	sphingoid base hydroxylase 1
5868	AT1G69670	ATCUL3B	ARABIDOPSIS THALIANA CULLIN 3B
5869	AT1G69670	CUL3B	cullin 3B
5870	AT1G69690	AtTCP15	NULL
5871	AT1G69690	TCP15	TEOSINTE BRANCHED1/CYCLOIDEA/PCF 15
5872	AT1G69700	ATHVA22C	HVA22 homologue C
5873	AT1G69700	HVA22C	HVA22 homologue C
5874	AT1G69720	HO3	heme oxygenase 3
5875	AT1G69740	ALAD1	5-aminolevulinic acid dehydratase 1
5876	AT1G69740	HEMB1	NULL
5877	AT1G69750	ATCOX19-2	A. THALIANA CYTOCHROME C OXIDASE 19-2
5878	AT1G69750	COX19-2	cytochrome c oxidase 19-2
5879	AT1G69770	CMT3	chromomethylase 3
5880	AT1G69780	ATHB13	NULL
5881	AT1G69790	PBL18	PBS1-Like 18
5882	AT1G69792	MIR395	MICRORNA 395
5883	AT1G69792	MIR395D	microRNA395D
5884	AT1G69795	MIR395	MICRORNA 395
5885	AT1G69795	MIR395E	microRNA395E
5886	AT1G69797	MIR395	MICRORNA 395
5887	AT1G69797	MIR395F	microRNA395F
5888	AT1G69810	ATWRKY36	NULL
5889	AT1G69810	WRKY36	WRKY DNA-binding protein 36
5890	AT1G69818	PdfL1.2	NULL
5891	AT1G69820	GGT3	gamma-glutamyl transpeptidase 3
5892	AT1G69820	GGT4	gamma-glutamyl transpeptidase 4
5893	AT1G69825	PdfL1.3	NULL
5894	AT1G69828	PdfL1.4	NULL
5895	AT1G69830	AMY3	alpha-amylase-like 3
5896	AT1G69830	ATAMY3	ALPHA-AMYLASE-LIKE 3
5897	AT1G69840	AtHIR1	hypersensitive induced reaction 1
5898	AT1G69850	AIT1	ABA-importing transporter 1
5899	AT1G69850	AtNPF4.6	NULL
5900	AT1G69850	ATNRT1:2	nitrate transporter 1:2
5901	AT1G69850	NPF4.6	NRT1/ PTR family 4.6
5902	AT1G69850	NRT1.2	NULL
5903	AT1G69850	NRT1:2	nitrate transporter 1:2
5904	AT1G69850	NTL1	NULL
5905	AT1G69870	AtNPF2.13	NULL
5906	AT1G69870	NPF2.13	NRT1/ PTR family 2.13
5907	AT1G69870	NRT1.7	nitrate transporter 1.7
5908	AT1G69880	ATH8	thioredoxin H-type 8
5909	AT1G69880	TH8	thioredoxin H-type 8
5910	AT1G69890	DUF569	NULL
5911	AT1G69920	ATGSTU12	ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE TAU 12
5912	AT1G69920	GSTU12	glutathione S-transferase TAU 12
5913	AT1G69930	ATGSTU11	glutathione S-transferase TAU 11
5914	AT1G69930	GSTU11	glutathione S-transferase TAU 11
5915	AT1G69935	SHW1	SHORT HYPOCOTYL IN WHITE LIGHT1
5916	AT1G69940	ATPPME1	NULL
5917	AT1G69940	PPME1	NULL
5918	AT1G69960	PP2A	serine/threonine protein phosphatase 2A
5919	AT1G69970	CLE26	CLAVATA3/ESR-RELATED 26
5920	AT1G69990	BIR4	BAK1-interacting receptor-like kinase 4
5921	AT1G70000	MYBD	NULL
5922	AT1G70060	SNL4	SIN3-like 4
5923	AT1G70070	115J-4A	
5924	AT1G70070	EMB25	EMBRYO DEFECTIVE 25
5925	AT1G70070	ISE2	INCREASED SIZE EXCLUSION LIMIT 2
5926	AT1G70070	PDE317	PIGMENT DEFECTIVE 317
5927	AT1G70080	TPS6	Terpene Synthase 6
5928	AT1G70090	GATL9	GALACTURONOSYLTRANSFERASE-LIKE 9
5929	AT1G70090	LGT8	glucosyl transferase family 8
5930	AT1G70110	LecRK-V.1	L-type lectin receptor kinase V.1
5931	AT1G70130	LecRK-V.2	L-type lectin receptor kinase V.2
5932	AT1G70140	ATFH8	formin 8
5933	AT1G70140	FH8	formin 8
5934	AT1G70140	FORMIN 8	FORMIN HOMOLOGUE 8
5935	AT1G70170	At2-MMP	NULL
5936	AT1G70170	MMP	matrix metalloproteinase
5937	AT1G70190	bL12mz	Ribosomal Protein bL12mz
5938	AT1G70200	HPE1	HIGH PHOTOSYNTHETIC EFFICIENCY 1
5939	AT1G70200	RBD1	NULL
5940	AT1G70210	ATCYCD1;1	NULL
5941	AT1G70210	CYCD1;1	CYCLIN D1;1
5942	AT1G70230	AXY4	ALTERED XYLOGLUCAN 4
5943	AT1G70230	TBL27	TRICHOME BIREFRINGENCE-LIKE 27
