locus_name	symbol	ENTREZID	3OMGMF_WaterMF	3OMGF16_WaterF16
AT5G55390	EDM2	835632	835632	NULL
AT5G55450	AtLTP4.4	835638	NULL	835638
AT5G57220	CYP81F2	835828	NULL	835828
AT5G60120	TOE2	836134	836134	NULL
AT5G63020	SUT1	836422	836422	NULL
AT5G64390	HEN4	836560	836560	NULL
AT5G65600	LecRK-IX.2	836686	NULL	836686
AT4G31970	CYP82C2	829327	NULL	829327
AT3G09220	LAC7	820078	NULL	820078
AT5G46890	LTP	834734	NULL	834734
AT5G46900	LTP	834735	NULL	834735
AT3G49110	PRX33	824072	NULL	824072
AT5G40990	GLIP1	834101	NULL	834101
AT4G08770	Prx37	826447	NULL	826447
AT2G30750	CYP71A12	817626	NULL	817626
AT3G03670	PER28	821193	NULL	821193
AT1G33960	AIG1	840293	NULL	840293
