	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
95	R1	MS	MF	OM.Glucose	Glucose	45	72h	0.213	2.528
96	R1	MS	MF	OM.Glucose	Glucose	46	72h	0.227	2.596
97	R1	MS	MF	OM.Glucose	Glucose	47	72h	0.22	2.577
98	R1	MS	MF	OM.Glucose	Glucose	48	72h	0.284	3.232
99	R1	MS	MF	OM.Glucose	Glucose	49	72h	0.142	1.642
100	R1	MS	MF	OM.Glucose	Glucose	50	72h	0.199	2.344
101	R1	MS	MF	OM.Galactose	Galactose	1	72h	0.27	3.165
102	R1	MS	MF	OM.Galactose	Galactose	2	72h	0.22	2.531
103	R1	MS	MF	OM.Galactose	Galactose	3	72h	0.163	1.855
104	R1	MS	MF	OM.Galactose	Galactose	4	72h	0.27	3.19
105	R1	MS	MF	OM.Galactose	Galactose	5	72h	0.213	2.506
106	R1	MS	MF	OM.Galactose	Galactose	6	72h	0.291	3.361
107	R1	MS	MF	OM.Galactose	Galactose	7	72h	0.227	2.61
108	R1	MS	MF	OM.Galactose	Galactose	8	72h	0.163	1.888
109	R1	MS	MF	OM.Galactose	Galactose	9	72h	0.178	2.056
110	R1	MS	MF	OM.Galactose	Galactose	10	72h	0.22	2.554
111	R1	MS	MF	OM.Galactose	Galactose	11	72h	0.234	2.743
112	R1	MS	MF	OM.Galactose	Galactose	12	72h	0.199	2.26
113	R1	MS	MF	OM.Galactose	Galactose	13	72h	0.241	2.823
114	R1	MS	MF	OM.Galactose	Galactose	14	72h	0.22	2.549
115	R1	MS	MF	OM.Galactose	Galactose	15	72h	0.135	1.569
116	R1	MS	MF	OM.Galactose	Galactose	16	72h	0.234	2.76
117	R1	MS	MF	OM.Galactose	Galactose	17	72h	0.128	1.478
118	R1	MS	MF	OM.Galactose	Galactose	18	72h	0.085	0.991
119	R1	MS	MF	OM.Galactose	Galactose	19	72h	0.206	2.382
120	R1	MS	MF	OM.Galactose	Galactose	20	72h	0.263	3.059
121	R1	MS	MF	OM.Galactose	Galactose	21	72h	0.206	2.323
122	R1	MS	MF	OM.Galactose	Galactose	22	72h	0.128	1.455
123	R1	MS	MF	OM.Galactose	Galactose	23	72h	0.163	1.881
124	R1	MS	MF	OM.Galactose	Galactose	24	72h	0.178	1.885
125	R1	MS	MF	OM.Galactose	Galactose	25	72h	0.256	2.904
126	R1	MS	MF	OM.Galactose	Galactose	26	72h	0.241	2.828
127	R1	MS	MF	OM.Galactose	Galactose	27	72h	0.227	2.682
