	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
388	R1	MS	F16	OM.Glucose	Glucose	38	72h	0.064	0.712
389	R1	MS	F16	OM.Glucose	Glucose	39	72h	0.149	1.771
390	R1	MS	F16	OM.Glucose	Glucose	40	72h	0.114	1.286
391	R1	MS	F16	OM.Glucose	Glucose	41	72h	0.121	1.356
392	R1	MS	F16	OM.Glucose	Glucose	42	72h	0.099	1.109
393	R1	MS	F16	OM.Glucose	Glucose	43	72h	0.135	1.569
394	R1	MS	F16	OM.Glucose	Glucose	44	72h	0.071	0.768
395	R1	MS	F16	OM.Glucose	Glucose	45	72h	0.135	1.521
396	R1	MS	F16	OM.Glucose	Glucose	46	72h	0.142	1.626
397	R1	MS	F16	OM.Glucose	Glucose	47	72h	0.199	2.284
398	R1	MS	F16	OM.Glucose	Glucose	48	72h	0.114	1.318
399	R1	MS	F16	OM.Glucose	Glucose	49	72h	0.17	2.004
400	R1	MS	F16	OM.Glucose	Glucose	50	72h	0.135	1.531
401	R1	MS	F16	OM.Galactose	Galactose	1	72h	0.107	1.25
402	R1	MS	F16	OM.Galactose	Galactose	2	72h	0.114	1.278
403	R1	MS	F16	OM.Galactose	Galactose	3	72h	0.071	0.82
404	R1	MS	F16	OM.Galactose	Galactose	4	72h	0.121	1.355
405	R1	MS	F16	OM.Galactose	Galactose	5	72h	0.135	1.52
406	R1	MS	F16	OM.Galactose	Galactose	6	72h	0.135	1.534
407	R1	MS	F16	OM.Galactose	Galactose	7	72h	0.135	1.576
408	R1	MS	F16	OM.Galactose	Galactose	8	72h	0.128	1.437
409	R1	MS	F16	OM.Galactose	Galactose	9	72h	0.142	1.66
410	R1	MS	F16	OM.Galactose	Galactose	10	72h	0.128	1.485
411	R1	MS	F16	OM.Galactose	Galactose	11	72h	0.114	1.254
412	R1	MS	F16	OM.Galactose	Galactose	12	72h	0.114	1.333
413	R1	MS	F16	OM.Galactose	Galactose	13	72h	0.114	1.283
414	R1	MS	F16	OM.Galactose	Galactose	14	72h	0.156	1.815
415	R1	MS	F16	OM.Galactose	Galactose	15	72h	0.107	1.251
416	R1	MS	F16	OM.Galactose	Galactose	16	72h	0.092	1.023
417	R1	MS	F16	OM.Galactose	Galactose	17	72h	0.107	1.248
418	R1	MS	F16	OM.Galactose	Galactose	18	72h	0.099	1.119
419	R1	MS	F16	OM.Galactose	Galactose	19	72h	0.085	0.935
420	R1	MS	F16	OM.Galactose	Galactose	20	72h	0.135	1.581
421	R1	MS	F16	OM.Galactose	Galactose	21	72h	0.099	1.169
422	R1	MS	F16	OM.Galactose	Galactose	22	72h	0.149	1.643
423	R1	MS	F16	OM.Galactose	Galactose	23	72h	0.114	1.274
424	R1	MS	F16	OM.Galactose	Galactose	24	72h	0.135	1.528
425	R1	MS	F16	OM.Galactose	Galactose	25	72h	0.17	1.868
426	R1	MS	F16	OM.Galactose	Galactose	26	72h	0.128	1.425
427	R1	MS	F16	OM.Galactose	Galactose	27	72h	0.163	1.802
428	R1	MS	F16	OM.Galactose	Galactose	28	72h	0.149	1.699
429	R1	MS	F16	OM.Galactose	Galactose	29	72h	0.142	1.507
430	R1	MS	F16	OM.Galactose	Galactose	30	72h	0.085	1.028
431	R1	MS	F16	OM.Galactose	Galactose	31	72h	0.135	1.524
432	R1	MS	F16	OM.Galactose	Galactose	32	72h	0.163	1.929
433	R1	MS	F16	OM.Galactose	Galactose	33	72h	0.099	1.18
434	R1	MS	F16	OM.Galactose	Galactose	34	72h	0.099	1.152
435	R1	MS	F16	OM.Galactose	Galactose	35	72h	0.156	1.831
436	R1	MS	F16	OM.Galactose	Galactose	36	72h	0.135	1.569
437	R1	MS	F16	OM.Galactose	Galactose	37	72h	0.128	1.491
438	R1	MS	F16	OM.Galactose	Galactose	38	72h	0.149	1.721
439	R1	MS	F16	OM.Galactose	Galactose	39	72h	0.128	1.517
440	R1	MS	F16	OM.Galactose	Galactose	40	72h	0.128	1.506
441	R1	MS	F16	OM.Galactose	Galactose	41	72h	0.107	1.255
442	R1	MS	F16	OM.Galactose	Galactose	42	72h	0.071	0.801
443	R1	MS	F16	OM.Galactose	Galactose	43	72h	0.149	1.683
444	R1	MS	F16	OM.Galactose	Galactose	44	72h	0.156	1.839
445	R1	MS	F16	OM.Galactose	Galactose	45	72h	0.092	1.057
446	R1	MS	F16	OM.Galactose	Galactose	46	72h	0.099	1.18
447	R1	MS	F16	OM.Galactose	Galactose	47	72h	0.128	1.481
448	R1	MS	F16	OM.Galactose	Galactose	48	72h	0.114	1.332
449	R1	MS	F16	OM.Galactose	Galactose	49	72h	0.085	1.01
450	R1	MS	F16	OM.Galactose	Galactose	50	72h	0.121	1.432
451	R1	MS	F16	OM.Mannose	Mannose	1	72h	0.178	2.03
452	R1	MS	F16	OM.Mannose	Mannose	2	72h	0.128	1.474
453	R1	MS	F16	OM.Mannose	Mannose	3	72h	0.128	1.465
454	R1	MS	F16	OM.Mannose	Mannose	4	72h	0.135	1.548
455	R1	MS	F16	OM.Mannose	Mannose	5	72h	0.142	1.618
456	R1	MS	F16	OM.Mannose	Mannose	6	72h	0.156	1.775
457	R1	MS	F16	OM.Mannose	Mannose	7	72h	0.099	1.169
458	R1	MS	F16	OM.Mannose	Mannose	8	72h	0.135	1.601
459	R1	MS	F16	OM.Mannose	Mannose	9	72h	0.156	1.859
460	R1	MS	F16	OM.Mannose	Mannose	10	72h	0.142	1.679
461	R1	MS	F16	OM.Mannose	Mannose	11	72h	0.128	1.51
462	R1	MS	F16	OM.Mannose	Mannose	12	72h	0.121	1.43
463	R1	MS	F16	OM.Mannose	Mannose	13	72h	0.114	1.265
464	R1	MS	F16	OM.Mannose	Mannose	14	72h	0.099	1.18
465	R1	MS	F16	OM.Mannose	Mannose	15	72h	0.107	1.225
466	R1	MS	F16	OM.Mannose	Mannose	16	72h	0.121	1.433
467	R1	MS	F16	OM.Mannose	Mannose	17	72h	0.107	1.182
468	R1	MS	F16	OM.Mannose	Mannose	18	72h	0.128	1.474
469	R1	MS	F16	OM.Mannose	Mannose	19	72h	0.092	1.039
470	R1	MS	F16	OM.Mannose	Mannose	20	72h	0.071	0.788
471	R1	MS	F16	OM.Mannose	Mannose	21	72h	0.085	1.044
472	R1	MS	F16	OM.Mannose	Mannose	22	72h	0.156	1.777
473	R1	MS	F16	OM.Mannose	Mannose	23	72h	0.135	1.582
474	R1	MS	F16	OM.Mannose	Mannose	24	72h	0.092	1.047
475	R1	MS	F16	OM.Mannose	Mannose	25	72h	0.114	1.292
476	R1	MS	F16	OM.Mannose	Mannose	26	72h	0.128	1.517
477	R1	MS	F16	OM.Mannose	Mannose	27	72h	0.128	1.514
478	R1	MS	F16	OM.Mannose	Mannose	28	72h	0.178	2.06
479	R1	MS	F16	OM.Mannose	Mannose	29	72h	0.092	1.068
480	R1	MS	F16	OM.Mannose	Mannose	30	72h	0.114	1.298
481	R1	MS	F16	OM.Mannose	Mannose	31	72h	0.121	1.368
482	R1	MS	F16	OM.Mannose	Mannose	32	72h	0.114	1.29
483	R1	MS	F16	OM.Mannose	Mannose	33	72h	0.163	1.879
484	R1	MS	F16	OM.Mannose	Mannose	34	72h	0.149	1.736
485	R1	MS	F16	OM.Mannose	Mannose	35	72h	0.099	1.16
486	R1	MS	F16	OM.Mannose	Mannose	36	72h	0.114	1.328
487	R1	MS	F16	OM.Mannose	Mannose	37	72h	0.107	1.248
488	R1	MS	F16	OM.Mannose	Mannose	38	72h	0.128	1.457
489	R1	MS	F16	OM.Mannose	Mannose	39	72h	0.121	1.412
490	R1	MS	F16	OM.Mannose	Mannose	40	72h	0.114	1.347
491	R1	MS	F16	OM.Mannose	Mannose	41	72h	0.142	1.673
492	R1	MS	F16	OM.Mannose	Mannose	42	72h	0.092	1.058
493	R1	MS	F16	OM.Mannose	Mannose	43	72h	0.078	0.925
494	R1	MS	F16	OM.Mannose	Mannose	44	72h	0.128	1.439
495	R1	MS	F16	OM.Mannose	Mannose	45	72h	0.114	1.304
496	R1	MS	F16	OM.Mannose	Mannose	46	72h	0.135	1.529
497	R1	MS	F16	OM.Mannose	Mannose	47	72h	0.092	1.044
498	R1	MS	F16	OM.Mannose	Mannose	48	72h	0.156	1.812
499	R1	MS	F16	OM.Mannose	Mannose	49	72h	0.092	1.11
500	R1	MS	F16	OM.Mannose	Mannose	50	72h	0.092	1.079
501	R1	MS	F16	3OM.Glucose	Glucose	1	72h	0.17	1.838
502	R1	MS	F16	3OM.Glucose	Glucose	2	72h	0.135	1.481
503	R1	MS	F16	3OM.Glucose	Glucose	3	72h	0.142	1.642
504	R1	MS	F16	3OM.Glucose	Glucose	4	72h	0.199	2.167
505	R1	MS	F16	3OM.Glucose	Glucose	5	72h	0.099	1.18
506	R1	MS	F16	3OM.Glucose	Glucose	6	72h	0.227	2.618
507	R1	MS	F16	3OM.Glucose	Glucose	7	72h	0.135	1.479
508	R1	MS	F16	3OM.Glucose	Glucose	8	72h	0.142	1.564
509	R1	MS	F16	3OM.Glucose	Glucose	9	72h	0.142	1.58
510	R1	MS	F16	3OM.Glucose	Glucose	10	72h	0.227	2.54
511	R1	MS	F16	3OM.Glucose	Glucose	11	72h	0.114	1.221
512	R1	MS	F16	3OM.Glucose	Glucose	12	72h	0.17	1.915
513	R1	MS	F16	3OM.Glucose	Glucose	13	72h	0.178	1.978
514	R1	MS	F16	3OM.Glucose	Glucose	14	72h	0.107	1.172
515	R1	MS	F16	3OM.Glucose	Glucose	15	72h	0.114	1.16
516	R1	MS	F16	3OM.Glucose	Glucose	16	72h	0.099	1.084
517	R1	MS	F16	3OM.Glucose	Glucose	17	72h	0.142	1.683
518	R1	MS	F16	3OM.Glucose	Glucose	18	72h	0.071	0.812
519	R1	MS	F16	3OM.Glucose	Glucose	19	72h	0.192	2.27
520	R1	MS	F16	3OM.Glucose	Glucose	20	72h	0.163	1.929
521	R1	MS	F16	3OM.Glucose	Glucose	21	72h	0.185	2.128
522	R1	MS	F16	3OM.Glucose	Glucose	22	72h	0.199	2.296
523	R1	MS	F16	3OM.Glucose	Glucose	23	72h	0.128	1.482
524	R1	MS	F16	3OM.Glucose	Glucose	24	72h	0.178	2.031
525	R1	MS	F16	3OM.Glucose	Glucose	25	72h	0.156	1.814
526	R1	MS	F16	3OM.Glucose	Glucose	26	72h	0.178	1.988
527	R1	MS	F16	3OM.Glucose	Glucose	27	72h	0.185	2.173
528	R1	MS	F16	3OM.Glucose	Glucose	28	72h	0.121	1.39
529	R1	MS	F16	3OM.Glucose	Glucose	29	72h	0.199	2.318
530	R1	MS	F16	3OM.Glucose	Glucose	30	72h	0.107	1.212
531	R1	MS	F16	3OM.Glucose	Glucose	31	72h	0.114	1.305
532	R1	MS	F16	3OM.Glucose	Glucose	32	72h	0.206	2.388
533	R1	MS	F16	3OM.Glucose	Glucose	33	72h	0.121	1.4
534	R1	MS	F16	3OM.Glucose	Glucose	34	72h	0.163	1.866
535	R1	MS	F16	3OM.Glucose	Glucose	35	72h	0.085	0.932
536	R1	MS	F16	3OM.Glucose	Glucose	36	72h	0.234	2.737
537	R1	MS	F16	3OM.Glucose	Glucose	37	72h	0.163	1.9
538	R1	MS	F16	3OM.Glucose	Glucose	38	72h	0.107	1.205
539	R1	MS	F16	3OM.Glucose	Glucose	39	72h	0.149	1.702
540	R1	MS	F16	3OM.Glucose	Glucose	40	72h	0.149	1.709
541	R1	MS	F16	3OM.Glucose	Glucose	41	72h	0.249	2.962
542	R1	MS	F16	3OM.Glucose	Glucose	42	72h	0.149	1.677
543	R1	MS	F16	3OM.Glucose	Glucose	43	72h	0.107	1.223
544	R1	MS	F16	3OM.Glucose	Glucose	44	72h	0.099	1.137
545	R1	MS	F16	3OM.Glucose	Glucose	45	72h	0.085	0.975
546	R1	MS	F16	3OM.Glucose	Glucose	46	72h	0.241	2.833
547	R1	MS	F16	3OM.Glucose	Glucose	47	72h	0.163	1.869
548	R1	MS	F16	3OM.Glucose	Glucose	48	72h	0.185	2.145
549	R1	MS	F16	3OM.Glucose	Glucose	49	72h	0.107	1.208
550	R1	MS	F16	3OM.Glucose	Glucose	50	72h	0.121	1.359
551	R1	MS	F16	3OM.Mannose	Mannose	1	72h	0.199	2.311
552	R1	MS	F16	3OM.Mannose	Mannose	2	72h	0.135	1.521
553	R1	MS	F16	3OM.Mannose	Mannose	3	72h	0.241	2.81
554	R1	MS	F16	3OM.Mannose	Mannose	4	72h	0.192	2.229
555	R1	MS	F16	3OM.Mannose	Mannose	5	72h	0.099	1.119
556	R1	MS	F16	3OM.Mannose	Mannose	6	72h	0.156	1.859
557	R1	MS	F16	3OM.Mannose	Mannose	7	72h	0.185	2.171
558	R1	MS	F16	3OM.Mannose	Mannose	8	72h	0.135	1.517
559	R1	MS	F16	3OM.Mannose	Mannose	9	72h	0.199	2.287
560	R1	MS	F16	3OM.Mannose	Mannose	10	72h	0.206	2.353
561	R1	MS	F16	3OM.Mannose	Mannose	11	72h	0.256	2.95
562	R1	MS	F16	3OM.Mannose	Mannose	12	72h	0.227	2.672
563	R1	MS	F16	3OM.Mannose	Mannose	13	72h	0.149	1.728
564	R1	MS	F16	3OM.Mannose	Mannose	14	72h	0.213	2.437
565	R1	MS	F16	3OM.Mannose	Mannose	15	72h	0.135	1.591
566	R1	MS	F16	3OM.Mannose	Mannose	16	72h	0.163	1.904
567	R1	MS	F16	3OM.Mannose	Mannose	17	72h	0.22	2.642
568	R1	MS	F16	3OM.Mannose	Mannose	18	72h	0.199	2.281
569	R1	MS	F16	3OM.Mannose	Mannose	19	72h	0.156	1.84
570	R1	MS	F16	3OM.Mannose	Mannose	20	72h	0.099	1.11
571	R1	MS	F16	3OM.Mannose	Mannose	21	72h	0.149	1.741
572	R1	MS	F16	3OM.Mannose	Mannose	22	72h	0.199	2.308
573	R1	MS	F16	3OM.Mannose	Mannose	23	72h	0.22	2.554
574	R1	MS	F16	3OM.Mannose	Mannose	24	72h	0.206	2.411
575	R1	MS	F16	3OM.Mannose	Mannose	25	72h	0.114	1.333
576	R1	MS	F16	3OM.Mannose	Mannose	26	72h	0.185	2.132
577	R1	MS	F16	3OM.Mannose	Mannose	27	72h	0.099	1.148
578	R1	MS	F16	3OM.Mannose	Mannose	28	72h	0.107	1.224
579	R1	MS	F16	3OM.Mannose	Mannose	29	72h	0.199	2.267
580	R1	MS	F16	3OM.Mannose	Mannose	30	72h	0.192	2.217
581	R1	MS	F16	3OM.Mannose	Mannose	31	72h	0.178	2.054
582	R1	MS	F16	3OM.Mannose	Mannose	32	72h	0.178	2.073
583	R1	MS	F16	3OM.Mannose	Mannose	33	72h	0.213	2.518
584	R1	MS	F16	3OM.Mannose	Mannose	34	72h	0.156	1.844
585	R1	MS	F16	3OM.Mannose	Mannose	35	72h	0.227	2.606
586	R1	MS	F16	3OM.Mannose	Mannose	36	72h	0.17	1.98
587	R1	MS	F16	3OM.Mannose	Mannose	37	72h	0.185	2.118
588	R1	MS	F16	3OM.Mannose	Mannose	38	72h	0.249	2.959
589	R1	MS	F16	3OM.Mannose	Mannose	39	72h	0.163	1.873
590	R1	MS	F16	3OM.Mannose	Mannose	40	72h	0.213	2.462
591	R1	MS	F16	3OM.Mannose	Mannose	41	72h	0.185	2.182
592	R1	MS	F16	3OM.Mannose	Mannose	42	72h	0.213	2.52
593	R1	MS	F16	3OM.Mannose	Mannose	43	72h	0.199	2.334
594	R1	MS	F16	3OM.Mannose	Mannose	44	72h	0.27	3.131
595	R1	MS	F16	3OM.Mannose	Mannose	45	72h	0.142	1.63
596	R1	MS	F16	3OM.Mannose	Mannose	46	72h	0.178	2.056
597	R1	MS	F16	3OM.Mannose	Mannose	47	72h	0.114	1.264
598	R1	MS	F16	3OM.Mannose	Mannose	48	72h	0.199	2.284
599	R1	MS	F16	3OM.Mannose	Mannose	49	72h	0.163	1.899
600	R1	MS	F16	3OM.Mannose	Mannose	50	72h	0.156	1.842
601	R1	MS	MF	Water	Water	1	1W	1.355	16.155
602	R1	MS	MF	Water	Water	2	1W	1.199	14.323
603	R1	MS	MF	Water	Water	3	1W	1.477	17.597
604	R1	MS	MF	Water	Water	4	1W	1.023	12.017
605	R1	MS	MF	Water	Water	5	1W	1.348	15.878
606	R1	MS	MF	Water	Water	6	1W	1.064	12.762
607	R1	MS	MF	Water	Water	7	1W	0.224	2.598
608	R1	MS	MF	Water	Water	8	1W	1.206	14.39
609	R1	MS	MF	Water	Water	9	1W	0.874	10.52
610	R1	MS	MF	Water	Water	10	1W	1.097	13.258
611	R1	MS	MF	Water	Water	11	1W	1.152	13.89
612	R1	MS	MF	Water	Water	12	1W	1.287	15.523
613	R1	MS	MF	Water	Water	13	1W	0.393	4.748
614	R1	MS	MF	Water	Water	14	1W	1.307	15.799
615	R1	MS	MF	Water	Water	15	1W	0.332	3.955
616	R1	MS	MF	Water	Water	16	1W	0.305	3.613
617	R1	MS	MF	Water	Water	17	1W	0.996	11.962
618	R1	MS	MF	Water	Water	18	1W	1.009	12.148
619	R1	MS	MF	Water	Water	19	1W	1.091	13.182
620	R1	MS	MF	Water	Water	20	1W	0.989	11.862
621	R1	MS	MF	Water	Water	21	1W	1.097	13.187
622	R1	MS	MF	Water	Water	22	1W	0.881	10.619
623	R1	MS	MF	Water	Water	23	1W	1.036	12.524
624	R1	MS	MF	Water	Water	24	1W	0.589	6.976
625	R1	MS	MF	Water	Water	25	1W	1.145	13.766
626	R1	MS	MF	Water	Water	26	1W	0.176	2.116
627	R1	MS	MF	Water	Water	27	1W	1.064	12.783
628	R1	MS	MF	Water	Water	28	1W	0.555	6.656
629	R1	MS	MF	Water	Water	29	1W	0.962	11.597
630	R1	MS	MF	Water	Water	30	1W	1.104	13.301
631	R1	MS	MF	Water	Water	31	1W	1.294	15.604
632	R1	MS	MF	Water	Water	32	1W	1.307	15.726
633	R1	MS	MF	Water	Water	33	1W	1.084	13.141
634	R1	MS	MF	Water	Water	34	1W	0.908	10.977
635	R1	MS	MF	Water	Water	35	1W	0.4	4.839
636	R1	MS	MF	Water	Water	36	1W	0.664	7.965
637	R1	MS	MF	Water	Water	37	1W	0.312	3.759
638	R1	MS	MF	Water	Water	38	1W	0.474	5.47
639	R1	MS	MF	Water	Water	39	1W	1.348	16.085
640	R1	MS	MF	Water	Water	40	1W	1.524	18.102
641	R1	MS	MF	Water	Water	41	1W	1.429	17.083
642	R1	MS	MF	Water	Water	42	1W	1.077	12.956
643	R1	MS	MF	Water	Water	43	1W	1.064	12.867
644	R1	MS	MF	Water	Water	44	1W	0.339	4.076
645	R1	MS	MF	Water	Water	45	1W	1.389	16.773
646	R1	MS	MF	Water	Water	46	1W	0.332	4.025
647	R1	MS	MF	Water	Water	47	1W	1.26	15.167
648	R1	MS	MF	Water	Water	48	1W	0.366	4.395
649	R1	MS	MF	Water	Water	49	1W	1.003	12.098
650	R1	MS	MF	Water	Water	50	1W	0.508	6.057
651	R1	MS	MF	OM.Glucose	Glucose	1	1W	1.036	12.109
652	R1	MS	MF	OM.Glucose	Glucose	2	1W	0.562	6.716
653	R1	MS	MF	OM.Glucose	Glucose	3	1W	1.267	14.901
654	R1	MS	MF	OM.Glucose	Glucose	4	1W	1.287	15.197
655	R1	MS	MF	OM.Glucose	Glucose	5	1W	1.395	16.263
656	R1	MS	MF	OM.Glucose	Glucose	6	1W	1.49	17.379
657	R1	MS	MF	OM.Glucose	Glucose	7	1W	0.942	11.178
658	R1	MS	MF	OM.Glucose	Glucose	8	1W	1.07	12.397
659	R1	MS	MF	OM.Glucose	Glucose	9	1W	0.23	2.719
660	R1	MS	MF	OM.Glucose	Glucose	10	1W	1.565	18.329
661	R1	MS	MF	OM.Glucose	Glucose	11	1W	1.477	17.346
662	R1	MS	MF	OM.Glucose	Glucose	12	1W	0.285	3.351
663	R1	MS	MF	OM.Glucose	Glucose	13	1W	1.267	14.844
664	R1	MS	MF	OM.Glucose	Glucose	14	1W	0.881	10.368
665	R1	MS	MF	OM.Glucose	Glucose	15	1W	1.301	15.554
666	R1	MS	MF	OM.Glucose	Glucose	16	1W	1.24	14.863
667	R1	MS	MF	OM.Glucose	Glucose	17	1W	0.874	10.361
668	R1	MS	MF	OM.Glucose	Glucose	18	1W	0.373	4.405
669	R1	MS	MF	OM.Glucose	Glucose	19	1W	0.359	4.107
670	R1	MS	MF	OM.Glucose	Glucose	20	1W	1.003	11.844
671	R1	MS	MF	OM.Glucose	Glucose	21	1W	1.524	18.026
672	R1	MS	MF	OM.Glucose	Glucose	22	1W	1.118	13.191
673	R1	MS	MF	OM.Glucose	Glucose	23	1W	0.65	7.507
674	R1	MS	MF	OM.Glucose	Glucose	24	1W	0.522	6.056
675	R1	MS	MF	OM.Glucose	Glucose	25	1W	1.504	17.932
676	R1	MS	MF	OM.Glucose	Glucose	26	1W	0.196	2.312
677	R1	MS	MF	OM.Glucose	Glucose	27	1W	1.07	12.714
678	R1	MS	MF	OM.Glucose	Glucose	28	1W	0.244	2.808
679	R1	MS	MF	OM.Glucose	Glucose	29	1W	0.718	8.435
680	R1	MS	MF	OM.Glucose	Glucose	30	1W	0.42	4.917
681	R1	MS	MF	OM.Glucose	Glucose	31	1W	0.589	6.787
682	R1	MS	MF	OM.Glucose	Glucose	32	1W	0.393	4.62
683	R1	MS	MF	OM.Glucose	Glucose	33	1W	0.393	4.405
684	R1	MS	MF	OM.Glucose	Glucose	34	1W	1.07	12.744
685	R1	MS	MF	OM.Glucose	Glucose	35	1W	0.244	2.673
686	R1	MS	MF	OM.Glucose	Glucose	36	1W	0.474	5.629
687	R1	MS	MF	OM.Glucose	Glucose	37	1W	1.206	14.434
688	R1	MS	MF	OM.Glucose	Glucose	38	1W	1.334	15.792
689	R1	MS	MF	OM.Glucose	Glucose	39	1W	0.793	9.396
690	R1	MS	MF	OM.Glucose	Glucose	40	1W	1.097	13.172
691	R1	MS	MF	OM.Glucose	Glucose	41	1W	1.199	14.234
692	R1	MS	MF	OM.Glucose	Glucose	42	1W	1.064	12.738
693	R1	MS	MF	OM.Glucose	Glucose	43	1W	1.124	13.315
694	R1	MS	MF	OM.Glucose	Glucose	44	1W	0.84	10.069
695	R1	MS	MF	OM.Glucose	Glucose	45	1W	1.274	15.186
696	R1	MS	MF	OM.Glucose	Glucose	46	1W	1.185	14.131
697	R1	MS	MF	OM.Glucose	Glucose	47	1W	1.057	12.446
698	R1	MS	MF	OM.Glucose	Glucose	48	1W	1.253	14.917
699	R1	MS	MF	OM.Glucose	Glucose	49	1W	0.928	10.983
700	R1	MS	MF	OM.Glucose	Glucose	50	1W	1.382	16.388
701	R1	MS	MF	OM.Galactose	Galactose	1	1W	1.355	15.787
702	R1	MS	MF	OM.Galactose	Galactose	2	1W	1.314	15.626
703	R1	MS	MF	OM.Galactose	Galactose	3	1W	0.169	1.947
704	R1	MS	MF	OM.Galactose	Galactose	4	1W	1.226	14.521
705	R1	MS	MF	OM.Galactose	Galactose	5	1W	0.616	7.192
706	R1	MS	MF	OM.Galactose	Galactose	6	1W	1.185	14.208
707	R1	MS	MF	OM.Galactose	Galactose	7	1W	1.152	13.626
708	R1	MS	MF	OM.Galactose	Galactose	8	1W	0.969	11.338
709	R1	MS	MF	OM.Galactose	Galactose	9	1W	1.192	14.109
710	R1	MS	MF	OM.Galactose	Galactose	10	1W	0.955	11.025
711	R1	MS	MF	OM.Galactose	Galactose	11	1W	1.057	12.687
712	R1	MS	MF	OM.Galactose	Galactose	12	1W	0.183	2.2
713	R1	MS	MF	OM.Galactose	Galactose	13	1W	0.576	6.909
714	R1	MS	MF	OM.Galactose	Galactose	14	1W	1.341	16.202
715	R1	MS	MF	OM.Galactose	Galactose	15	1W	1.07	12.907
716	R1	MS	MF	OM.Galactose	Galactose	16	1W	0.576	6.974
717	R1	MS	MF	OM.Galactose	Galactose	17	1W	1.111	13.328
718	R1	MS	MF	OM.Galactose	Galactose	18	1W	1.368	16.532
719	R1	MS	MF	OM.Galactose	Galactose	19	1W	0.386	4.614
720	R1	MS	MF	OM.Galactose	Galactose	20	1W	1.097	13.213
721	R1	MS	MF	OM.Galactose	Galactose	21	1W	0.989	11.909
722	R1	MS	MF	OM.Galactose	Galactose	22	1W	1.328	15.992
723	R1	MS	MF	OM.Galactose	Galactose	23	1W	0.826	9.906
724	R1	MS	MF	OM.Galactose	Galactose	24	1W	0.664	7.967
725	R1	MS	MF	OM.Galactose	Galactose	25	1W	1.267	15.263
726	R1	MS	MF	OM.Galactose	Galactose	26	1W	1.341	16.187
727	R1	MS	MF	OM.Galactose	Galactose	27	1W	1.084	13.085
728	R1	MS	MF	OM.Galactose	Galactose	28	1W	0.948	11.414
729	R1	MS	MF	OM.Galactose	Galactose	29	1W	0.725	8.728
730	R1	MS	MF	OM.Galactose	Galactose	30	1W	1.057	12.79
731	R1	MS	MF	OM.Galactose	Galactose	31	1W	1.578	18.707
732	R1	MS	MF	OM.Galactose	Galactose	32	1W	1.104	13.202
733	R1	MS	MF	OM.Galactose	Galactose	33	1W	1.172	13.965
734	R1	MS	MF	OM.Galactose	Galactose	34	1W	1.382	16.501
735	R1	MS	MF	OM.Galactose	Galactose	35	1W	0.427	4.934
736	R1	MS	MF	OM.Galactose	Galactose	36	1W	1.064	12.676
737	R1	MS	MF	OM.Galactose	Galactose	37	1W	1.064	12.791
738	R1	MS	MF	OM.Galactose	Galactose	38	1W	0.305	3.577
739	R1	MS	MF	OM.Galactose	Galactose	39	1W	0.271	3.126
740	R1	MS	MF	OM.Galactose	Galactose	40	1W	0.596	7.121
741	R1	MS	MF	OM.Galactose	Galactose	41	1W	1.47	17.628
742	R1	MS	MF	OM.Galactose	Galactose	42	1W	1.213	14.534
743	R1	MS	MF	OM.Galactose	Galactose	43	1W	0.894	10.703
744	R1	MS	MF	OM.Galactose	Galactose	44	1W	0.495	5.929
745	R1	MS	MF	OM.Galactose	Galactose	45	1W	1.28	15.326
746	R1	MS	MF	OM.Galactose	Galactose	46	1W	1.341	16.066
747	R1	MS	MF	OM.Galactose	Galactose	47	1W	1.395	16.692
748	R1	MS	MF	OM.Galactose	Galactose	48	1W	1.443	17.33
749	R1	MS	MF	OM.Galactose	Galactose	49	1W	1.172	14.083
750	R1	MS	MF	OM.Galactose	Galactose	50	1W	0.894	10.49
751	R1	MS	MF	OM.Mannose	Mannose	1	1W	1.219	14.636
752	R1	MS	MF	OM.Mannose	Mannose	2	1W	0.989	11.839
753	R1	MS	MF	OM.Mannose	Mannose	3	1W	1.118	13.43
754	R1	MS	MF	OM.Mannose	Mannose	4	1W	0.969	11.603
755	R1	MS	MF	OM.Mannose	Mannose	5	1W	0.305	3.546
756	R1	MS	MF	OM.Mannose	Mannose	6	1W	1.077	13.025
757	R1	MS	MF	OM.Mannose	Mannose	7	1W	1.389	16.563
758	R1	MS	MF	OM.Mannose	Mannose	8	1W	0.251	2.915
759	R1	MS	MF	OM.Mannose	Mannose	9	1W	0.19	2.263
760	R1	MS	MF	OM.Mannose	Mannose	10	1W	1.497	17.894
761	R1	MS	MF	OM.Mannose	Mannose	11	1W	1.307	15.6
762	R1	MS	MF	OM.Mannose	Mannose	12	1W	1.314	15.683
763	R1	MS	MF	OM.Mannose	Mannose	13	1W	0.942	11.227
764	R1	MS	MF	OM.Mannose	Mannose	14	1W	0.928	11.059
765	R1	MS	MF	OM.Mannose	Mannose	15	1W	0.698	8.327
766	R1	MS	MF	OM.Mannose	Mannose	16	1W	1.124	13.46
767	R1	MS	MF	OM.Mannose	Mannose	17	1W	1.111	13.275
768	R1	MS	MF	OM.Mannose	Mannose	18	1W	1.124	13.433
769	R1	MS	MF	OM.Mannose	Mannose	19	1W	1.565	18.619
770	R1	MS	MF	OM.Mannose	Mannose	20	1W	1.124	13.534
771	R1	MS	MF	OM.Mannose	Mannose	21	1W	1.348	16.006
