TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	Plant_3OMG_F16_1	Plant_3OMG_F16_2	Plant_3OMG_F16_3	Plant_3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	Plant_Water_F16_1	Plant_Water_F16_2	Plant_Water_F16_3	Plant_Water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
gene_12386	50	86	62	89	220	255	322	20	67	67	30	0	0	0	0	44	14	31	26	0	0	0	0
gene_12389	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12410	0	1	11	3	8	5	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
gene_12412	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12418	6	2	2	10	5	7	1	0	4	3	1	0	0	0	0	4	0	3	1	0	0	0	0
gene_12475	154	159	121	165	175	244	235	3	6	17	2	0	0	0	0	24	4	8	10	0	0	0	0
gene_12503	77	78	94	80	95	139	156	15	36	28	33	0	0	0	0	83	24	45	32	0	0	0	0
gene_12515	0	5	0	2	1	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12545	1	2	6	4	13	5	5	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0
gene_12556	111	93	107	81	75	137	114	21	20	44	29	0	0	0	0	87	26	62	43	0	0	0	0
gene_12568	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12627	179	187	144	230	165	234	195	25	36	44	34	0	1	0	0	46	45	60	56	0	1	0	0
gene_12648	15	16	12	21	17	26	16	5	2	10	2	0	0	0	0	8	2	10	6	0	0	0	0
gene_12661	4	8	1	2	2	7	11	0	0	1	1	0	0	0	0	2	1	0	2	0	0	0	0
gene_12693	21	21	19	34	59	104	82	1	2	2	0	0	0	0	0	2	1	1	2	0	0	0	0
gene_12694	246	294	209	213	252	359	333	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0
gene_12701	16	12	19	23	12	20	17	0	9	6	3	0	0	0	0	10	2	3	7	0	0	0	0
gene_12723	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12727	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
gene_12778	22	42	26	46	16	25	50	2	6	8	2	0	0	0	0	25	3	17	3	0	0	0	0
gene_12783	20	20	15	33	52	64	71	1	2	11	4	0	0	0	0	15	7	17	12	0	0	0	0
gene_12796	14	11	18	27	22	10	25	7	8	13	8	0	0	0	0	31	10	26	30	0	0	0	0
gene_12808	5	13	7	17	10	15	28	0	2	1	2	0	0	0	0	4	1	1	4	0	0	0	0
gene_12817	4	6	7	3	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12838	11	5	4	5	9	9	6	10	14	16	5	0	1	0	0	13	2	12	18	0	0	0	0
gene_12870	169	160	90	165	192	158	202	25	39	42	39	0	0	0	0	51	36	74	54	0	0	0	0
gene_12881	123	138	71	158	228	269	264	25	28	41	18	0	0	0	0	59	28	66	50	0	0	0	0
gene_12906	6	6	3	8	11	10	3	1	6	2	0	0	0	0	0	0	2	2	1	0	0	0	0
gene_12917	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene_12919	2	3	3	0	4	7	2	0	7	1	1	0	0	0	0	3	0	5	2	0	0	0	0
gene_12934	14	32	21	35	42	46	54	5	6	18	8	0	0	0	0	18	7	8	7	0	0	0	0
gene_12940	71	63	56	69	52	48	97	1	3	6	4	0	0	0	0	2	0	2	7	0	0	0	0
gene_12965	33	14	17	25	28	31	20	3	2	1	3	0	0	0	0	11	4	8	9	0	0	0	0
gene_12989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12994	18	34	19	33	24	22	47	3	9	2	2	0	0	0	0	5	7	8	5	0	0	0	0
gene_13004	7	16	9	2	13	11	10	3	2	10	2	0	0	0	0	7	3	2	4	0	0	0	0
gene_13008	0	0	0	1	12	5	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
gene_13037	1	0	1	5	7	3	4	0	1	3	0	0	0	0	0	2	2	8	3	0	0	0	0
gene_13092	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene_13116	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
gene_13161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13212	1	3	2	1	0	3	1	6	25	22	9	0	0	0	0	36	20	24	21	0	0	0	0
gene_13226	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0
gene_13238	25	30	10	23	29	19	37	7	13	11	5	0	0	0	0	12	10	14	12	0	0	0	0
gene_13252	1	0	0	2	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
gene_13268	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13314	131	168	91	146	128	179	178	30	32	57	27	0	0	0	0	102	51	69	58	0	0	0	0
gene_13321	2	4	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene_13362	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13365	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13370	30	46	33	50	45	58	96	9	7	5	14	0	0	0	0	24	13	25	29	0	0	0	0
gene_13371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13393	149	166	118	171	187	229	290	15	56	49	27	0	0	0	0	133	39	69	48	0	0	0	0
gene_13409	356	363	332	440	292	311	393	130	198	239	159	0	0	0	1	739	320	522	455	0	0	0	0
gene_13450	12	48	15	23	29	21	32	1	0	2	1	0	0	0	0	0	1	3	0	0	0	0	0
gene_13459	0	0	1	7	2	2	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene_13482	19	14	16	5	15	5	19	2	10	5	11	0	0	0	0	9	5	12	11	0	0	0	0
gene_13506	55	59	45	45	36	66	73	9	16	15	11	0	0	0	0	54	13	41	14	0	0	0	0
gene_13537	1	0	1	0	0	2	1	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0
gene_13617	10	6	17	24	21	28	14	1	2	5	3	0	0	0	0	21	6	6	5	0	0	0	0
gene_13669	104	88	66	133	89	108	115	16	29	45	15	0	0	0	0	63	25	52	30	0	0	0	0
gene_13680	219	190	99	215	189	253	297	38	62	56	48	0	0	0	0	113	31	69	62	0	0	0	0
gene_13702	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene_13716	627	703	504	776	852	794	1041	138	195	226	158	71	13	15	0	399	141	284	237	9	17	78	17
gene_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
gene_84	12	6	16	17	25	11	15	4	6	1	4	0	0	0	0	10	3	12	6	0	0	0	0
gene_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_110	9	31	15	20	14	32	24	4	14	6	2	0	0	0	0	30	19	19	11	0	0	0	0
gene_152	104	93	76	88	83	102	127	18	15	31	32	0	0	0	0	132	31	74	59	0	0	0	0
gene_169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_195	10	4	6	9	12	13	15	1	0	2	1	0	0	0	0	1	0	6	0	0	0	0	0
gene_201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_228	1	11	5	8	6	11	17	8	6	4	7	0	0	0	0	36	5	23	28	0	0	0	0
gene_232	15	6	5	12	4	9	9	0	0	1	2	0	0	0	0	5	3	1	2	0	0	0	0
gene_269	2	0	0	0	1	8	0	1	5	3	0	0	0	0	0	50	10	31	26	0	0	0	0
gene_281	15	21	12	20	1	8	25	16	35	21	19	0	0	0	0	49	29	45	29	0	0	0	0
gene_282	2426	2515	1869	2663	3512	4408	4230	22	18	26	32	0	0	0	0	132	57	80	97	0	0	0	0
gene_285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_328	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_332	8	14	8	11	25	22	28	5	5	2	0	0	0	0	0	1	0	8	6	0	0	0	0
gene_333	263	278	197	293	288	336	357	57	88	107	50	0	0	0	0	159	62	129	87	0	0	0	0
