TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	Plant_3OMG_F16_1	Plant_3OMG_F16_2	Plant_3OMG_F16_3	Plant_3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	Plant_Water_F16_1	Plant_Water_F16_2	Plant_Water_F16_3	Plant_Water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
gene_8819	175	169	133	221	240	218	309	29	43	40	21	0	0	0	0	74	48	68	53	0	0	0	0
gene_8820	25	31	41	28	34	37	28	9	4	7	5	0	0	0	0	19	2	5	6	0	0	0	0
gene_8821	3	9	7	3	4	17	4	0	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0
gene_8824	100	88	62	88	90	135	109	24	40	41	25	0	0	0	0	82	31	65	44	0	0	0	0
gene_8829	2	5	12	16	7	30	13	9	9	4	0	0	0	0	0	19	7	19	8	0	0	0	0
gene_8832	7	11	14	15	13	30	20	1	5	8	5	0	0	0	0	12	5	5	5	0	0	0	0
gene_39	34	18	13	23	29	40	32	8	7	19	8	0	0	0	0	19	5	14	16	0	0	0	0
gene_8839	4	2	6	12	6	13	9	3	3	5	2	0	0	0	0	6	1	7	2	0	0	0	0
gene_8841	139	126	104	187	110	158	130	18	38	36	17	0	0	0	0	44	21	44	27	0	0	0	0
gene_8842	100	87	93	119	115	129	138	14	26	14	10	0	0	0	0	42	14	16	31	0	0	0	0
gene_8843	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_8844	2	5	1	5	5	5	11	0	1	4	2	0	0	0	0	10	2	1	4	0	0	0	0
gene_8845	181	184	113	174	179	199	205	36	71	69	47	0	0	0	0	113	47	96	66	0	0	0	0
gene_8846	251	221	185	256	279	347	425	79	119	124	111	0	0	0	0	85	77	111	110	0	0	0	0
gene_8849	20	34	25	31	56	29	38	41	74	58	55	1	0	0	0	36	23	48	26	0	0	0	0
gene_8854	104	165	96	128	133	133	138	30	49	49	25	0	0	0	0	60	30	44	42	0	0	0	0
gene_8856	32	31	38	54	31	56	61	4	6	15	2	0	0	0	0	14	3	14	6	0	0	0	0
gene_8857	19	22	18	31	58	31	63	2	12	5	3	0	0	0	0	5	7	6	11	0	0	0	0
gene_8855	9	7	15	5	7	16	14	2	4	4	0	0	0	0	0	2	0	0	5	0	0	0	0
gene_8853	11	19	11	19	26	7	19	0	0	3	6	0	0	0	0	3	0	2	5	0	0	0	0
gene_8863	67	91	48	79	91	85	71	17	19	11	9	0	0	0	0	30	11	26	23	0	0	0	0
gene_8866	58	36	42	71	101	100	149	3	20	14	28	0	0	0	0	81	38	125	45	0	0	0	0
gene_8867	107	70	52	122	88	139	101	6	15	18	9	0	0	0	0	24	3	23	18	0	0	0	0
gene_1073	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_8870	25	17	23	30	26	28	24	8	6	5	3	0	0	0	0	3	0	2	3	0	0	0	0
gene_8869	39	28	31	39	50	48	64	3	10	16	4	0	0	0	0	16	5	7	12	0	0	0	0
gene_8878	36	28	31	36	36	26	35	3	9	4	2	0	0	0	0	10	1	1	5	0	0	0	0
gene_8880	316	315	237	338	334	402	410	35	50	66	25	0	0	0	0	73	32	69	49	0	0	0	0
gene_8889	50	31	25	46	67	63	58	2	2	3	1	0	0	0	0	8	1	3	2	0	0	0	0
gene_8892	6	13	9	9	10	12	10	6	2	2	2	0	0	0	0	6	6	6	6	0	0	0	0
gene_8895	15	8	7	22	36	18	19	12	3	6	8	0	0	0	0	15	8	11	16	0	0	0	0
gene_8897	529	660	426	703	594	746	879	59	81	97	79	0	0	0	0	190	85	134	110	0	0	0	0
gene_8894	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
gene_8893	32	56	30	46	55	69	94	7	26	11	11	0	0	0	0	20	13	27	22	0	0	0	0
gene_8896	46	65	27	43	31	70	54	8	20	20	12	0	0	0	0	9	7	11	5	0	0	0	0
gene_8901	8	3	6	8	3	0	5	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
gene_8906	71	75	76	84	105	149	132	18	37	45	20	0	0	0	0	44	23	57	31	0	0	0	0
gene_8908	45	22	26	17	21	38	31	3	0	5	2	0	0	0	0	5	2	3	4	0	0	0	0
gene_8909	5	11	7	7	11	7	20	0	1	0	3	0	0	0	0	11	0	5	0	0	0	0	0
gene_8912	15	13	7	16	7	10	12	1	4	4	2	0	0	0	0	2	2	1	0	0	0	0	0
gene_8918	103	74	100	110	107	131	158	37	47	41	20	0	0	0	0	84	23	51	34	0	0	0	0
gene_8921	129	113	69	132	91	148	168	11	33	27	31	0	0	0	0	50	17	36	30	0	0	0	0
gene_8926	5	2	1	5	3	2	7	3	0	1	1	0	0	0	0	2	1	1	1	0	0	0	0
gene_8927	8	6	9	4	3	5	7	1	1	0	3	0	0	0	0	1	1	1	2	0	0	0	0
gene_8931	4	1	3	5	1	11	8	1	3	2	4	0	0	0	0	1	0	2	3	0	0	0	0
gene_8933	55	38	38	42	66	71	47	9	13	11	13	0	0	0	0	23	12	21	12	0	0	0	0
gene_1082	3	10	8	0	3	5	5	1	3	3	0	0	0	0	0	3	1	0	2	0	0	0	0
gene_8938	12	16	13	23	21	20	61	12	27	24	25	0	0	0	0	72	34	71	37	0	0	0	0
gene_8949	79	81	45	82	87	103	167	14	37	17	21	0	0	0	0	45	21	39	35	0	0	0	0
gene_1080	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0
gene_8951	425	416	333	488	553	671	648	114	138	193	139	12	15	7	0	261	173	303	324	0	5	6	1
gene_8953	55	29	31	45	48	68	68	0	7	9	5	0	0	0	0	17	5	16	15	0	0	0	0
gene_1083	2	7	5	11	4	5	24	5	3	2	1	0	0	0	0	12	2	3	3	0	0	0	0
gene_8956	90	96	73	93	80	135	182	30	25	38	17	0	0	0	0	72	29	58	36	0	0	0	0
gene_8959	889	970	711	1291	1211	1484	1660	99	132	149	115	0	0	0	0	218	83	184	173	0	0	0	0
gene_8961	135	190	156	217	217	228	319	55	75	104	78	0	0	0	0	114	56	87	81	0	0	0	0
gene_8963	11	20	15	16	17	26	32	1	7	2	5	0	0	0	0	12	5	4	10	0	0	0	0
gene_8966	268	260	98	274	283	353	321	49	80	56	55	0	0	0	0	184	73	107	126	0	0	0	0
gene_1081	4	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene_8967	23	24	22	47	45	44	67	4	14	9	9	0	0	0	0	9	9	16	21	0	0	0	0
gene_8976	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_8972	1	0	0	3	6	5	1	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
gene_8970	146	130	71	131	116	179	181	30	34	35	29	0	0	0	0	59	16	49	36	0	0	0	0
gene_8973	2	3	8	6	9	10	11	1	3	5	0	0	0	0	0	1	0	4	0	0	0	0	0
gene_43	52	101	81	97	102	132	146	22	19	31	33	0	0	0	0	76	27	30	29	0	0	0	0
gene_8986	401	315	249	358	430	422	449	64	75	82	60	0	0	0	0	7	50	91	92	0	0	0	0
gene_8987	5072	4657	3304	4973	5585	6195	6321	1221	1929	1995	1459	0	1	1	0	2168	1311	2229	1936	0	1	0	0
gene_8988	124	128	72	166	140	196	212	31	61	56	54	0	0	0	0	117	26	50	52	0	0	0	0
gene_8990	113	129	63	118	109	126	158	27	31	63	41	0	0	0	0	111	54	86	41	0	0	0	0
gene_42	46	80	65	72	92	87	109	19	11	26	17	0	0	0	0	36	18	34	32	0	0	0	0
gene_8991	25	28	23	35	26	25	59	5	9	3	12	0	0	0	0	10	13	10	17	0	0	0	0
gene_8993	45	23	52	51	25	32	60	18	11	18	18	0	0	0	0	15	5	19	13	0	0	0	0
gene_1086	8	16	10	15	20	12	14	2	2	2	0	0	0	0	0	1	1	9	1	0	0	0	0
gene_8996	102	98	50	130	103	142	165	12	27	33	32	0	0	0	0	46	23	44	21	0	0	0	0
gene_9002	3	2	5	17	8	13	7	0	4	0	1	0	0	0	0	5	0	12	1	0	0	0	0
gene_9000	35	52	50	66	51	48	66	1	11	4	3	0	0	0	0	28	8	9	8	0	0	0	0
gene_9001	3	1	5	4	11	10	10	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0
gene_9004	3	2	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9008	92	92	73	121	77	144	95	31	55	62	23	0	0	0	0	118	62	108	63	0	0	0	0
gene_9009	37	44	53	46	15	23	38	15	35	26	18	0	0	0	0	39	18	51	33	0	0	0	0
gene_9011	12	13	9	11	17	17	29	3	3	2	0	0	0	0	0	8	5	1	7	0	0	0	0
gene_1092	121	137	60	173	112	119	143	11	14	19	10	0	0	0	0	8	7	28	9	0	0	0	0
gene_9020	0	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
gene_9022	19	16	14	24	19	25	29	2	6	4	0	0	0	0	0	20	2	7	10	0	0	0	0
gene_9023	3	1	6	13	5	7	8	0	3	2	0	0	1	0	0	7	1	2	0	0	0	0	0
gene_9025	109	162	78	99	879	1038	914	11	25	20	36	0	0	0	0	93	68	137	105	0	0	0	0
gene_9027	91	116	43	109	350	428	315	7	15	17	15	0	0	0	0	57	28	79	53	0	0	0	0
gene_9031	29	35	15	15	23	29	45	5	8	10	7	0	0	0	0	26	8	17	13	0	0	0	0
gene_9033	59	56	41	56	79	60	78	18	25	19	33	0	0	0	0	43	17	24	23	0	0	0	0
gene_9036	101	112	75	103	118	128	154	15	31	37	27	0	0	0	0	53	27	51	27	0	0	0	0
gene_9040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9047	2	1	2	0	4	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9057	26	48	17	55	42	65	65	6	6	22	3	0	0	0	0	22	8	8	18	0	0	0	0
gene_9058	6	2	1	7	4	6	14	0	1	3	2	0	0	0	0	3	0	3	3	0	0	0	0
gene_9065	10	5	12	26	20	19	15	3	4	3	4	0	0	0	0	15	4	5	5	0	0	0	0
gene_9067	143	121	95	143	155	182	171	37	42	56	38	0	0	0	0	114	31	90	67	0	0	0	0
gene_9070	110	114	69	124	119	154	125	12	25	26	12	0	0	0	0	72	29	40	28	0	0	0	0
gene_9073	35	20	22	33	30	32	37	10	17	8	3	0	0	0	0	22	6	6	12	0	0	0	0
gene_9074	62	90	76	79	116	118	160	8	9	10	11	0	0	0	0	49	11	64	27	0	0	0	0
gene_1093	14	10	6	7	5	13	10	4	2	8	2	0	0	0	0	8	6	7	4	0	0	0	0
gene_1094	0	9	9	13	8	18	6	2	1	1	4	0	0	0	0	8	6	9	11	0	0	0	0
gene_9078	24	12	47	50	44	42	69	12	10	25	10	0	0	0	0	32	16	33	31	0	0	0	0
gene_9083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene_9086	60	70	48	58	59	54	83	20	15	20	21	0	0	0	0	26	15	44	16	0	0	0	0
gene_9087	16	9	7	31	30	34	27	1	17	10	6	0	0	0	0	20	12	19	10	0	0	0	0
gene_9092	23	25	5	19	17	13	25	0	3	6	5	0	0	0	0	18	7	3	5	0	0	0	0
gene_9096	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9097	99	95	72	123	93	113	126	14	29	28	18	0	0	0	0	44	33	38	41	0	0	0	0
gene_9100	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gene_9113	5	6	5	6	9	11	12	1	3	1	0	0	0	0	0	2	5	3	3	0	0	0	0
gene_1097	10	7	3	3	10	6	8	1	0	1	2	0	0	0	0	7	1	2	3	0	0	0	0
gene_9116	10	6	5	4	3	1	6	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0
gene_9118	7	18	14	12	14	20	25	6	6	6	5	0	0	0	0	15	3	8	10	0	0	0	0
gene_9119	90	93	72	114	103	118	172	39	55	65	55	0	0	0	0	58	37	65	39	0	0	0	0
gene_9123	13	29	10	14	27	15	21	7	8	9	6	0	0	0	0	8	3	13	14	0	0	0	0
gene_9127	436	454	312	535	469	696	669	19	35	26	20	0	0	0	0	111	50	69	44	0	0	0	0
gene_9126	15	3	9	14	8	14	23	5	4	1	3	0	0	0	0	6	1	6	3	0	0	0	0
gene_9129	0	1	0	1	1	3	0	0	0	1	0	0	0	0	0	2	3	0	1	0	0	0	0
gene_9131	54	38	39	45	97	68	89	10	24	6	10	0	0	0	0	56	24	43	35	0	0	0	0
gene_9134	138	147	89	153	64	159	113	56	113	89	58	0	0	0	0	67	48	67	59	0	0	0	0
gene_9133	23	35	22	33	12	16	33	8	11	20	20	0	0	0	0	5	14	10	20	0	0	0	0
gene_9128	11	17	16	19	27	28	24	1	4	3	3	0	0	0	0	17	3	15	7	0	0	0	0
gene_1104	56	30	46	60	49	24	58	10	10	11	14	0	0	0	0	16	8	15	3	0	0	0	0
gene_9135	189	221	138	232	169	201	233	42	74	94	70	0	0	0	0	115	66	103	83	0	0	0	0
gene_1105	188	147	99	214	306	358	332	4	10	6	3	0	0	0	0	22	6	12	11	0	0	0	0
gene_9137	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9139	96	77	52	106	98	126	115	18	37	21	21	0	0	0	0	49	20	35	32	0	0	0	0
gene_9140	70	38	43	87	82	92	86	11	12	20	17	0	0	0	0	30	16	34	20	0	0	0	0
gene_9145	17	26	41	26	23	13	42	1	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0
gene_1106	132	175	81	154	139	194	202	30	32	24	14	0	0	0	0	74	17	59	32	0	0	0	0
gene_9146	130	115	95	119	165	159	232	7	16	12	14	0	0	0	0	33	14	23	11	0	0	0	0
gene_9149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9153	235	203	237	202	280	309	403	1	2	1	0	0	0	0	0	9	0	7	3	0	0	0	0
gene_9154	60	68	34	70	76	74	98	7	4	11	5	0	0	0	0	42	11	12	23	0	0	0	0
gene_9155	458	424	173	235	1118	1099	779	41	53	36	17	0	0	0	0	117	15	51	18	0	0	0	0
gene_9157	7	10	9	11	34	21	18	2	0	7	7	0	0	0	0	6	2	13	7	0	0	0	0
gene_9161	21	40	16	28	33	46	49	4	6	5	6	0	0	0	0	15	3	6	8	0	0	0	0
gene_9163	1787	1585	1370	2068	1265	1568	1537	271	319	369	223	6	0	2	0	495	220	303	290	0	3	11	0
gene_9168	111	83	93	143	109	130	154	18	23	31	16	0	0	0	0	69	30	39	33	0	0	0	0
gene_9175	38	40	29	42	77	46	79	21	19	12	8	0	0	0	0	28	8	20	13	0	0	0	0
gene_9183	16	19	7	24	30	46	17	6	10	5	5	0	0	0	0	25	13	22	20	0	0	0	0
gene_9185	0	0	3	4	0	6	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9187	0	0	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9191	85	47	76	103	65	96	92	42	59	67	35	0	0	0	0	353	157	270	241	0	0	0	0
gene_9193	1	0	2	3	0	1	3	0	0	1	3	0	0	0	0	3	1	1	1	0	0	0	0
gene_9194	38	36	38	41	65	79	73	27	44	26	39	0	0	0	0	106	60	104	111	0	0	0	0
gene_9199	304	328	219	413	276	488	428	168	339	228	186	1	0	0	0	1122	260	448	326	0	0	0	0
gene_1108	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9201	10	21	6	14	3	9	20	1	3	3	2	0	0	0	0	6	0	4	3	0	0	0	0
gene_1110	18	18	16	21	48	34	40	13	9	13	10	0	0	0	0	44	12	30	25	0	0	0	0
gene_9203	21	29	39	54	47	41	51	6	3	8	4	0	0	0	0	11	2	3	2	0	0	0	0
gene_9202	3	0	3	4	0	1	4	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
gene_9210	80	60	20	56	45	131	102	9	38	33	42	0	0	0	0	52	35	107	34	0	0	0	0
gene_9209	45	43	38	38	53	68	67	11	8	8	12	0	0	0	0	16	10	39	13	0	0	0	0
gene_9213	8	7	5	9	15	18	24	0	1	4	2	0	0	0	0	12	4	3	2	0	0	0	0
gene_9220	2	10	6	18	13	10	17	0	2	1	2	0	0	0	0	1	0	1	4	0	0	0	0
gene_9219	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene_1114	167	194	156	184	193	208	236	37	82	56	38	0	0	0	0	134	53	116	71	0	0	0	0
gene_9224	6	18	6	24	42	29	31	2	6	10	1	0	0	0	0	9	5	16	6	0	0	0	0
gene_9228	28	24	24	50	48	48	64	7	16	5	3	0	0	0	0	30	9	18	14	0	0	0	0
gene_9229	114	117	99	130	121	129	143	34	39	29	22	0	0	0	0	61	29	54	44	0	0	0	0
gene_9231	31	24	21	16	11	26	28	7	4	5	9	0	0	0	0	27	13	18	15	0	0	0	0
gene_9234	5	15	9	6	21	24	13	2	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0
gene_9233	110	142	83	153	158	156	168	35	39	38	30	0	0	0	0	69	41	81	37	0	0	0	0
gene_1119	11	7	7	12	20	25	19	5	3	1	3	0	0	0	0	3	1	6	4	0	0	0	0
gene_1118	23	12	10	21	22	22	28	25	22	26	16	0	0	0	0	9	1	4	2	0	0	0	0
gene_9241	11	14	7	17	13	18	21	3	2	3	3	0	0	0	0	0	4	5	4	0	0	0	0
gene_9242	283	278	194	272	248	402	391	63	70	68	54	0	0	0	0	145	74	113	107	0	0	0	0
gene_9252	13	17	10	15	9	22	20	4	2	5	0	0	0	0	0	14	10	19	3	0	0	0	0
gene_9254	66	83	43	79	79	85	118	27	39	37	30	0	0	0	0	82	27	83	55	0	0	0	0
gene_9253	3	1	3	4	1	2	2	0	2	3	0	0	0	0	0	2	1	1	0	0	0	0	0
gene_9255	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1124	23	3	18	24	15	21	25	8	5	2	6	0	0	0	0	16	6	8	3	0	0	0	0
gene_9257	67	75	80	83	96	85	106	16	19	26	12	0	0	0	0	64	12	27	13	0	0	0	0
gene_9258	1	2	0	6	1	2	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
gene_9262	169	176	95	168	156	174	201	31	41	36	28	0	0	0	0	37	26	59	55	0	0	0	0
gene_9266	17	24	17	46	37	31	33	3	6	12	3	0	0	0	0	18	5	13	7	0	0	0	0
gene_1131	0	0	0	0	4	1	6	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0
gene_9268	325	237	178	268	229	256	261	62	62	94	45	0	0	0	0	72	44	95	73	0	0	0	0
gene_9267	0	4	4	6	9	8	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_9270	79	101	50	95	112	85	104	20	34	26	28	0	0	0	0	60	14	46	35	0	0	0	0
gene_9272	10	8	8	14	11	19	12	4	4	7	1	0	0	0	0	3	0	6	4	0	0	0	0
gene_9274	5	4	14	11	5	14	11	2	5	1	0	0	0	0	0	1	5	4	2	0	0	0	0
gene_9278	13	8	4	21	9	28	22	0	3	1	1	0	0	0	0	2	1	1	2	0	0	0	0
gene_9280	63	68	52	47	79	39	93	23	28	36	9	0	0	0	0	35	20	32	35	0	0	0	0
gene_9282	13	23	13	29	33	16	24	3	5	4	2	0	0	0	0	19	2	18	6	0	0	0	0
gene_9284	2	7	5	1	6	6	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
gene_9288	0	4	4	2	7	2	10	0	0	0	0	0	0	0	0	4	0	8	2	0	0	0	0
gene_9289	40	47	19	38	46	59	48	7	14	11	6	0	0	0	0	28	3	13	11	0	0	0	0
gene_9291	3	5	7	6	1	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1137	72	109	56	97	83	100	72	7	43	36	28	0	0	0	0	59	24	37	15	0	0	0	0
gene_9295	84	86	88	127	90	103	117	21	24	30	23	0	0	0	0	40	21	56	28	0	0	0	0
gene_9296	1	4	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
gene_9299	91	107	102	102	72	132	144	27	19	23	16	0	0	0	0	90	22	50	32	0	0	0	0
gene_9302	317	302	194	377	329	327	418	47	74	94	70	0	0	0	0	83	37	88	75	0	0	0	0
gene_9304	11	5	14	12	4	13	9	1	3	1	0	0	0	0	0	3	0	5	2	0	0	0	0
gene_9309	107	130	93	145	142	218	206	21	52	49	31	0	0	0	0	62	22	69	58	0	0	0	0
gene_9314	23	26	22	27	33	20	35	2	7	2	5	0	0	0	0	23	6	6	10	0	0	0	0
gene_9316	4	15	8	9	17	13	20	3	4	7	4	0	0	0	0	6	2	4	8	0	0	0	0
gene_9320	164	168	153	156	146	197	219	43	94	62	59	0	0	0	0	89	39	76	58	0	0	0	0
gene_9322	5	6	2	10	4	10	5	6	0	2	1	0	0	0	0	3	0	3	5	0	0	0	0
gene_9324	16	14	16	39	29	33	22	15	4	6	2	0	0	0	0	10	6	20	14	0	0	0	0
gene_9327	2	0	2	4	2	3	8	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
gene_9326	0	8	3	3	3	1	3	0	3	0	0	0	0	0	0	4	1	0	1	0	0	0	0
gene_9330	11	12	4	9	2	2	2	3	0	3	0	0	0	1	0	2	0	0	3	0	0	0	0
gene_9335	89	109	74	121	150	222	204	23	40	43	23	0	0	0	0	131	36	106	64	0	0	0	0
gene_9334	27	24	16	41	27	30	41	6	7	7	1	0	0	0	0	15	7	11	8	0	0	0	0
gene_9340	26	11	14	14	23	39	17	0	6	7	5	0	0	0	0	0	3	5	5	0	0	0	0
gene_9341	76	95	80	136	186	166	216	24	34	26	27	0	0	0	0	45	22	35	37	0	0	0	0
gene_9345	196	201	156	220	234	274	266	21	33	26	20	0	0	0	0	55	17	36	18	0	0	0	0
gene_9351	14	10	20	15	23	25	24	0	0	2	1	0	0	0	0	9	0	4	1	0	0	0	0
gene_9354	21	28	15	30	46	36	20	1	6	2	11	0	0	0	0	9	4	6	6	0	0	0	0
gene_9361	14	18	17	21	7	4	10	1	9	6	4	0	0	0	0	8	0	8	6	0	0	0	0
gene_9362	4	10	9	14	1	1	8	0	0	0	1	0	0	0	0	7	0	2	0	0	0	0	0
gene_9364	24	28	34	42	36	39	78	13	4	14	8	0	0	0	0	48	14	11	17	0	0	0	0
gene_9366	190	209	116	195	242	208	234	17	27	38	25	0	0	0	0	52	32	38	42	0	0	0	0
gene_9365	5	9	10	14	11	19	23	4	7	10	1	0	0	0	0	7	4	5	5	0	0	0	0
gene_1159	52	38	43	62	47	52	60	14	21	24	9	0	0	0	0	15	9	17	15	0	0	0	0
gene_9373	275	260	174	255	233	242	250	88	181	116	76	0	0	0	0	486	137	324	259	0	0	0	0
gene_9375	151	139	122	213	210	256	282	36	78	78	88	0	0	0	0	124	56	85	77	0	0	0	0
gene_9374	0	1	0	0	4	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
gene_9378	81	72	53	88	58	76	87	16	18	25	12	0	0	0	0	36	26	22	17	0	0	0	0
gene_9382	240	244	183	245	204	300	310	64	83	111	66	0	0	0	0	163	58	147	78	0	0	0	0
gene_9384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9385	1	4	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_9390	17	25	15	25	20	23	35	3	9	5	4	0	0	0	0	17	2	6	9	0	0	0	0
gene_9394	103	107	112	133	133	163	199	14	33	26	13	0	0	0	0	24	12	25	29	0	0	0	0
gene_1164	71	105	84	114	121	116	159	19	21	12	13	0	0	0	0	21	8	17	27	0	0	0	0
gene_9398	0	2	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gene_9399	102	77	102	114	134	133	130	16	41	24	13	0	0	0	0	60	21	48	29	0	0	0	0
gene_9400	144	151	103	182	294	291	308	28	40	51	23	2	0	1	0	55	23	66	45	0	0	0	0
gene_9402	90	95	37	53	119	109	139	12	9	10	14	0	0	0	0	32	13	29	20	0	0	0	0
gene_9404	5	6	7	12	8	3	0	1	7	1	0	0	0	0	0	2	2	0	1	0	0	0	0
gene_9415	184	177	103	222	209	287	303	51	72	90	60	0	0	0	0	124	53	122	112	0	0	0	0
gene_9414	109	109	115	110	176	130	160	11	25	12	7	0	0	0	0	20	6	13	10	0	0	0	0
gene_9416	55	61	54	67	97	101	131	9	16	19	6	0	0	0	0	43	12	40	28	0	0	0	0
gene_9418	8	13	3	14	10	13	12	1	4	2	3	0	0	0	0	15	2	7	6	0	0	0	0
gene_9419	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_9423	5	11	3	1	7	13	4	1	7	2	3	0	0	0	0	13	0	3	3	0	0	0	0
gene_9424	28	33	21	17	36	31	31	4	8	2	8	0	0	0	0	15	6	19	21	0	0	0	0
gene_9431	11	20	13	19	24	13	33	3	8	3	1	0	0	0	0	2	3	8	4	0	0	0	0
gene_9433	7	4	4	13	5	11	10	1	3	2	0	0	0	0	0	6	1	3	0	0	0	0	0
gene_9441	76	92	52	99	103	89	112	17	37	33	16	0	0	0	0	41	10	27	13	0	0	0	0
gene_9446	66	52	32	66	89	49	93	13	3	12	8	0	0	0	0	27	8	29	13	0	0	0	0
gene_9449	3	0	1	2	1	0	0	0	3	0	1	0	0	0	0	2	1	0	1	0	0	0	0
gene_9453	38	44	15	40	20	31	24	2	6	8	7	0	0	0	0	18	3	14	8	0	0	0	0
gene_9452	96	131	100	154	50	56	85	19	59	48	26	0	0	0	0	54	21	46	44	0	0	0	0
gene_9456	7	5	5	6	2	6	4	2	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0
gene_9459	291	369	234	438	543	498	555	31	63	56	32	0	0	0	0	22	10	17	17	0	0	0	0
gene_9461	245	357	208	400	513	572	615	36	54	50	48	0	0	0	0	45	15	46	43	0	0	0	0
gene_9462	61	58	32	71	69	75	87	21	23	14	15	0	0	0	0	25	12	19	26	0	0	0	0
gene_9466	228	252	201	322	269	277	377	76	118	129	96	0	0	0	0	142	59	135	91	0	0	0	0
gene_9465	111	108	79	100	108	121	137	16	24	20	39	0	0	0	0	50	34	54	47	0	0	0	0
gene_9470	29	46	18	33	38	57	54	3	3	6	4	0	0	0	0	14	14	14	11	0	0	0	0
gene_9471	113	63	69	74	76	63	150	23	39	26	30	0	0	0	0	47	26	44	33	0	0	0	0
gene_9475	23	12	17	49	21	45	77	6	8	6	2	0	0	0	0	30	6	16	3	0	0	0	0
gene_9477	135	144	101	193	205	237	277	23	44	29	25	0	0	0	0	86	30	62	33	0	0	0	0
gene_1176	429	451	427	512	481	491	507	42	101	83	53	0	0	0	0	92	37	92	70	0	0	0	0
gene_9481	5	7	4	13	6	5	3	0	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0
gene_9485	350	322	285	372	356	431	509	65	98	101	65	0	0	0	0	220	75	159	150	0	0	0	0
gene_9491	49	47	48	54	78	84	68	4	5	8	8	0	0	0	0	10	4	14	17	0	0	0	0
gene_9492	16	16	14	14	26	21	29	3	4	8	1	0	0	0	0	9	6	4	10	0	0	0	0
gene_9499	59	67	39	54	81	132	98	17	17	14	9	0	0	0	0	46	28	57	31	0	0	0	0
