ID,Time_Points,Microbes,Concentration_3OMG,Concentration_3OMG_2,Tech_Rep,Root_length
72h_MF_0.1_0.1_mM_29,72h,MF,0.1,0.1_mM,29,0.079
72h_MF_0.1_0.1_mM_30,72h,MF,0.1,0.1_mM,30,0.269
72h_MF_0.1_0.1_mM_31,72h,MF,0.1,0.1_mM,31,0.235
72h_MF_0.1_0.1_mM_32,72h,MF,0.1,0.1_mM,32,0.095
72h_MF_0.1_0.1_mM_33,72h,MF,0.1,0.1_mM,33,0.122
72h_MF_0.1_0.1_mM_34,72h,MF,0.1,0.1_mM,34,0.115
72h_MF_0.1_0.1_mM_35,72h,MF,0.1,0.1_mM,35,0.168
72h_FSC_0.1_0.1_mM_1,72h,FSC,0.1,0.1_mM,1,0.165
72h_FSC_0.1_0.1_mM_2,72h,FSC,0.1,0.1_mM,2,0.15
72h_FSC_0.1_0.1_mM_3,72h,FSC,0.1,0.1_mM,3,0.18
72h_FSC_0.1_0.1_mM_4,72h,FSC,0.1,0.1_mM,4,0.125
72h_FSC_0.1_0.1_mM_5,72h,FSC,0.1,0.1_mM,5,0.13
72h_FSC_0.1_0.1_mM_6,72h,FSC,0.1,0.1_mM,6,0.102
72h_FSC_0.1_0.1_mM_7,72h,FSC,0.1,0.1_mM,7,0.118
72h_FSC_0.1_0.1_mM_8,72h,FSC,0.1,0.1_mM,8,0.154
72h_FSC_0.1_0.1_mM_9,72h,FSC,0.1,0.1_mM,9,0.159
72h_FSC_0.1_0.1_mM_10,72h,FSC,0.1,0.1_mM,10,0.154
72h_FSC_0.1_0.1_mM_11,72h,FSC,0.1,0.1_mM,11,0.17
72h_FSC_0.1_0.1_mM_12,72h,FSC,0.1,0.1_mM,12,0.11
72h_FSC_0.1_0.1_mM_13,72h,FSC,0.1,0.1_mM,13,0.158
72h_FSC_0.1_0.1_mM_14,72h,FSC,0.1,0.1_mM,14,0.123
72h_FSC_0.1_0.1_mM_15,72h,FSC,0.1,0.1_mM,15,0.214
72h_FSC_0.1_0.1_mM_16,72h,FSC,0.1,0.1_mM,16,0.184
72h_FSC_0.1_0.1_mM_17,72h,FSC,0.1,0.1_mM,17,0.212
72h_FSC_0.1_0.1_mM_18,72h,FSC,0.1,0.1_mM,18,0.181
72h_FSC_0.1_0.1_mM_19,72h,FSC,0.1,0.1_mM,19,0.16
72h_FSC_0.1_0.1_mM_20,72h,FSC,0.1,0.1_mM,20,0.166
72h_FSC_0.1_0.1_mM_21,72h,FSC,0.1,0.1_mM,21,0.145
72h_FSC_0.1_0.1_mM_22,72h,FSC,0.1,0.1_mM,22,0.24
72h_FSC_0.1_0.1_mM_23,72h,FSC,0.1,0.1_mM,23,0.246
72h_FSC_0.1_0.1_mM_24,72h,FSC,0.1,0.1_mM,24,0.298
72h_FSC_0.1_0.1_mM_25,72h,FSC,0.1,0.1_mM,25,0.169
72h_FSC_0.1_0.1_mM_26,72h,FSC,0.1,0.1_mM,26,0.131
72h_FSC_0.1_0.1_mM_27,72h,FSC,0.1,0.1_mM,27,0.175
72h_FSC_0.1_0.1_mM_28,72h,FSC,0.1,0.1_mM,28,0.185
72h_FSC_0.1_0.1_mM_29,72h,FSC,0.1,0.1_mM,29,0.084
72h_MF_10.01_10.01_mM_1,72h,MF,0.01,0.01_mM,1,0.245
72h_MF_10.01_10.01_mM_2,72h,MF,0.01,0.01_mM,2,0.216
72h_MF_10.01_10.01_mM_3,72h,MF,0.01,0.01_mM,3,0.25
72h_MF_10.01_10.01_mM_4,72h,MF,0.01,0.01_mM,4,0.225
72h_MF_10.01_10.01_mM_5,72h,MF,0.01,0.01_mM,5,0.232
72h_MF_10.01_10.01_mM_6,72h,MF,0.01,0.01_mM,6,0.169
72h_MF_10.01_10.01_mM_7,72h,MF,0.01,0.01_mM,7,0.242
72h_MF_10.01_10.01_mM_8,72h,MF,0.01,0.01_mM,8,0.242
72h_MF_10.01_10.01_mM_9,72h,MF,0.01,0.01_mM,9,0.293
72h_MF_10.01_10.01_mM_10,72h,MF,0.01,0.01_mM,10,0.207
72h_MF_10.01_10.01_mM_11,72h,MF,0.01,0.01_mM,11,0.205
72h_MF_10.01_10.01_mM_12,72h,MF,0.01,0.01_mM,12,0.157
72h_MF_10.01_10.01_mM_13,72h,MF,0.01,0.01_mM,13,0.184
72h_MF_10.01_10.01_mM_14,72h,MF,0.01,0.01_mM,14,0.18
72h_MF_10.01_10.01_mM_15,72h,MF,0.01,0.01_mM,15,0.189
72h_MF_10.01_10.01_mM_16,72h,MF,0.01,0.01_mM,16,0.212
72h_MF_10.01_10.01_mM_17,72h,MF,0.01,0.01_mM,17,0.226
72h_MF_10.01_10.01_mM_18,72h,MF,0.01,0.01_mM,18,0.154
72h_MF_10.01_10.01_mM_19,72h,MF,0.01,0.01_mM,19,0.234
72h_MF_10.01_10.01_mM_20,72h,MF,0.01,0.01_mM,20,0.185
72h_MF_10.01_10.01_mM_21,72h,MF,0.01,0.01_mM,21,0.204
72h_MF_10.01_10.01_mM_22,72h,MF,0.01,0.01_mM,22,0.234
72h_MF_10.01_10.01_mM_23,72h,MF,0.01,0.01_mM,23,0.124
72h_MF_10.01_10.01_mM_24,72h,MF,0.01,0.01_mM,24,0.116
72h_MF_10.01_10.01_mM_25,72h,MF,0.01,0.01_mM,25,0.195
72h_MF_10.01_10.01_mM_26,72h,MF,0.01,0.01_mM,26,0.143
72h_MF_10.01_10.01_mM_27,72h,MF,0.01,0.01_mM,27,0.143
72h_FSC_10.01_10.01_mM_1,72h,FSC,0.01,0.01_mM,1,0.181
72h_FSC_10.01_10.01_mM_2,72h,FSC,0.01,0.01_mM,2,0.116
72h_FSC_10.01_10.01_mM_3,72h,FSC,0.01,0.01_mM,3,0.133
72h_FSC_10.01_10.01_mM_4,72h,FSC,0.01,0.01_mM,4,0.171
72h_FSC_10.01_10.01_mM_5,72h,FSC,0.01,0.01_mM,5,0.122
72h_FSC_10.01_10.01_mM_6,72h,FSC,0.01,0.01_mM,6,0.173
72h_FSC_10.01_10.01_mM_7,72h,FSC,0.01,0.01_mM,7,0.182
72h_FSC_10.01_10.01_mM_8,72h,FSC,0.01,0.01_mM,8,0.173
72h_FSC_10.01_10.01_mM_9,72h,FSC,0.01,0.01_mM,9,0.284
72h_FSC_10.01_10.01_mM_10,72h,FSC,0.01,0.01_mM,10,0.189
72h_FSC_10.01_10.01_mM_11,72h,FSC,0.01,0.01_mM,11,0.102
72h_FSC_10.01_10.01_mM_12,72h,FSC,0.01,0.01_mM,12,0.132
72h_FSC_10.01_10.01_mM_13,72h,FSC,0.01,0.01_mM,13,0.125
72h_FSC_10.01_10.01_mM_14,72h,FSC,0.01,0.01_mM,14,0.209
72h_FSC_10.01_10.01_mM_15,72h,FSC,0.01,0.01_mM,15,0.168
72h_FSC_10.01_10.01_mM_16,72h,FSC,0.01,0.01_mM,16,0.142
72h_FSC_10.01_10.01_mM_17,72h,FSC,0.01,0.01_mM,17,0.187
72h_FSC_10.01_10.01_mM_18,72h,FSC,0.01,0.01_mM,18,0.089
72h_FSC_10.01_10.01_mM_19,72h,FSC,0.01,0.01_mM,19,0.13
72h_FSC_10.01_10.01_mM_20,72h,FSC,0.01,0.01_mM,20,0.142
72h_FSC_10.01_10.01_mM_21,72h,FSC,0.01,0.01_mM,21,0.192
72h_FSC_10.01_10.01_mM_22,72h,FSC,0.01,0.01_mM,22,0.099
72h_FSC_10.01_10.01_mM_23,72h,FSC,0.01,0.01_mM,23,0.184
72h_FSC_10.01_10.01_mM_24,72h,FSC,0.01,0.01_mM,24,0.18
72h_FSC_10.01_10.01_mM_25,72h,FSC,0.01,0.01_mM,25,0.148
72h_FSC_10.01_10.01_mM_26,72h,FSC,0.01,0.01_mM,26,0.151
72h_FSC_10.01_10.01_mM_27,72h,FSC,0.01,0.01_mM,27,0.149
72h_FSC_10.01_10.01_mM_28,72h,FSC,0.01,0.01_mM,28,0.152
72h_MF_0.001_0.001_mM_1,72h,MF,0.001,0.001_mM,1,0.28
72h_MF_0.001_0.001_mM_2,72h,MF,0.001,0.001_mM,2,0.27
72h_MF_0.001_0.001_mM_3,72h,MF,0.001,0.001_mM,3,0.287
72h_MF_0.001_0.001_mM_4,72h,MF,0.001,0.001_mM,4,0.303
72h_MF_0.001_0.001_mM_5,72h,MF,0.001,0.001_mM,5,0.21
72h_MF_0.001_0.001_mM_6,72h,MF,0.001,0.001_mM,6,0.29
72h_MF_0.001_0.001_mM_7,72h,MF,0.001,0.001_mM,7,0.266
72h_MF_0.001_0.001_mM_8,72h,MF,0.001,0.001_mM,8,0.316
72h_MF_0.001_0.001_mM_9,72h,MF,0.001,0.001_mM,9,0.102
72h_MF_0.001_0.001_mM_10,72h,MF,0.001,0.001_mM,10,0.225
72h_MF_0.001_0.001_mM_11,72h,MF,0.001,0.001_mM,11,0.19
72h_MF_0.001_0.001_mM_12,72h,MF,0.001,0.001_mM,12,0.198
72h_MF_0.001_0.001_mM_13,72h,MF,0.001,0.001_mM,13,0.161
72h_MF_0.001_0.001_mM_14,72h,MF,0.001,0.001_mM,14,0.307
72h_MF_0.001_0.001_mM_15,72h,MF,0.001,0.001_mM,15,0.194
72h_MF_0.001_0.001_mM_16,72h,MF,0.001,0.001_mM,16,0.181
72h_MF_0.001_0.001_mM_17,72h,MF,0.001,0.001_mM,17,0.277
72h_MF_0.001_0.001_mM_18,72h,MF,0.001,0.001_mM,18,0.205
72h_MF_0.001_0.001_mM_19,72h,MF,0.001,0.001_mM,19,0.177
72h_MF_0.001_0.001_mM_20,72h,MF,0.001,0.001_mM,20,0.289
72h_MF_0.001_0.001_mM_21,72h,MF,0.001,0.001_mM,21,0.149
72h_MF_0.001_0.001_mM_22,72h,MF,0.001,0.001_mM,22,0.233
72h_MF_0.001_0.001_mM_23,72h,MF,0.001,0.001_mM,23,0.22
72h_MF_0.001_0.001_mM_24,72h,MF,0.001,0.001_mM,24,0.231
72h_MF_0.001_0.001_mM_25,72h,MF,0.001,0.001_mM,25,0.124
72h_MF_0.001_0.001_mM_26,72h,MF,0.001,0.001_mM,26,0.184
72h_MF_0.001_0.001_mM_27,72h,MF,0.001,0.001_mM,27,0.246
72h_MF_0.001_0.001_mM_28,72h,MF,0.001,0.001_mM,28,0.378
72h_FSC_0.001_0.001_mM_1,72h,FSC,0.001,0.001_mM,1,0.159
72h_FSC_0.001_0.001_mM_2,72h,FSC,0.001,0.001_mM,2,0.251
72h_FSC_0.001_0.001_mM_3,72h,FSC,0.001,0.001_mM,3,0.292
72h_FSC_0.001_0.001_mM_4,72h,FSC,0.001,0.001_mM,4,0.218
72h_FSC_0.001_0.001_mM_5,72h,FSC,0.001,0.001_mM,5,0.202
72h_FSC_0.001_0.001_mM_6,72h,FSC,0.001,0.001_mM,6,0.089
72h_FSC_0.001_0.001_mM_7,72h,FSC,0.001,0.001_mM,7,0.119
72h_FSC_0.001_0.001_mM_8,72h,FSC,0.001,0.001_mM,8,0.183
72h_FSC_0.001_0.001_mM_9,72h,FSC,0.001,0.001_mM,9,0.103
72h_FSC_0.001_0.001_mM_10,72h,FSC,0.001,0.001_mM,10,0.135
72h_FSC_0.001_0.001_mM_11,72h,FSC,0.001,0.001_mM,11,0.068
72h_FSC_0.001_0.001_mM_12,72h,FSC,0.001,0.001_mM,12,0.181
72h_FSC_0.001_0.001_mM_13,72h,FSC,0.001,0.001_mM,13,0.125
72h_FSC_0.001_0.001_mM_14,72h,FSC,0.001,0.001_mM,14,0.072
72h_FSC_0.001_0.001_mM_15,72h,FSC,0.001,0.001_mM,15,0.239
72h_FSC_0.001_0.001_mM_16,72h,FSC,0.001,0.001_mM,16,0.205
72h_FSC_0.001_0.001_mM_17,72h,FSC,0.001,0.001_mM,17,0.23
72h_FSC_0.001_0.001_mM_18,72h,FSC,0.001,0.001_mM,18,0.227
72h_FSC_0.001_0.001_mM_19,72h,FSC,0.001,0.001_mM,19,0.198
72h_FSC_0.001_0.001_mM_20,72h,FSC,0.001,0.001_mM,20,0.174
72h_FSC_0.001_0.001_mM_21,72h,FSC,0.001,0.001_mM,21,0.276
72h_FSC_0.001_0.001_mM_22,72h,FSC,0.001,0.001_mM,22,0.275
72h_FSC_0.001_0.001_mM_23,72h,FSC,0.001,0.001_mM,23,0.13
72h_FSC_0.001_0.001_mM_24,72h,FSC,0.001,0.001_mM,24,0.135
72h_FSC_0.001_0.001_mM_25,72h,FSC,0.001,0.001_mM,25,0.158
1week_MF_7.5_7.5_mM_1,1week,MF,7.5,7.5_mM,1,0.571
1week_MF_7.5_7.5_mM_2,1week,MF,7.5,7.5_mM,2,0.92
1week_MF_7.5_7.5_mM_3,1week,MF,7.5,7.5_mM,3,1.129
1week_MF_7.5_7.5_mM_4,1week,MF,7.5,7.5_mM,4,1.041
1week_MF_7.5_7.5_mM_5,1week,MF,7.5,7.5_mM,5,0.944
1week_MF_7.5_7.5_mM_6,1week,MF,7.5,7.5_mM,6,1.077
1week_MF_7.5_7.5_mM_7,1week,MF,7.5,7.5_mM,7,0.194
1week_MF_7.5_7.5_mM_8,1week,MF,7.5,7.5_mM,8,0.327
1week_MF_7.5_7.5_mM_9,1week,MF,7.5,7.5_mM,9,0.158
1week_MF_7.5_7.5_mM_10,1week,MF,7.5,7.5_mM,10,0.421
1week_MF_7.5_7.5_mM_11,1week,MF,7.5,7.5_mM,11,1.175
1week_MF_7.5_7.5_mM_12,1week,MF,7.5,7.5_mM,12,0.779
1week_MF_7.5_7.5_mM_13,1week,MF,7.5,7.5_mM,13,1.034
1week_MF_7.5_7.5_mM_14,1week,MF,7.5,7.5_mM,14,0.945
1week_MF_7.5_7.5_mM_15,1week,MF,7.5,7.5_mM,15,0.477
1week_MF_7.5_7.5_mM_16,1week,MF,7.5,7.5_mM,16,1.316
1week_MF_7.5_7.5_mM_17,1week,MF,7.5,7.5_mM,17,0.923
1week_MF_7.5_7.5_mM_18,1week,MF,7.5,7.5_mM,18,0.91
1week_MF_7.5_7.5_mM_19,1week,MF,7.5,7.5_mM,19,1.115
1week_MF_7.5_7.5_mM_20,1week,MF,7.5,7.5_mM,20,0.79
1week_MF_7.5_7.5_mM_21,1week,MF,7.5,7.5_mM,21,0.205
1week_MF_7.5_7.5_mM_22,1week,MF,7.5,7.5_mM,22,0.253
1week_MF_7.5_7.5_mM_23,1week,MF,7.5,7.5_mM,23,1.365
1week_MF_7.5_7.5_mM_24,1week,MF,7.5,7.5_mM,24,0.36
1week_MF_7.5_7.5_mM_25,1week,MF,7.5,7.5_mM,25,0.87
1week_MF_7.5_7.5_mM_26,1week,MF,7.5,7.5_mM,26,1.035
1week_MF_7.5_7.5_mM_27,1week,MF,7.5,7.5_mM,27,1.16
1week_MF_7.5_7.5_mM_28,1week,MF,7.5,7.5_mM,28,0.605
1week_MF_7.5_7.5_mM_29,1week,MF,7.5,7.5_mM,29,0.12
1week_FSC_7.5_7.5_mM_1,1week,FSC,7.5,7.5_mM,1,0.59
1week_FSC_7.5_7.5_mM_2,1week,FSC,7.5,7.5_mM,2,0.637
1week_FSC_7.5_7.5_mM_3,1week,FSC,7.5,7.5_mM,3,0.218
1week_FSC_7.5_7.5_mM_4,1week,FSC,7.5,7.5_mM,4,0.185
1week_FSC_7.5_7.5_mM_5,1week,FSC,7.5,7.5_mM,5,0.361
1week_FSC_7.5_7.5_mM_6,1week,FSC,7.5,7.5_mM,6,0.642
1week_FSC_7.5_7.5_mM_7,1week,FSC,7.5,7.5_mM,7,1.13
1week_FSC_7.5_7.5_mM_8,1week,FSC,7.5,7.5_mM,8,0.828
1week_FSC_7.5_7.5_mM_9,1week,FSC,7.5,7.5_mM,9,0.859
1week_FSC_7.5_7.5_mM_10,1week,FSC,7.5,7.5_mM,10,0.391
1week_FSC_7.5_7.5_mM_11,1week,FSC,7.5,7.5_mM,11,0.284
1week_FSC_7.5_7.5_mM_12,1week,FSC,7.5,7.5_mM,12,0.127
1week_FSC_7.5_7.5_mM_13,1week,FSC,7.5,7.5_mM,13,0.511
1week_FSC_7.5_7.5_mM_14,1week,FSC,7.5,7.5_mM,14,0.349
1week_FSC_7.5_7.5_mM_15,1week,FSC,7.5,7.5_mM,15,0.538
1week_FSC_7.5_7.5_mM_16,1week,FSC,7.5,7.5_mM,16,0.346
1week_FSC_7.5_7.5_mM_17,1week,FSC,7.5,7.5_mM,17,0.433
1week_FSC_7.5_7.5_mM_18,1week,FSC,7.5,7.5_mM,18,0.348
1week_FSC_7.5_7.5_mM_19,1week,FSC,7.5,7.5_mM,19,0.374
1week_FSC_7.5_7.5_mM_20,1week,FSC,7.5,7.5_mM,20,0.509
1week_FSC_7.5_7.5_mM_21,1week,FSC,7.5,7.5_mM,21,0.566
1week_FSC_7.5_7.5_mM_22,1week,FSC,7.5,7.5_mM,22,0.942
1week_FSC_7.5_7.5_mM_23,1week,FSC,7.5,7.5_mM,23,0.528
1week_FSC_7.5_7.5_mM_24,1week,FSC,7.5,7.5_mM,24,0.148
1week_FSC_7.5_7.5_mM_25,1week,FSC,7.5,7.5_mM,25,0.7
1week_FSC_7.5_7.5_mM_26,1week,FSC,7.5,7.5_mM,26,0.64
1week_FSC_7.5_7.5_mM_27,1week,FSC,7.5,7.5_mM,27,0.431
1week_FSC_7.5_7.5_mM_28,1week,FSC,7.5,7.5_mM,28,1.251
1week_FSC_7.5_7.5_mM_29,1week,FSC,7.5,7.5_mM,29,0.608
1week_FSC_7.5_7.5_mM_30,1week,FSC,7.5,7.5_mM,30,0.194
1week_FSC_7.5_7.5_mM_31,1week,FSC,7.5,7.5_mM,31,0.459
1week_FSC_7.5_7.5_mM_32,1week,FSC,7.5,7.5_mM,32,0.411
1week_FSC_7.5_7.5_mM_33,1week,FSC,7.5,7.5_mM,33,0.278
1week_MF_3.75_3.75_mM_1,1week,MF,3.75,3.75_mM,1,1.01
1week_MF_3.75_3.75_mM_2,1week,MF,3.75,3.75_mM,2,0.193
1week_MF_3.75_3.75_mM_3,1week,MF,3.75,3.75_mM,3,1.079
1week_MF_3.75_3.75_mM_4,1week,MF,3.75,3.75_mM,4,0.715
1week_MF_3.75_3.75_mM_5,1week,MF,3.75,3.75_mM,5,0.772
1week_MF_3.75_3.75_mM_6,1week,MF,3.75,3.75_mM,6,1.4
1week_MF_3.75_3.75_mM_7,1week,MF,3.75,3.75_mM,7,0.758
1week_MF_3.75_3.75_mM_8,1week,MF,3.75,3.75_mM,8,1.117
1week_MF_3.75_3.75_mM_9,1week,MF,3.75,3.75_mM,9,0.673
1week_MF_3.75_3.75_mM_10,1week,MF,3.75,3.75_mM,10,0.805
1week_MF_3.75_3.75_mM_11,1week,MF,3.75,3.75_mM,11,0.854
1week_MF_3.75_3.75_mM_12,1week,MF,3.75,3.75_mM,12,0.402
1week_MF_3.75_3.75_mM_13,1week,MF,3.75,3.75_mM,13,0.748
1week_MF_3.75_3.75_mM_14,1week,MF,3.75,3.75_mM,14,0.297
1week_MF_3.75_3.75_mM_15,1week,MF,3.75,3.75_mM,15,1.319
1week_MF_3.75_3.75_mM_16,1week,MF,3.75,3.75_mM,16,0.087
1week_MF_3.75_3.75_mM_17,1week,MF,3.75,3.75_mM,17,1.36
1week_MF_3.75_3.75_mM_18,1week,MF,3.75,3.75_mM,18,0.115
1week_MF_3.75_3.75_mM_19,1week,MF,3.75,3.75_mM,19,0.302
1week_MF_3.75_3.75_mM_20,1week,MF,3.75,3.75_mM,20,0.917
1week_MF_3.75_3.75_mM_21,1week,MF,3.75,3.75_mM,21,1.283
1week_MF_3.75_3.75_mM_22,1week,MF,3.75,3.75_mM,22,1.231
1week_MF_3.75_3.75_mM_23,1week,MF,3.75,3.75_mM,23,1.128
1week_MF_3.75_3.75_mM_24,1week,MF,3.75,3.75_mM,24,1.28
1week_MF_3.75_3.75_mM_25,1week,MF,3.75,3.75_mM,25,0.868
1week_MF_3.75_3.75_mM_26,1week,MF,3.75,3.75_mM,26,0.923
1week_MF_3.75_3.75_mM_27,1week,MF,3.75,3.75_mM,27,0.063
1week_MF_3.75_3.75_mM_28,1week,MF,3.75,3.75_mM,28,0.113
1week_FSC_3.75_3.75_mM_1,1week,FSC,3.75,3.75_mM,1,0.264
1week_FSC_3.75_3.75_mM_2,1week,FSC,3.75,3.75_mM,2,0.735
1week_FSC_3.75_3.75_mM_3,1week,FSC,3.75,3.75_mM,3,0.372
1week_FSC_3.75_3.75_mM_4,1week,FSC,3.75,3.75_mM,4,0.183
1week_FSC_3.75_3.75_mM_5,1week,FSC,3.75,3.75_mM,5,0.357
1week_FSC_3.75_3.75_mM_6,1week,FSC,3.75,3.75_mM,6,0.276
1week_FSC_3.75_3.75_mM_7,1week,FSC,3.75,3.75_mM,7,0.517
1week_FSC_3.75_3.75_mM_8,1week,FSC,3.75,3.75_mM,8,0.29
1week_FSC_3.75_3.75_mM_9,1week,FSC,3.75,3.75_mM,9,0.189
1week_FSC_3.75_3.75_mM_10,1week,FSC,3.75,3.75_mM,10,0.324
1week_FSC_3.75_3.75_mM_11,1week,FSC,3.75,3.75_mM,11,0.903
1week_FSC_3.75_3.75_mM_12,1week,FSC,3.75,3.75_mM,12,0.744
1week_FSC_3.75_3.75_mM_13,1week,FSC,3.75,3.75_mM,13,0.377
1week_FSC_3.75_3.75_mM_14,1week,FSC,3.75,3.75_mM,14,0.179
1week_FSC_3.75_3.75_mM_15,1week,FSC,3.75,3.75_mM,15,0.271
1week_FSC_3.75_3.75_mM_16,1week,FSC,3.75,3.75_mM,16,0.134
1week_FSC_3.75_3.75_mM_17,1week,FSC,3.75,3.75_mM,17,0.25
1week_FSC_3.75_3.75_mM_18,1week,FSC,3.75,3.75_mM,18,0.152
1week_FSC_3.75_3.75_mM_19,1week,FSC,3.75,3.75_mM,19,0.269
1week_FSC_3.75_3.75_mM_20,1week,FSC,3.75,3.75_mM,20,0.265
1week_FSC_3.75_3.75_mM_21,1week,FSC,3.75,3.75_mM,21,0.78
1week_FSC_3.75_3.75_mM_22,1week,FSC,3.75,3.75_mM,22,0.573
1week_FSC_3.75_3.75_mM_23,1week,FSC,3.75,3.75_mM,23,0.245
1week_FSC_3.75_3.75_mM_24,1week,FSC,3.75,3.75_mM,24,0.711
1week_FSC_3.75_3.75_mM_25,1week,FSC,3.75,3.75_mM,25,0.259
1week_FSC_3.75_3.75_mM_26,1week,FSC,3.75,3.75_mM,26,0.135
1week_FSC_3.75_3.75_mM_27,1week,FSC,3.75,3.75_mM,27,0.352
1week_FSC_3.75_3.75_mM_28,1week,FSC,3.75,3.75_mM,28,0.366
1week_FSC_3.75_3.75_mM_29,1week,FSC,3.75,3.75_mM,29,0.105
1week_FSC_3.75_3.75_mM_30,1week,FSC,3.75,3.75_mM,30,0.179
1week_FSC_3.75_3.75_mM_31,1week,FSC,3.75,3.75_mM,31,0.673
1week_MF_1.87_1.87_mM_1,1week,MF,1.87,1.87_mM,1,0.222
1week_MF_1.87_1.87_mM_2,1week,MF,1.87,1.87_mM,2,1.034
1week_MF_1.87_1.87_mM_3,1week,MF,1.87,1.87_mM,3,1.25
1week_MF_1.87_1.87_mM_4,1week,MF,1.87,1.87_mM,4,0.863
1week_MF_1.87_1.87_mM_5,1week,MF,1.87,1.87_mM,5,1.3
1week_MF_1.87_1.87_mM_6,1week,MF,1.87,1.87_mM,6,1.3
1week_MF_1.87_1.87_mM_7,1week,MF,1.87,1.87_mM,7,0.338
1week_MF_1.87_1.87_mM_8,1week,MF,1.87,1.87_mM,8,1.498
1week_MF_1.87_1.87_mM_9,1week,MF,1.87,1.87_mM,9,0.878
1week_MF_1.87_1.87_mM_10,1week,MF,1.87,1.87_mM,10,1.03
1week_MF_1.87_1.87_mM_11,1week,MF,1.87,1.87_mM,11,1.006
1week_MF_1.87_1.87_mM_12,1week,MF,1.87,1.87_mM,12,1.271
1week_MF_1.87_1.87_mM_13,1week,MF,1.87,1.87_mM,13,0.849
1week_MF_1.87_1.87_mM_14,1week,MF,1.87,1.87_mM,14,1.338
1week_MF_1.87_1.87_mM_15,1week,MF,1.87,1.87_mM,15,1.019
1week_MF_1.87_1.87_mM_16,1week,MF,1.87,1.87_mM,16,0.991
1week_MF_1.87_1.87_mM_17,1week,MF,1.87,1.87_mM,17,1.166
1week_MF_1.87_1.87_mM_18,1week,MF,1.87,1.87_mM,18,0.815
1week_MF_1.87_1.87_mM_19,1week,MF,1.87,1.87_mM,19,1.023
1week_MF_1.87_1.87_mM_20,1week,MF,1.87,1.87_mM,20,1.108
1week_MF_1.87_1.87_mM_21,1week,MF,1.87,1.87_mM,21,0.913
1week_MF_1.87_1.87_mM_22,1week,MF,1.87,1.87_mM,22,0.948
1week_MF_1.87_1.87_mM_23,1week,MF,1.87,1.87_mM,23,1.196
1week_MF_1.87_1.87_mM_24,1week,MF,1.87,1.87_mM,24,1.045
1week_MF_1.87_1.87_mM_25,1week,MF,1.87,1.87_mM,25,1.074
1week_MF_1.87_1.87_mM_26,1week,MF,1.87,1.87_mM,26,0.243
1week_MF_1.87_1.87_mM_27,1week,MF,1.87,1.87_mM,27,1.245
1week_MF_1.87_1.87_mM_28,1week,MF,1.87,1.87_mM,28,1.124
1week_MF_1.87_1.87_mM_29,1week,MF,1.87,1.87_mM,29,1.057
1week_MF_1.87_1.87_mM_30,1week,MF,1.87,1.87_mM,30,0.876
1week_MF_1.87_1.87_mM_31,1week,MF,1.87,1.87_mM,31,0.276
1week_MF_1.87_1.87_mM_32,1week,MF,1.87,1.87_mM,32,0.4
1week_MF_1.87_1.87_mM_33,1week,MF,1.87,1.87_mM,33,1.385
1week_MF_1.87_1.87_mM_34,1week,MF,1.87,1.87_mM,34,1.166
1week_MF_1.87_1.87_mM_35,1week,MF,1.87,1.87_mM,35,1.061
1week_MF_1.87_1.87_mM_36,1week,MF,1.87,1.87_mM,36,1.213
1week_MF_1.87_1.87_mM_37,1week,MF,1.87,1.87_mM,37,0.413
1week_MF_1.87_1.87_mM_38,1week,MF,1.87,1.87_mM,38,0.088
1week_MF_1.87_1.87_mM_39,1week,MF,1.87,1.87_mM,39,1.153
1week_MF_1.87_1.87_mM_40,1week,MF,1.87,1.87_mM,40,1.018
1week_MF_1.87_1.87_mM_41,1week,MF,1.87,1.87_mM,41,0.434
1week_MF_1.87_1.87_mM_42,1week,MF,1.87,1.87_mM,42,0.275
1week_FSC_1.87_1.87_mM_1,1week,FSC,1.87,1.87_mM,1,0.207
1week_FSC_1.87_1.87_mM_2,1week,FSC,1.87,1.87_mM,2,0.311
1week_FSC_1.87_1.87_mM_3,1week,FSC,1.87,1.87_mM,3,0.239
1week_FSC_1.87_1.87_mM_4,1week,FSC,1.87,1.87_mM,4,0.322
1week_FSC_1.87_1.87_mM_5,1week,FSC,1.87,1.87_mM,5,0.56
1week_FSC_1.87_1.87_mM_6,1week,FSC,1.87,1.87_mM,6,1.079
1week_FSC_1.87_1.87_mM_7,1week,FSC,1.87,1.87_mM,7,0.814
1week_FSC_1.87_1.87_mM_8,1week,FSC,1.87,1.87_mM,8,0.802
1week_FSC_1.87_1.87_mM_9,1week,FSC,1.87,1.87_mM,9,0.257
1week_FSC_1.87_1.87_mM_10,1week,FSC,1.87,1.87_mM,10,0.072
1week_FSC_1.87_1.87_mM_11,1week,FSC,1.87,1.87_mM,11,0.831
1week_FSC_1.87_1.87_mM_12,1week,FSC,1.87,1.87_mM,12,0.393
1week_FSC_1.87_1.87_mM_13,1week,FSC,1.87,1.87_mM,13,0.288
1week_FSC_1.87_1.87_mM_14,1week,FSC,1.87,1.87_mM,14,0.257
1week_FSC_1.87_1.87_mM_15,1week,FSC,1.87,1.87_mM,15,0.383
1week_FSC_1.87_1.87_mM_16,1week,FSC,1.87,1.87_mM,16,0.232
1week_FSC_1.87_1.87_mM_17,1week,FSC,1.87,1.87_mM,17,0.324
