ID,Time_Points,Microbes,Concentration_3OMG,Concentration_3OMG_2,Tech_Rep,Root_length
72h_FSC_7.5_7.5_mM_12,72h,FSC,7.5,7.5_mM,12,0.243
72h_FSC_7.5_7.5_mM_13,72h,FSC,7.5,7.5_mM,13,0.218
72h_FSC_7.5_7.5_mM_14,72h,FSC,7.5,7.5_mM,14,0.094
72h_FSC_7.5_7.5_mM_15,72h,FSC,7.5,7.5_mM,15,0.205
72h_FSC_7.5_7.5_mM_16,72h,FSC,7.5,7.5_mM,16,0.105
72h_FSC_7.5_7.5_mM_17,72h,FSC,7.5,7.5_mM,17,0.142
72h_FSC_7.5_7.5_mM_18,72h,FSC,7.5,7.5_mM,18,0.076
72h_FSC_7.5_7.5_mM_19,72h,FSC,7.5,7.5_mM,19,0.244
72h_FSC_7.5_7.5_mM_20,72h,FSC,7.5,7.5_mM,20,0.184
72h_FSC_7.5_7.5_mM_21,72h,FSC,7.5,7.5_mM,21,0.141
72h_FSC_7.5_7.5_mM_22,72h,FSC,7.5,7.5_mM,22,0.089
72h_FSC_7.5_7.5_mM_23,72h,FSC,7.5,7.5_mM,23,0.103
72h_FSC_7.5_7.5_mM_24,72h,FSC,7.5,7.5_mM,24,0.175
72h_FSC_7.5_7.5_mM_25,72h,FSC,7.5,7.5_mM,25,0.185
72h_FSC_7.5_7.5_mM_26,72h,FSC,7.5,7.5_mM,26,0.234
72h_FSC_7.5_7.5_mM_27,72h,FSC,7.5,7.5_mM,27,0.2
72h_FSC_7.5_7.5_mM_28,72h,FSC,7.5,7.5_mM,28,0.188
72h_FSC_7.5_7.5_mM_29,72h,FSC,7.5,7.5_mM,29,0.197
72h_MF_3.75_3.75_mM_1,72h,MF,3.75,3.75_mM,1,0.243
72h_MF_3.75_3.75_mM_2,72h,MF,3.75,3.75_mM,2,0.193
72h_MF_3.75_3.75_mM_3,72h,MF,3.75,3.75_mM,3,0.212
72h_MF_3.75_3.75_mM_4,72h,MF,3.75,3.75_mM,4,0.209
72h_MF_3.75_3.75_mM_5,72h,MF,3.75,3.75_mM,5,0.116
72h_MF_3.75_3.75_mM_6,72h,MF,3.75,3.75_mM,6,0.189
72h_MF_3.75_3.75_mM_7,72h,MF,3.75,3.75_mM,7,0.259
72h_MF_3.75_3.75_mM_8,72h,MF,3.75,3.75_mM,8,0.14
72h_MF_3.75_3.75_mM_9,72h,MF,3.75,3.75_mM,9,0.146
72h_MF_3.75_3.75_mM_10,72h,MF,3.75,3.75_mM,10,0.113
72h_MF_3.75_3.75_mM_11,72h,MF,3.75,3.75_mM,11,0.115
72h_MF_3.75_3.75_mM_12,72h,MF,3.75,3.75_mM,12,0.232
72h_MF_3.75_3.75_mM_13,72h,MF,3.75,3.75_mM,13,0.166
72h_MF_3.75_3.75_mM_14,72h,MF,3.75,3.75_mM,14,0.113
72h_MF_3.75_3.75_mM_15,72h,MF,3.75,3.75_mM,15,0.274
72h_MF_3.75_3.75_mM_16,72h,MF,3.75,3.75_mM,16,0.055
72h_MF_3.75_3.75_mM_17,72h,MF,3.75,3.75_mM,17,0.303
72h_MF_3.75_3.75_mM_18,72h,MF,3.75,3.75_mM,18,0.213
72h_MF_3.75_3.75_mM_19,72h,MF,3.75,3.75_mM,19,0.257
72h_MF_3.75_3.75_mM_20,72h,MF,3.75,3.75_mM,20,0.233
72h_MF_3.75_3.75_mM_21,72h,MF,3.75,3.75_mM,21,0.108
72h_MF_3.75_3.75_mM_22,72h,MF,3.75,3.75_mM,22,0.157
72h_MF_3.75_3.75_mM_23,72h,MF,3.75,3.75_mM,23,0.197
