	Date	Rep	Microbes	Compartment	Media	Concentration_3OMG	Concentration_3OMG_2	Inoc	Rep_Box	Tech_Rep	SFW	Number plants	Percent_survival	SFW_per_plant	PPI
125	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	1	1	22.6	1	20	22.6	452
126	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	1	2	0	0	0	0	0
127	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	1	3	0	0	0	0	0
128	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	1	4	0	0	0	0	0
129	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	2	1	10.8	1	20	10.8	216
130	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	2	2	3.7	1	20	3.7	74
131	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	2	3	0	0	0	0	0
132	16.01.24	R2	FSC	Shoots	3OMG	0.01	0.01_mM	Unique	2	4	0	0	0	0	0
133	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	1	1	0	0	0	0	0
134	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	1	2	0	0	0	0	0
135	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	1	3	0	0	0	0	0
136	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	1	4	0	0	0	0	0
137	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	2	1	6.8	1	20	6.8	136
138	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	2	2	14.9	1	20	14.9	298
139	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	2	3	0	0	0	0	0
140	16.01.24	R2	FSC	Shoots	3OMG	0	0_mM	Unique	2	4	0	0	0	0	0
