	Wells	Media	Media_Concentration	Media2	Carbon Concentration	Carbon	Microbe	Time	Time2	OD600	Fluorescens
392	A8	PGB	1	PGB1%	75mM	3OMG	F16	96	96h	0.111299999	350
393	A9	PGB	1	PGB1%	75mM	3OMG	F16	96	96h	0.112800002	352
394	A10	PGB	0.1	PGB0.1%	75mM	3OMG	F16	96	96h	0.103799999	212
395	A11	PGB	0.1	PGB0.1%	75mM	3OMG	F16	96	96h	0.109999999	189
396	A12	PGB	0.1	PGB0.1%	75mM	3OMG	F16	96	96h	0.101999998	200
397	B1	PGB	100	PGB100%	7.5mM	3OMG	F16	96	96h	0.58859998	4765
398	B2	PGB	100	PGB100%	7.5mM	3OMG	F16	96	96h	0.566100001	5330
399	B3	PGB	100	PGB100%	7.5mM	3OMG	F16	96	96h	0.523800015	4916
400	B4	PGB	10	PGB10%	7.5mM	3OMG	F16	96	96h	0.176499993	1427
401	B5	PGB	10	PGB10%	7.5mM	3OMG	F16	96	96h	0.177900001	1351
402	B6	PGB	10	PGB10%	7.5mM	3OMG	F16	96	96h	0.175300002	1327
403	B7	PGB	1	PGB1%	7.5mM	3OMG	F16	96	96h	0.103399999	351
404	B8	PGB	1	PGB1%	7.5mM	3OMG	F16	96	96h	0.1008	334
405	B9	PGB	1	PGB1%	7.5mM	3OMG	F16	96	96h	0.100100003	307
406	B10	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	96	96h	0.098399997	179
407	B11	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	96	96h	0.091899998	184
408	B12	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	96	96h	0.094700001	171
409	C1	PGB	100	PGB100%	0.75mM	3OMG	F16	96	96h	0.603299975	4842
410	C2	PGB	100	PGB100%	0.75mM	3OMG	F16	96	96h	0.54339999	4861
411	C3	PGB	100	PGB100%	0.75mM	3OMG	F16	96	96h	0.565699995	5303
412	C4	PGB	10	PGB10%	0.75mM	3OMG	F16	96	96h	0.187600002	1107
413	C5	PGB	10	PGB10%	0.75mM	3OMG	F16	96	96h	0.176899999	1210
414	C6	PGB	10	PGB10%	0.75mM	3OMG	F16	96	96h	0.183599994	1214
415	C7	PGB	1	PGB1%	0.75mM	3OMG	F16	96	96h	0.1131	389
416	C8	PGB	1	PGB1%	0.75mM	3OMG	F16	96	96h	0.111299999	366
417	C9	PGB	1	PGB1%	0.75mM	3OMG	F16	96	96h	0.103699997	337
418	C10	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	96	96h	0.097599998	191
419	C11	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	96	96h	0.090499997	182
420	C12	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	96	96h	0.094700001	174
421	D1	PGB	100	PGB100%	0mM	Water	F16	96	96h	0.588100016	5231
422	D2	PGB	100	PGB100%	0mM	Water	F16	96	96h	0.57099998	5467
423	D3	PGB	100	PGB100%	0mM	Water	F16	96	96h	0.532000005	5149
424	D4	PGB	10	PGB10%	0mM	Water	F16	96	96h	0.209999993	1225
425	D5	PGB	10	PGB10%	0mM	Water	F16	96	96h	0.211099997	1229
426	D6	PGB	10	PGB10%	0mM	Water	F16	96	96h	0.215100005	1290
427	D7	PGB	1	PGB1%	0mM	Water	F16	96	96h	0.120700002	546
428	D8	PGB	1	PGB1%	0mM	Water	F16	96	96h	0.128199995	530
429	D9	PGB	1	PGB1%	0mM	Water	F16	96	96h	0.119999997	524
430	D10	PGB	0.1	PGB0.1%	0mM	Water	F16	96	96h	0.104599997	292
431	D11	PGB	0.1	PGB0.1%	0mM	Water	F16	96	96h	0.100500003	253
432	D12	PGB	0.1	PGB0.1%	0mM	Water	F16	96	96h	0.104500003	255
433	E1	PGB	100	PGB100%	75mM	D.Glucose	F16	96	96h	1.005800009	22885
434	E2	PGB	100	PGB100%	75mM	D.Glucose	F16	96	96h	0.854600012	7584
435	E3	PGB	100	PGB100%	75mM	D.Glucose	F16	96	96h	0.82889998	8223
436	E4	PGB	10	PGB10%	75mM	D.Glucose	F16	96	96h	0.356000006	1452
437	E5	PGB	10	PGB10%	75mM	D.Glucose	F16	96	96h	0.347200006	1454
438	E6	PGB	10	PGB10%	75mM	D.Glucose	F16	96	96h	0.356900007	1512
439	E7	PGB	1	PGB1%	75mM	D.Glucose	F16	96	96h	0.328700006	696
440	E8	PGB	1	PGB1%	75mM	D.Glucose	F16	96	96h	0.342999995	673
441	E9	PGB	1	PGB1%	75mM	D.Glucose	F16	96	96h	0.353899986	692
442	E10	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	96	96h	0.229300007	230
443	E11	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	96	96h	0.251800001	343
444	E12	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	96	96h	0.250099987	242
445	F1	PGB	100	PGB100%	7.5mM	D.Glucose	F16	96	96h	0.799300015	8859
446	F2	PGB	100	PGB100%	7.5mM	D.Glucose	F16	96	96h	0.674700022	5747
447	F3	PGB	100	PGB100%	7.5mM	D.Glucose	F16	96	96h	0.685299993	6011
448	F4	PGB	10	PGB10%	7.5mM	D.Glucose	F16	96	96h	0.308400005	1340
449	F5	PGB	10	PGB10%	7.5mM	D.Glucose	F16	96	96h	0.310400009	1426
450	F6	PGB	10	PGB10%	7.5mM	D.Glucose	F16	96	96h	0.314200014	1454
451	F7	PGB	1	PGB1%	7.5mM	D.Glucose	F16	96	96h	0.346899986	596
452	F8	PGB	1	PGB1%	7.5mM	D.Glucose	F16	96	96h	0.35679999	597
453	F9	PGB	1	PGB1%	7.5mM	D.Glucose	F16	96	96h	0.356000006	611
454	F10	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	96	96h	0.222100005	215
455	F11	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	96	96h	0.225299999	224
456	F12	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	96	96h	0.229699999	221
457	G1	PGB	100	PGB100%	0.75mM	D.Glucose	F16	96	96h	0.614099979	5407
458	G2	PGB	100	PGB100%	0.75mM	D.Glucose	F16	96	96h	0.599900007	5442
459	G3	PGB	100	PGB100%	0.75mM	D.Glucose	F16	96	96h	0.673399985	7888
460	G4	PGB	10	PGB10%	0.75mM	D.Glucose	F16	96	96h	0.219899997	1304
461	G5	PGB	10	PGB10%	0.75mM	D.Glucose	F16	96	96h	0.226199999	1284
462	G6	PGB	10	PGB10%	0.75mM	D.Glucose	F16	96	96h	0.228699997	1453
463	G7	PGB	1	PGB1%	0.75mM	D.Glucose	F16	96	96h	0.138099998	597
464	G8	PGB	1	PGB1%	0.75mM	D.Glucose	F16	96	96h	0.136700004	575
465	G9	PGB	1	PGB1%	0.75mM	D.Glucose	F16	96	96h	0.135299996	579
466	G10	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	96	96h	0.123800002	210
467	G11	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	96	96h	0.125300005	221
468	G12	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	96	96h	0.124399997	226
469	H1	PGB	100	PGB100%	0mM	Water	MF	96	96h	0.091200002	3743
470	H2	PGB	100	PGB100%	0mM	Water	MF	96	96h	0.090999998	3799
471	H3	PGB	100	PGB100%	0mM	Water	MF	96	96h	0.092699997	3780
472	H4	PGB	10	PGB10%	0mM	Water	MF	96	96h	0.246999994	1570
473	H5	PGB	10	PGB10%	0mM	Water	MF	96	96h	0.084299996	391
474	H6	PGB	10	PGB10%	0mM	Water	MF	96	96h	0.082800001	395
475	H7	PGB	1	PGB1%	0mM	Water	MF	96	96h	0.080300003	153
476	H8	PGB	1	PGB1%	0mM	Water	MF	96	96h	0.085699998	153
477	H9	PGB	1	PGB1%	0mM	Water	MF	96	96h	0.080499999	157
478	H10	PGB	0.1	PGB0.1%	0mM	Water	MF	96	96h	0.079099998	139
479	H11	PGB	0.1	PGB0.1%	0mM	Water	MF	96	96h	0.080200002	143
480	H12	PGB	0.1	PGB0.1%	0mM	Water	MF	96	96h	0.080499999	134
481	A1	PGB	100	PGB100%	75mM	3OMG	F16	120	120h	0.68599999	7100
482	A2	PGB	100	PGB100%	75mM	3OMG	F16	120	120h	0.693400025	6330
483	A3	PGB	100	PGB100%	75mM	3OMG	F16	120	120h	0.698800027	6252
484	A4	PGB	10	PGB10%	75mM	3OMG	F16	120	120h	0.166600004	1744
485	A5	PGB	10	PGB10%	75mM	3OMG	F16	120	120h	0.187700003	1770
486	A6	PGB	10	PGB10%	75mM	3OMG	F16	120	120h	0.187700003	1955
487	A7	PGB	1	PGB1%	75mM	3OMG	F16	120	120h	0.105700001	358
488	A8	PGB	1	PGB1%	75mM	3OMG	F16	120	120h	0.107799999	383
489	A9	PGB	1	PGB1%	75mM	3OMG	F16	120	120h	0.109999999	379
490	A10	PGB	0.1	PGB0.1%	75mM	3OMG	F16	120	120h	0.101199999	220
491	A11	PGB	0.1	PGB0.1%	75mM	3OMG	F16	120	120h	0.1096	195
492	A12	PGB	0.1	PGB0.1%	75mM	3OMG	F16	120	120h	0.101400003	210
493	B1	PGB	100	PGB100%	7.5mM	3OMG	F16	120	120h	0.610499978	6140
494	B2	PGB	100	PGB100%	7.5mM	3OMG	F16	120	120h	0.615700006	6939
495	B3	PGB	100	PGB100%	7.5mM	3OMG	F16	120	120h	0.576300025	5656
496	B4	PGB	10	PGB10%	7.5mM	3OMG	F16	120	120h	0.172600001	1715
497	B5	PGB	10	PGB10%	7.5mM	3OMG	F16	120	120h	0.181199998	1639
498	B6	PGB	10	PGB10%	7.5mM	3OMG	F16	120	120h	0.177399993	1604
499	B7	PGB	1	PGB1%	7.5mM	3OMG	F16	120	120h	0.1021	360
500	B8	PGB	1	PGB1%	7.5mM	3OMG	F16	120	120h	0.098999999	348
501	B9	PGB	1	PGB1%	7.5mM	3OMG	F16	120	120h	0.098399997	332
502	B10	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	120	120h	0.098800004	186
503	B11	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	120	120h	0.092299998	186
504	B12	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	120	120h	0.094499998	180
505	C1	PGB	100	PGB100%	0.75mM	3OMG	F16	120	120h	0.678600013	6771
506	C2	PGB	100	PGB100%	0.75mM	3OMG	F16	120	120h	0.631500006	5650
507	C3	PGB	100	PGB100%	0.75mM	3OMG	F16	120	120h	0.642700016	6132
508	C4	PGB	10	PGB10%	0.75mM	3OMG	F16	120	120h	0.197600007	1209
509	C5	PGB	10	PGB10%	0.75mM	3OMG	F16	120	120h	0.180999994	1368
510	C6	PGB	10	PGB10%	0.75mM	3OMG	F16	120	120h	0.193800002	1352
511	C7	PGB	1	PGB1%	0.75mM	3OMG	F16	120	120h	0.110299997	408
512	C8	PGB	1	PGB1%	0.75mM	3OMG	F16	120	120h	0.109999999	389
513	C9	PGB	1	PGB1%	0.75mM	3OMG	F16	120	120h	0.104099996	354
514	C10	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	120	120h	0.099299997	197
515	C11	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	120	120h	0.092500001	187
516	C12	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	120	120h	0.096000001	180
517	D1	PGB	100	PGB100%	0mM	Water	F16	120	120h	0.654999971	6916
518	D2	PGB	100	PGB100%	0mM	Water	F16	120	120h	0.639900029	6361
519	D3	PGB	100	PGB100%	0mM	Water	F16	120	120h	0.611299992	5717
520	D4	PGB	10	PGB10%	0mM	Water	F16	120	120h	0.216600001	1333
521	D5	PGB	10	PGB10%	0mM	Water	F16	120	120h	0.214900002	1346
522	D6	PGB	10	PGB10%	0mM	Water	F16	120	120h	0.216900006	1375
523	D7	PGB	1	PGB1%	0mM	Water	F16	120	120h	0.123199999	595
524	D8	PGB	1	PGB1%	0mM	Water	F16	120	120h	0.130400002	572
525	D9	PGB	1	PGB1%	0mM	Water	F16	120	120h	0.124300003	564
526	D10	PGB	0.1	PGB0.1%	0mM	Water	F16	120	120h	0.110200003	312
527	D11	PGB	0.1	PGB0.1%	0mM	Water	F16	120	120h	0.102799997	266
528	D12	PGB	0.1	PGB0.1%	0mM	Water	F16	120	120h	0.105800003	271
529	E1	PGB	100	PGB100%	75mM	D.Glucose	F16	120	120h	1.175199986	32498
530	E2	PGB	100	PGB100%	75mM	D.Glucose	F16	120	120h	1.089300036	10262
531	E3	PGB	100	PGB100%	75mM	D.Glucose	F16	120	120h	1.059399962	10920
532	E4	PGB	10	PGB10%	75mM	D.Glucose	F16	120	120h	0.409099996	1613
533	E5	PGB	10	PGB10%	75mM	D.Glucose	F16	120	120h	0.406599998	1630
534	E6	PGB	10	PGB10%	75mM	D.Glucose	F16	120	120h	0.422300011	1713
535	E7	PGB	1	PGB1%	75mM	D.Glucose	F16	120	120h	0.372099996	831
536	E8	PGB	1	PGB1%	75mM	D.Glucose	F16	120	120h	0.379999995	751
537	E9	PGB	1	PGB1%	75mM	D.Glucose	F16	120	120h	0.408699989	719
538	E10	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	120	120h	0.257800013	252
539	E11	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	120	120h	0.274899989	353
540	E12	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	120	120h	0.275299996	255
541	F1	PGB	100	PGB100%	7.5mM	D.Glucose	F16	120	120h	0.847299993	12173
542	F2	PGB	100	PGB100%	7.5mM	D.Glucose	F16	120	120h	0.743200004	6898
543	F3	PGB	100	PGB100%	7.5mM	D.Glucose	F16	120	120h	0.746599972	6890
544	F4	PGB	10	PGB10%	7.5mM	D.Glucose	F16	120	120h	0.319499999	1447
545	F5	PGB	10	PGB10%	7.5mM	D.Glucose	F16	120	120h	0.32159999	1570
546	F6	PGB	10	PGB10%	7.5mM	D.Glucose	F16	120	120h	0.325199991	1613
547	F7	PGB	1	PGB1%	7.5mM	D.Glucose	F16	120	120h	0.378100008	722
548	F8	PGB	1	PGB1%	7.5mM	D.Glucose	F16	120	120h	0.406500012	646
549	F9	PGB	1	PGB1%	7.5mM	D.Glucose	F16	120	120h	0.420899987	621
550	F10	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	120	120h	0.245800003	230
551	F11	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	120	120h	0.2491	239
552	F12	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	120	120h	0.252400011	238
553	G1	PGB	100	PGB100%	0.75mM	D.Glucose	F16	120	120h	0.665300012	7503
554	G2	PGB	100	PGB100%	0.75mM	D.Glucose	F16	120	120h	0.674700022	6304
555	G3	PGB	100	PGB100%	0.75mM	D.Glucose	F16	120	120h	0.744499981	9415
556	G4	PGB	10	PGB10%	0.75mM	D.Glucose	F16	120	120h	0.230700001	1416
557	G5	PGB	10	PGB10%	0.75mM	D.Glucose	F16	120	120h	0.234300002	1391
558	G6	PGB	10	PGB10%	0.75mM	D.Glucose	F16	120	120h	0.235300004	1518
559	G7	PGB	1	PGB1%	0.75mM	D.Glucose	F16	120	120h	0.138899997	651
560	G8	PGB	1	PGB1%	0.75mM	D.Glucose	F16	120	120h	0.138400003	626
561	G9	PGB	1	PGB1%	0.75mM	D.Glucose	F16	120	120h	0.137600005	639
562	G10	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	120	120h	0.125699997	227
563	G11	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	120	120h	0.127399996	229
564	G12	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	120	120h	0.127700001	234
565	H1	PGB	100	PGB100%	0mM	Water	MF	120	120h	0.091600001	3941
566	H2	PGB	100	PGB100%	0mM	Water	MF	120	120h	0.091799997	4017
567	H3	PGB	100	PGB100%	0mM	Water	MF	120	120h	0.093800001	3987
568	H4	PGB	10	PGB10%	0mM	Water	MF	120	120h	0.254500002	1807
569	H5	PGB	10	PGB10%	0mM	Water	MF	120	120h	0.086400002	408
570	H6	PGB	10	PGB10%	0mM	Water	MF	120	120h	0.085000001	408
571	H7	PGB	1	PGB1%	0mM	Water	MF	120	120h	0.082800001	153
572	H8	PGB	1	PGB1%	0mM	Water	MF	120	120h	0.092600003	153
573	H9	PGB	1	PGB1%	0mM	Water	MF	120	120h	0.082999997	158
574	H10	PGB	0.1	PGB0.1%	0mM	Water	MF	120	120h	0.081699997	137
575	H11	PGB	0.1	PGB0.1%	0mM	Water	MF	120	120h	0.083700001	144
576	H12	PGB	0.1	PGB0.1%	0mM	Water	MF	120	120h	0.082900003	136
577	A1	PGB	100	PGB100%	75mM	3OMG	F16	144	144h	0.690299988	9252
578	A2	PGB	100	PGB100%	75mM	3OMG	F16	144	144h	0.685199976	8251
579	A3	PGB	100	PGB100%	75mM	3OMG	F16	144	144h	0.685400009	8300
580	A4	PGB	10	PGB10%	75mM	3OMG	F16	144	144h	0.143700004	1809
581	A5	PGB	10	PGB10%	75mM	3OMG	F16	144	144h	0.163299993	1944
582	A6	PGB	10	PGB10%	75mM	3OMG	F16	144	144h	0.161599994	2106
583	A7	PGB	1	PGB1%	75mM	3OMG	F16	144	144h	0.103200004	373
584	A8	PGB	1	PGB1%	75mM	3OMG	F16	144	144h	0.104599997	406
585	A9	PGB	1	PGB1%	75mM	3OMG	F16	144	144h	0.107100002	405
586	A10	PGB	0.1	PGB0.1%	75mM	3OMG	F16	144	144h	0.100299999	235
587	A11	PGB	0.1	PGB0.1%	75mM	3OMG	F16	144	144h	0.109200001	207
588	A12	PGB	0.1	PGB0.1%	75mM	3OMG	F16	144	144h	0.100299999	217
589	B1	PGB	100	PGB100%	7.5mM	3OMG	F16	144	144h	0.626800001	8604
590	B2	PGB	100	PGB100%	7.5mM	3OMG	F16	144	144h	0.639699996	8292
591	B3	PGB	100	PGB100%	7.5mM	3OMG	F16	144	144h	0.605300009	6312
592	B4	PGB	10	PGB10%	7.5mM	3OMG	F16	144	144h	0.158299997	1762
593	B5	PGB	10	PGB10%	7.5mM	3OMG	F16	144	144h	0.166500002	1786
594	B6	PGB	10	PGB10%	7.5mM	3OMG	F16	144	144h	0.164299995	1755
595	B7	PGB	1	PGB1%	7.5mM	3OMG	F16	144	144h	0.104999997	366
596	B8	PGB	1	PGB1%	7.5mM	3OMG	F16	144	144h	0.102799997	350
597	B9	PGB	1	PGB1%	7.5mM	3OMG	F16	144	144h	0.102600001	328
598	B10	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	144	144h	0.103	186
599	B11	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	144	144h	0.094400004	188
600	B12	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	144	144h	0.0942	183
601	C1	PGB	100	PGB100%	0.75mM	3OMG	F16	144	144h	0.734899998	10192
602	C2	PGB	100	PGB100%	0.75mM	3OMG	F16	144	144h	0.723500013	7558
603	C3	PGB	100	PGB100%	0.75mM	3OMG	F16	144	144h	0.728799999	7241
604	C4	PGB	10	PGB10%	0.75mM	3OMG	F16	144	144h	0.185399994	1308
605	C5	PGB	10	PGB10%	0.75mM	3OMG	F16	144	144h	0.166099995	1525
606	C6	PGB	10	PGB10%	0.75mM	3OMG	F16	144	144h	0.1831	1474
607	C7	PGB	1	PGB1%	0.75mM	3OMG	F16	144	144h	0.111299999	420
608	C8	PGB	1	PGB1%	0.75mM	3OMG	F16	144	144h	0.111500002	396
609	C9	PGB	1	PGB1%	0.75mM	3OMG	F16	144	144h	0.107799999	362
610	C10	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	144	144h	0.103399999	199
611	C11	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	144	144h	0.096900001	189
612	C12	PGB	0.1	PGB0.1%	0.75mM	3OMG	F16	144	144h	0.097800002	181
613	D1	PGB	100	PGB100%	0mM	Water	F16	144	144h	0.690299988	9288
614	D2	PGB	100	PGB100%	0mM	Water	F16	144	144h	0.702099979	7916
615	D3	PGB	100	PGB100%	0mM	Water	F16	144	144h	0.679499984	6732
616	D4	PGB	10	PGB10%	0mM	Water	F16	144	144h	0.211700007	1469
617	D5	PGB	10	PGB10%	0mM	Water	F16	144	144h	0.210700005	1493
618	D6	PGB	10	PGB10%	0mM	Water	F16	144	144h	0.215000004	1515
619	D7	PGB	1	PGB1%	0mM	Water	F16	144	144h	0.127700001	628
620	D8	PGB	1	PGB1%	0mM	Water	F16	144	144h	0.132699996	607
621	D9	PGB	1	PGB1%	0mM	Water	F16	144	144h	0.126900002	590
622	D10	PGB	0.1	PGB0.1%	0mM	Water	F16	144	144h	0.113300003	327
623	D11	PGB	0.1	PGB0.1%	0mM	Water	F16	144	144h	0.105899997	282
624	D12	PGB	0.1	PGB0.1%	0mM	Water	F16	144	144h	0.1074	293
625	E1	PGB	100	PGB100%	75mM	D.Glucose	F16	144	144h	1.195600033	36515
626	E2	PGB	100	PGB100%	75mM	D.Glucose	F16	144	144h	1.147799969	11515
627	E3	PGB	100	PGB100%	75mM	D.Glucose	F16	144	144h	1.135800004	12261
628	E4	PGB	10	PGB10%	75mM	D.Glucose	F16	144	144h	0.448000014	1688
629	E5	PGB	10	PGB10%	75mM	D.Glucose	F16	144	144h	0.452300012	1714
630	E6	PGB	10	PGB10%	75mM	D.Glucose	F16	144	144h	0.471500009	1831
631	E7	PGB	1	PGB1%	75mM	D.Glucose	F16	144	144h	0.413800001	970
632	E8	PGB	1	PGB1%	75mM	D.Glucose	F16	144	144h	0.415699989	889
633	E9	PGB	1	PGB1%	75mM	D.Glucose	F16	144	144h	0.437599987	786
634	E10	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	144	144h	0.287200004	306
635	E11	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	144	144h	0.298999995	366
636	E12	PGB	0.1	PGB0.1%	75mM	D.Glucose	F16	144	144h	0.294999987	279
637	F1	PGB	100	PGB100%	7.5mM	D.Glucose	F16	144	144h	0.890100002	16842
638	F2	PGB	100	PGB100%	7.5mM	D.Glucose	F16	144	144h	0.800599992	8462
639	F3	PGB	100	PGB100%	7.5mM	D.Glucose	F16	144	144h	0.800999999	8057
640	F4	PGB	10	PGB10%	7.5mM	D.Glucose	F16	144	144h	0.324099988	1495
641	F5	PGB	10	PGB10%	7.5mM	D.Glucose	F16	144	144h	0.330500007	1650
642	F6	PGB	10	PGB10%	7.5mM	D.Glucose	F16	144	144h	0.336100012	1688
643	F7	PGB	1	PGB1%	7.5mM	D.Glucose	F16	144	144h	0.40990001	862
644	F8	PGB	1	PGB1%	7.5mM	D.Glucose	F16	144	144h	0.421099991	771
645	F9	PGB	1	PGB1%	7.5mM	D.Glucose	F16	144	144h	0.437700003	691
646	F10	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	144	144h	0.270799994	274
647	F11	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	144	144h	0.270999998	257
648	F12	PGB	0.1	PGB0.1%	7.5mM	D.Glucose	F16	144	144h	0.270700008	257
649	G1	PGB	100	PGB100%	0.75mM	D.Glucose	F16	144	144h	0.688399971	9137
650	G2	PGB	100	PGB100%	0.75mM	D.Glucose	F16	144	144h	0.739799976	7654
651	G3	PGB	100	PGB100%	0.75mM	D.Glucose	F16	144	144h	0.791299999	11294
652	G4	PGB	10	PGB10%	0.75mM	D.Glucose	F16	144	144h	0.234300002	1498
653	G5	PGB	10	PGB10%	0.75mM	D.Glucose	F16	144	144h	0.238800004	1492
654	G6	PGB	10	PGB10%	0.75mM	D.Glucose	F16	144	144h	0.241999999	1603
655	G7	PGB	1	PGB1%	0.75mM	D.Glucose	F16	144	144h	0.144600004	687
656	G8	PGB	1	PGB1%	0.75mM	D.Glucose	F16	144	144h	0.144999996	654
657	G9	PGB	1	PGB1%	0.75mM	D.Glucose	F16	144	144h	0.143099993	659
658	G10	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	144	144h	0.129800007	243
659	G11	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	144	144h	0.132100001	240
660	G12	PGB	0.1	PGB0.1%	0.75mM	D.Glucose	F16	144	144h	0.127200007	251
661	H1	PGB	100	PGB100%	0mM	Water	MF	144	144h	0.0955	4057
662	H2	PGB	100	PGB100%	0mM	Water	MF	144	144h	0.108599998	3925
663	H3	PGB	100	PGB100%	0mM	Water	MF	144	144h	0.103799999	3977
664	H4	PGB	10	PGB10%	0mM	Water	MF	144	144h	0.257299989	1959
665	H5	PGB	10	PGB10%	0mM	Water	MF	144	144h	0.094700001	411
666	H6	PGB	10	PGB10%	0mM	Water	MF	144	144h	0.092399999	416
667	H7	PGB	1	PGB1%	0mM	Water	MF	144	144h	0.089100003	156
668	H8	PGB	1	PGB1%	0mM	Water	MF	144	144h	0.088200003	148
669	H9	PGB	1	PGB1%	0mM	Water	MF	144	144h	0.086199999	160
670	H10	PGB	0.1	PGB0.1%	0mM	Water	MF	144	144h	0.082699999	142
671	H11	PGB	0.1	PGB0.1%	0mM	Water	MF	144	144h	0.084100001	146
672	H12	PGB	0.1	PGB0.1%	0mM	Water	MF	144	144h	0.082699999	140
673	A1	PGB	100	PGB100%	75mM	3OMG	F16	168	168h	0.691699982	11023
674	A2	PGB	100	PGB100%	75mM	3OMG	F16	168	168h	0.688399971	10326
675	A3	PGB	100	PGB100%	75mM	3OMG	F16	168	168h	0.678300023	10493
676	A4	PGB	10	PGB10%	75mM	3OMG	F16	168	168h	0.134000003	1886
677	A5	PGB	10	PGB10%	75mM	3OMG	F16	168	168h	0.1461	2061
678	A6	PGB	10	PGB10%	75mM	3OMG	F16	168	168h	0.139300004	2183
679	A7	PGB	1	PGB1%	75mM	3OMG	F16	168	168h	0.101099998	375
680	A8	PGB	1	PGB1%	75mM	3OMG	F16	168	168h	0.1017	413
681	A9	PGB	1	PGB1%	75mM	3OMG	F16	168	168h	0.104000002	412
682	A10	PGB	0.1	PGB0.1%	75mM	3OMG	F16	168	168h	0.098800004	242
683	A11	PGB	0.1	PGB0.1%	75mM	3OMG	F16	168	168h	0.106600001	217
684	A12	PGB	0.1	PGB0.1%	75mM	3OMG	F16	168	168h	0.099799998	220
685	B1	PGB	100	PGB100%	7.5mM	3OMG	F16	168	168h	0.632099986	11722
686	B2	PGB	100	PGB100%	7.5mM	3OMG	F16	168	168h	0.651000023	9775
687	B3	PGB	100	PGB100%	7.5mM	3OMG	F16	168	168h	0.617900014	7215
688	B4	PGB	10	PGB10%	7.5mM	3OMG	F16	168	168h	0.145999998	1788
689	B5	PGB	10	PGB10%	7.5mM	3OMG	F16	168	168h	0.149800003	1857
690	B6	PGB	10	PGB10%	7.5mM	3OMG	F16	168	168h	0.145500004	1841
691	B7	PGB	1	PGB1%	7.5mM	3OMG	F16	168	168h	0.103299998	362
692	B8	PGB	1	PGB1%	7.5mM	3OMG	F16	168	168h	0.101099998	345
693	B9	PGB	1	PGB1%	7.5mM	3OMG	F16	168	168h	0.100599997	328
694	B10	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	168	168h	0.101300001	182
695	B11	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	168	168h	0.093999997	185
696	B12	PGB	0.1	PGB0.1%	7.5mM	3OMG	F16	168	168h	0.0942	179
697	C1	PGB	100	PGB100%	0.75mM	3OMG	F16	168	168h	0.725899994	12535
698	C2	PGB	100	PGB100%	0.75mM	3OMG	F16	168	168h	0.754000008	9038
699	C3	PGB	100	PGB100%	0.75mM	3OMG	F16	168	168h	0.755900025	8396
700	C4	PGB	10	PGB10%	0.75mM	3OMG	F16	168	168h	0.162499994	1451
701	C5	PGB	10	PGB10%	0.75mM	3OMG	F16	168	168h	0.146699995	1648
702	C6	PGB	10	PGB10%	0.75mM	3OMG	F16	168	168h	0.162200004	1599
