,Compounds,QC1,QC2,QC3,Exsudat.Arabido.A1,Exsudat.Arabido.A2,Exsudat.Arabido.A3,Exsudat.Arabido.A4,Exsudat.Arabido.A5,Exsudat.MicroTom.T1,Exsudat.MicroTom.T2,Exsudat.MicroTom.T3,Exsudat.MicroTom.T4,Exsudat.MicroTom.T5,Exsudat.Lotus.japonicus.L1,Exsudat.Lotus.japonicus.L2,Exsudat.Lotus.japonicus.L3,Exsudat.Lotus.japonicus.L4,Exsudat.Lotus.japonicus.L5,Controle.sans.plante.C1,Controle.sans.plante.C2,Controle.sans.plante.C3,Pool.exsudat
31,Viburnitol!1794.6/217_OTHER,3.751187792,3.150024648,3.255474199,3.205075832,3.13781863,2.275169072,3.206602924,1.016889724,2.19438007,1.66678686,6.275660021,4.201458719,3.582631868,10.11075355,1.995879316,1.769713948,3.09470461,3.432902737,0,0,2.068461664,2.454913711
32,Azelaicacid!1799.4/317_OA,2.611580185,1.317779863,0.987834564,1.696500812,0.920854869,0.917840557,1.145434715,0.681769076,1.454332658,0.964725337,1.610505472,1.830652804,3.404408269,1.237650803,0.490870489,0.514043588,0.796184576,1.213237627,0,0,0.377641695,1.226836615
33,Citrate!1819.8/273_OA,8.707489298,8.021598772,7.949896134,3.715532916,3.750116166,2.452787828,0,1.72230077,0,0,0,3.439825761,0,49.4118182,22.99268075,18.28909682,35.09058741,14.21395864,0,0,0,6.853606346
34,S-(5'-Adenosyl)-L-methionine$1!1819.3/160_OTHER,4.066983463,4.289653263,6.909494972,19.91035625,4.815195013,7.971998946,25.72115088,8.485020247,0,0,0,0,0,0,0,0,0,0,0,0,0,4.235106547
35,Pinitol!1828.6/318_OTHER,6.861106787,4.814637585,5.219025177,4.468801458,3.559659397,0,3.811534797,0,0,0,0,3.268206876,0,54.79285345,4.66328723,4.207292024,6.175480905,7.844666976,0,0,0,6.397467715
36,Quinate!1857.9/345_OA,0,0,0,0,0,0,0,0,0,0,9.171244142,7.163638063,0,7.921714538,0,0,0,0,0,0,0,0
37,Adenine-1!1867.7/264_OTHER,48.33858342,50.28667461,49.84828591,0,47.2103115,49.1574058,16.78627362,0,0,0,0.575146002,0.592609423,0.105424694,2.65952333,0.379796621,0.373446267,0,0.503284041,0,0,0.329903779,49.67061459
38,Inositol-1!1894.5/318_OTHER,2.236231503,2.189420781,2.091035503,0,0.170975217,0,5.41392762,0,2.661087507,1.110067794,4.029618788,2.362959536,1.67804837,9.902672511,1.17762719,1.2311562,2.648443914,3.042986651,0,0,0,1.975191451
39,Mannitol!1930.6/307_OTHER,8.267437576,10.45470034,10.74882207,35.36723628,2.313176481,8.925000476,4.118584569,9.337295699,0,0,0,0,0,1.706909815,0,0,0,0,0,0,0,4.687661374
40,Glucaricacidlactone!1944.7/217_OA,8.667993228,4.678634526,4.043695047,17.02753884,5.851873339,8.205620537,11.07382226,8.717783701,0,0,0.972987067,0.102919232,0.619729662,20.91676781,2.274096053,1.330585395,3.684820918,3.341324832,0,0,0,3.164298031
41,D-Chiro-Inositol!1949.3/318_OTHER,4.601345908,4.722732914,4.568643638,1.203752556,0.470224639,0,0,0,0,0,0.129743561,0.475555838,1.123860106,65.50574951,4.318219807,5.365717886,6.883364574,8.944531175,0,0,0,4.815622381
42,Hexonate!1968.8/333_OA,3.74086629,3.619059428,3.335235944,0,0,0,0,0,0,0,0,0,0,42.01033449,2.922007484,5.550461294,4.83540614,4.864448163,0,0,0,3.889114543
43,Glucopyranose$2!1975.7/204_SUG,2.083231938,1.959759188,1.969042113,0.290421591,0,0,0.479658934,0.136448827,0,0,0,0,0,36.62691565,1.33047621,1.439037659,2.748799181,1.441885971,0,0,0,1.668946242
44,Gluconate!1999.5/333_OA,0.102849627,0.379874563,0.401175226,1.43355884,0.589415262,0.735145801,1.85385798,0.981265868,0,0,0.132051097,0,0,0.985302209,0,0,0,0,0,0,0,0
45,Galactonate!1996.9/292_OA,1.076693392,1.462443264,1.518577097,5.851091829,0.869923939,1.506696131,3.725938494,1.680356166,0,0,0,0,0,0.821005929,0,0,0,0,0,0,0,0.495439471
46,Gluconate!1999.5/333_OA,1.563538627,1.568384057,1.532797841,6.161416943,0.966500951,2.530581893,4.079062346,2.980553815,0,0,0,0.101119914,0,0.526504051,0,0,0,0,0,0,0,1.146922173
47,Glucaricacid!2014.1/333_OA,2.217453966,2.039955218,2.006758178,0.195120617,0,0,0,0,0.532877325,0,2.590374648,2.341877461,0.551880071,25.5293201,3.380639261,3.317175809,3.840042301,2.803143415,0,0,0,2.061848508
48,Inositol-scyllo!2029/318_OTHER,5.425940413,5.229726363,5.066928026,0,0,0,10.11112851,0,56.37446419,15.63671133,17.80127115,0,2.360111079,2.281764615,0,0,0,0,0,0,0,4.905169409
49,Galactaricacid!2044.8/333_OA,0.093310337,0,0,0,0,0,0,0,0,0,0,0,0,4.322985978,0.726040233,0.740734101,1.5578069,0.514278752,0,0,0,0
50,Tridecanedioicacid$2tms!2177.8/373_FA,1.491123633,0,0,2.685397812,0.428659949,0.584313235,0.504792962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Sucrose!2647.3/451_SUG,16.51778618,0,0,13.74078193,12.28614093,0,0,0,0,0,0,0,0,69.24805741,0,0,0,0,0,0,0,0
52,Lactose$meox1!2696.6/204_SUG,1.848048576,1.271586954,1.307316944,0.623318538,0,0.509034828,0.498414311,0.5267101,2.729954803,2.80585562,20.91968624,6.266047126,0,0.135040123,0,0,0,0,0,0,0,0
53,Melibiose$meox1!2868.4/204_SUG,1.038992608,0.093026781,0.310683712,3.316200178,0.313520397,1.094302546,3.021178997,1.453187,0,0,0,0,0,2.476173924,0,0,0,0,0,0,0,0
54,Isomaltose$meox1!2873.2/361_SUG,0.094442461,0,0,2.140436106,0,0.599782849,1.743012548,0.70946852,0,0,0,0,0,0.710700032,0,0,0,0,0,0,0,0
55,Galactinol$2!3010.8/204_SUG,0,0,0,0.483727736,0.150222823,0,1.020298848,0.496392493,0,0,0,0,0,1.921066716,0,0,0,0,0,0,0,0
56,Digalactosylglycerol!3113/204_SUG,5.003165088,2.554749618,2.08869101,2.207801713,0,0.50849185,1.454395856,0.547472171,0,0,5.997389194,6.252588846,0,18.28907083,3.336751352,2.980932009,5.4898025,3.097799077,0,0,0,1.707900545
