,Compounds,blanc1,blanc2,blanc3,QC1,QC2,QC3,1-MS-Shoot,2-MS-Shoot,3-MS-Shoot,4-MS-Root,5-MS-Root,6-MS-Root,7-MS-Glucose-Root,8-MS-Glucose-Root,9-MS-Glucose-Root,10-MS-3OMG-Root,11-MS-3OMG-Root,12-MS-3OMG-Root,13-MS-Glucose-3OMG-Root,14-MS-Glucose-3OMG-Root,15-MS-Glucose-3OMG-Root,16-CAS-Soil-Wash-Soil,17-CAS-Soil-Wash-Soil,18-CAS-Soil-Wash-Soil,19-Peat-Wash-Peat,20-Peat-Wash-Peat,21-Peat-Wash-Peat,22-Water-Control-Water,23-Water-Control-Water,24-Water-Control-Water,25-seedcoat Arabidopsis,26-seedcoat Arabidopsis,27-seedcoat Arabidopsis,28-Embryon Arabidopsis,29-Embryon Arabidopsis,30-Embryon Arabidopsis
126,Sorbitol!1938.2/307_OTHER,0.00072397,0.000330652,0,0.001554877,0.0010811,0.001599001,5.97176E-05,5.9398E-05,7.04498E-05,2.59806E-05,3.22315E-05,0,2.19083E-05,9.56985E-05,6.19894E-05,7.616E-05,0.001041946,0.000135589,6.93124E-05,0.001229543,0.000341781,0.00164193,0.00249835,0.001275809,0.000642799,0.001672319,0.004294126,0.001273947,0.001179407,0.000487394,3.28133E-05,1.59887E-05,4.41352E-05,2.04978E-05,1.40303E-05,2.12683E-05
127,Ascorbate!1945.0/332_OA,0,0,0,0.015586312,0.017279685,0.022904388,0.003428212,0.003597166,0.004967489,0.009750098,0.010398847,0.008113698,0.011463944,0.008337288,0.008121178,0.006007502,0.006755133,0.005128003,0.007520269,0.012046465,0.010447973,0,0,0,0,0,0,0,0,0,1.42821E-06,1.46782E-06,2.45988E-06,2.20196E-05,1.62788E-05,9.83838E-06
128,Pentaerythritol!1496.4/191_OTHER,0,0,0,0.002406687,0.001621109,0.001805757,6.04658E-06,0.000116972,2.33686E-05,0.000210601,9.51253E-05,2.82805E-05,1.88892E-05,0.000110781,0.000104602,0.000110349,0.000255968,0.000115449,0.000199549,0.000116546,0.000207133,0.00364653,0.003556364,0.0046283,0.000614268,0.00556712,0.005711501,0.003064484,0.002311918,0.000779585,2.83257E-06,2.21574E-06,8.84835E-07,1.45342E-06,1.83095E-06,8.11405E-07
129,Dehydroascorbate$0!1790.3/392_OA,0,0,0,0.004449333,0.004844513,0.006606457,0.00540039,0.005370296,0.006646405,0.000592441,0.000894624,0.001050465,0.001165992,0.000834942,0.000759493,0.000344246,0.000423421,0.000313835,0.001220694,0.001568213,0.001480091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,O-Acetyl-serine!1399.1/174_AA,0,0,0,0.004402303,0.003211319,0.002961909,0.001090361,0.001078113,0.001273911,0.000266884,0.001136794,0.000384188,0.000359571,0.000408677,0.000575839,0.000419338,0.000381371,0.000221328,0.00095633,0.001742687,0.001622237,0,0,0,0,0,0,0,0,0,4.41707E-06,3.03875E-06,7.15384E-07,1.39076E-05,3.20807E-06,1.89851E-05
131,delta-5-Avenasterol!3377.7/386_APO,0,0,0,0.002969759,0.002232353,0.001895297,0.001757435,0.001869085,0.001968993,0,0,0,1.95842E-05,2.19626E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90908E-06,4.61942E-06,1.025E-05,6.18624E-05,3.09659E-05,7.34748E-05
132,Arg$1!1768.9/217_AA,0.003038923,0.033973815,0.054814913,0.2397533,0.277775134,0.374827389,0.008929297,0.010561203,0.013379994,0.043206211,0.067786179,0.049183449,0.049047683,0.042764468,0.038396768,0.168369556,0.187931234,0.139060368,0.112659772,0.268760186,0.276526961,0.061589515,0.065288331,0.070037174,0.030867729,0.024773918,0.032229441,0.023197791,0.018742385,0.011136667,0.004177652,0.003381216,0.003407426,0.0098308,0.00682454,0.007540091
133,Hexonate!1968.8/333_OA,0,0,0,0.002886839,0.001767558,0.002481878,0.000238109,0.000252825,0.000359513,0.001652264,0.002887515,0.001801611,0.001826778,0.001631481,0.001351185,0.001630133,0.002007295,0.001311517,0.003129684,0.0069872,0.004720344,0,0,0,0,2.16323E-05,4.12827E-05,0,0,0,3.99886E-05,4.56732E-05,1.73682E-05,2.04108E-05,1.02418E-05,7.50442E-06
134,Glutamate$3tms!1623.8/246_AA,0,0,0,0.114973489,0.102430501,0.070597043,0.041235759,0.044313486,0.046359122,0.008174795,0.007719589,0.006646051,0.015241621,0.010880473,0.008520984,0.005981911,0.006159435,0.004470968,0.010671668,0.020468595,0.016447645,0,0,0,0.00014158,0.000146686,6.21143E-05,0.000115596,0,0,0.000775139,0.00053223,0.000574577,0.000311764,0.000255013,0.000261414
135,Linoleicacid!2204.6/337_FA,0.000258607,0.002355395,0.001257742,0.005394511,0.008691297,0.008249469,0.001253286,0.00156171,0.001593163,0.004525031,0.006539753,0.004730604,0.005239778,0.003911735,0.004080484,0.003407958,0.004256639,0.003042511,0.004552181,0.006781082,0.005612615,0.000272207,0.000242792,0.00013761,0.000133672,0.000146068,0.000174149,0.000103054,4.25006E-05,3.24409E-05,4.46881E-05,4.6838E-05,4.22797E-05,2.67071E-05,2.30894E-05,3.37918E-05
136,Asn$1!1377/141_AA,0,0,0,0.008185176,0.005243464,0.00834035,0.001038442,0.000874515,0.000803451,0.00051923,0.00200891,0.000728726,0.001060884,0.00075039,0.000957916,0.001009399,0.001049391,0.000919767,0.001104301,0.002573743,0.002992663,0,0,0,9.04887E-05,7.4094E-05,2.85005E-05,0,0,0,9.14672E-05,6.57089E-05,4.91242E-05,2.10753E-05,2.1146E-05,1.9932E-05
137,Tetracosanoate!2833.2/425_FA,0,0.003031129,0.000291627,0.003498494,0.005134499,0.003353195,0.00038232,0.0004415,0.000455373,0.00114925,0.001952155,0.000971229,0.001666167,0.001620554,0.001292778,0.001619249,0.001942462,0.001434092,0.001904453,0.003604314,0.003700872,0.000526498,8.88188E-05,0.000106999,0.000475592,0.000406004,0.000355127,0.000123955,0,0,4.07281E-05,4.30299E-05,5.69825E-05,1.33171E-05,1.14831E-05,1.49875E-05
138,Gluconate-d-lactone!1878.6/220_OA,0,0,0,0.011552706,0.015295344,0.019325795,0.000513433,0.000475139,0.00058288,0.000424988,0.001145863,0.000507069,0.000751765,0.000601044,0.000436029,0.000756098,0.000534953,0.000450328,0.000683317,0.00282516,0.002864991,0,0,0,0.000101729,5.18504E-05,0.000123348,0,0,0,0.000125514,9.71519E-05,8.07375E-05,0.000244297,0.000149386,0.000154264
139,Galactinol$1!2993.8/433_SUG,3.33767E-05,1.593E-05,2.36168E-05,0.002191364,0.003435279,0.003744514,0.000355573,0.000423905,0.000527988,0.001230929,0.001484962,0.001323588,0.001619312,0.001367644,0.001185242,0.001112998,0.001221977,0.000796807,0.001892608,0.003935018,0.003766666,1.64408E-05,1.26223E-05,1.55949E-06,2.93627E-05,8.81356E-06,2.63132E-05,1.47399E-05,1.55288E-05,8.14671E-06,1.46827E-05,1.27547E-05,1.5407E-05,0.001128917,0.00068125,0.000763284
140,Octanenitrile-8-methylthio!1528.2/61_GLUCOSINOLATE,0,0,0,0.009708087,0.006144856,0.00650448,0.001061566,0.001203657,0.001350881,0.000395747,0.00098108,0.000526615,0.001006959,0.000540391,0.000652308,0.000553598,0.000551186,0.000364793,0.000764759,0.001763822,0.00147514,0,0,6.65636E-05,7.66733E-05,0.000117895,5.81311E-05,1.97675E-05,0,0,0.000208291,0.000125397,0.000238432,0.000645947,0.000521141,0.000588739
141,Glycolate!1084.9/147_OA,0.008236816,0.01063363,0.010471199,0.039728636,0.02482918,0.027011046,0.001782908,0.001719333,0.002123798,0.003381482,0.007709838,0.005318043,0.00337638,0.005380593,0.005436375,0.002419557,0.004118777,0.000861825,0.010494527,0.009450612,0.009056767,0.017837049,0.019557508,0.02779727,0.023117988,0.027228148,0.022875417,0.0124124,0.005482567,0.003983091,0.00019873,0.000260744,0.000232073,0.000178419,9.28245E-05,8.00778E-05
142,Glucopyranose$2!1975.7/204_SUG,0,0.000858248,0.002185498,0.131435431,0.100866388,0.075244068,0.022921028,0.018753084,0.021960825,0.036029758,0.057277694,0.037179411,0.058434389,0.040376562,0.03504788,0.046269136,0.047972826,0.036809859,0.062325276,0.154365849,0.167659354,0.000208122,0.00060148,0.000152321,0.000954957,0.001213705,0.000803841,0.000218965,0.000219091,0.000169939,0.00132237,0.001228593,0.001517742,0.000590018,0.000374857,0.000428582
143,"1,2,3-Propanetriol,1-(4-hydroxy-3-methoxyphenyl)!2000.4/297_OTHER",2.83995E-05,4.83254E-05,3.2432E-05,0.001457692,0.001415098,0.000846366,7.40849E-05,9.75907E-05,0.000120556,0.000321283,0.001212927,0.000589283,0.00052536,0.000775813,0.000711877,0.000519545,0.000283262,0.000433431,0.000489883,0.00106603,0.001064726,9.26441E-06,3.14287E-05,2.93848E-05,0.000247982,0.000182116,0.00018451,6.79002E-05,4.98454E-05,2.83968E-05,6.5221E-06,8.07848E-06,6.88591E-06,8.66123E-07,8.68146E-07,3.08811E-06
144,Alanine$2tms!1110.9/116_AA,0.110696033,0.087322367,0.093906081,0.083135425,0.056653024,0.049592247,0.004131551,0.004866358,0.004812574,0.011672446,0.018072193,0.014339788,0.011334631,0.011082239,0.01200091,0.011786602,0.015615657,0.009628772,0.010653835,0.018858671,0.017748838,0.013147307,0.014561048,0.016849215,0.000596121,0.000480246,0.000279624,0.021673523,0.02228349,0.017753959,0.000417699,0.000443397,0.00049852,7.75745E-06,1.88837E-05,1.31129E-05
145,GHB$2tms!1237.8/233_OA,0.002445245,0.00171556,0.001944283,0.001521669,0.001535566,0.002420566,0.000160952,7.79519E-05,0.000196796,0.000392228,0.000259802,0.000377135,0.000376861,0.000459113,0.000101785,0.000341956,0.000283872,0.000417256,0.000320065,0.00051716,0.000373162,0.000450946,0.000672517,0.000649394,0.00029571,0.000105621,0.000682762,0.00021134,0.000494461,0.000218748,2.01534E-05,1.29359E-05,6.13961E-06,2.83309E-06,7.82683E-06,1.23818E-05
146,Oleicacid$2!2221.9/339_FA,0.0012625,0.001652736,0.012633568,0.002725496,0.004722977,0.004815728,0.000408655,0.000492436,0.000396341,0.000594139,0.000904187,0.000867059,0.000952284,0.000780904,0.000565338,0.000722087,0.000791234,0.000326838,0.000717114,0.00129946,0.001307312,0.000548302,0.000337064,0.000217906,0.001067018,0.000823467,0.000882753,0.000180946,0.000126356,8.51553E-05,7.58796E-05,7.97177E-05,0.000118627,5.8738E-05,0.000106779,0.000100106
