	FEATURE_ID	FEATURE_ID2	Environment	Microbes	Compound	Labelled	Peak_Area	Peak_height
103	121_Cell_MF_F16	121_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	2180455	172096
104	121_S_MF_F16	121_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	75290	16192
105	122_Cell_MF_F16	122_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	1926286	149560
106	122_S_MF_F16	122_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	89608	14716
107	123_Cell_MF_F16	123_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	1179835	97031
108	123_S_MF_F16	123_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	76851	13390
109	124_Cell_MF_F16	124_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	1157119	100098
110	124_S_MF_F16	124_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	97475	14111
137	121_Cell_MF_F16	121_Cell_MF_F16_glucose_C0	Cell	F16	glucose_C0	No	19135628	1022909
138	121_S_MF_F16	121_S_MF_F16_glucose_C0	Supernatant	F16	glucose_C0	No	355138374	32455649
139	122_Cell_MF_F16	122_Cell_MF_F16_glucose_C0	Cell	F16	glucose_C0	No	21539232	1295500
140	122_S_MF_F16	122_S_MF_F16_glucose_C0	Supernatant	F16	glucose_C0	No	335940898	30407708
141	123_Cell_MF_F16	123_Cell_MF_F16_glucose_C0	Cell	F16	glucose_C0	No	16689761	954012
142	123_S_MF_F16	123_S_MF_F16_glucose_C0	Supernatant	F16	glucose_C0	No	338784180	31253706
143	124_Cell_MF_F16	124_Cell_MF_F16_glucose_C0	Cell	F16	glucose_C0	No	20191983	1181517
144	124_S_MF_F16	124_S_MF_F16_glucose_C0	Supernatant	F16	glucose_C0	No	330565448	28487735
171	121_Cell_MF_F16	121_Cell_MF_F16_glucose_C6	Cell	F16	glucose_C6	Yes	15346263	1161948
172	121_S_MF_F16	121_S_MF_F16_glucose_C6	Supernatant	F16	glucose_C6	Yes	209959778	17545231
173	122_Cell_MF_F16	122_Cell_MF_F16_glucose_C6	Cell	F16	glucose_C6	Yes	5665292	435075
174	122_S_MF_F16	122_S_MF_F16_glucose_C6	Supernatant	F16	glucose_C6	Yes	208876258	17103685
175	123_Cell_MF_F16	123_Cell_MF_F16_glucose_C6	Cell	F16	glucose_C6	Yes	2505973	195435
176	123_S_MF_F16	123_S_MF_F16_glucose_C6	Supernatant	F16	glucose_C6	Yes	216278071	17657934
177	124_Cell_MF_F16	124_Cell_MF_F16_glucose_C6	Cell	F16	glucose_C6	Yes	2254545	173150
178	124_S_MF_F16	124_S_MF_F16_glucose_C6	Supernatant	F16	glucose_C6	Yes	216463854	16375411
205	121_Cell_MF_F16	121_Cell_MF_F16_lactic_C0	Cell	F16	lactic_C0	No	265025438	26640071
206	121_S_MF_F16	121_S_MF_F16_lactic_C0	Supernatant	F16	lactic_C0	No	808668459	70562962
207	122_Cell_MF_F16	122_Cell_MF_F16_lactic_C0	Cell	F16	lactic_C0	No	210894107	21217424
208	122_S_MF_F16	122_S_MF_F16_lactic_C0	Supernatant	F16	lactic_C0	No	843125938	77854058
209	123_Cell_MF_F16	123_Cell_MF_F16_lactic_C0	Cell	F16	lactic_C0	No	245898670	24261722
210	123_S_MF_F16	123_S_MF_F16_lactic_C0	Supernatant	F16	lactic_C0	No	887463653	80869401
211	124_Cell_MF_F16	124_Cell_MF_F16_lactic_C0	Cell	F16	lactic_C0	No	236540080	23568890
212	124_S_MF_F16	124_S_MF_F16_lactic_C0	Supernatant	F16	lactic_C0	No	885397421	80509794
239	121_Cell_MF_F16	121_Cell_MF_F16_lactic_03	Cell	F16	lactic_03	Yes	17939256	1003859
240	121_S_MF_F16	121_S_MF_F16_lactic_03	Supernatant	F16	lactic_03	Yes	98859139	2818054
241	122_Cell_MF_F16	122_Cell_MF_F16_lactic_03	Cell	F16	lactic_03	Yes	16077286	790274
242	122_S_MF_F16	122_S_MF_F16_lactic_03	Supernatant	F16	lactic_03	Yes	91575109	2712635
243	123_Cell_MF_F16	123_Cell_MF_F16_lactic_03	Cell	F16	lactic_03	Yes	14325646	798310
244	123_S_MF_F16	123_S_MF_F16_lactic_03	Supernatant	F16	lactic_03	Yes	92734178	2547794
245	124_Cell_MF_F16	124_Cell_MF_F16_lactic_03	Cell	F16	lactic_03	Yes	16697631	918163
246	124_S_MF_F16	124_S_MF_F16_lactic_03	Supernatant	F16	lactic_03	Yes	90656915	2567855
273	121_Cell_MF_F16	121_Cell_MF_F16_3OMG_C0	Cell	F16	3OMG_C0	No		#N/A
274	121_S_MF_F16	121_S_MF_F16_3OMG_C0	Supernatant	F16	3OMG_C0	No	3711801	241463
275	122_Cell_MF_F16	122_Cell_MF_F16_3OMG_C0	Cell	F16	3OMG_C0	No		#N/A
276	122_S_MF_F16	122_S_MF_F16_3OMG_C0	Supernatant	F16	3OMG_C0	No	3125134	195825
277	123_Cell_MF_F16	123_Cell_MF_F16_3OMG_C0	Cell	F16	3OMG_C0	No	660538	49723
278	123_S_MF_F16	123_S_MF_F16_3OMG_C0	Supernatant	F16	3OMG_C0	No	3434978	188444
279	124_Cell_MF_F16	124_Cell_MF_F16_3OMG_C0	Cell	F16	3OMG_C0	No	527802	51756
280	124_S_MF_F16	124_S_MF_F16_3OMG_C0	Supernatant	F16	3OMG_C0	No	3189878	200492
19	81_Cell_MF_MF	81_Cell_MF_MF_3OMG_C6	Cell	MF	3OMG_C6	Yes	2298435	127293
20	81_S_MF_MF	81_S_MF_MF_3OMG_C6	Supernatant	MF	3OMG_C6	Yes	25012438	1025665
21	82_Cell_MF_MF	82_Cell_MF_MF_3OMG_C6	Cell	MF	3OMG_C6	Yes	1120676	70090
22	82_S_MF_MF	82_S_MF_MF_3OMG_C6	Supernatant	MF	3OMG_C6	Yes	23424361	946196
23	83_Cell_MF_MF	83_Cell_MF_MF_3OMG_C6	Cell	MF	3OMG_C6	Yes	1910097	117319
24	83_S_MF_MF	83_S_MF_MF_3OMG_C6	Supernatant	MF	3OMG_C6	Yes	22475723	822836
25	84_Cell_MF_MF	84_Cell_MF_MF_3OMG_C6	Cell	MF	3OMG_C6	Yes	3434519	199535
26	84_S_MF_MF	84_S_MF_MF_3OMG_C6	Supernatant	MF	3OMG_C6	Yes	24322722	915716
53	81_Cell_MF_MF	81_Cell_MF_MF_3OMG_COOH_C0	Cell	MF	3OMG_COOH_C0	No		#N/A
54	81_S_MF_MF	81_S_MF_MF_3OMG_COOH_C0	Supernatant	MF	3OMG_COOH_C0	No		#N/A
55	82_Cell_MF_MF	82_Cell_MF_MF_3OMG_COOH_C0	Cell	MF	3OMG_COOH_C0	No		#N/A
56	82_S_MF_MF	82_S_MF_MF_3OMG_COOH_C0	Supernatant	MF	3OMG_COOH_C0	No		#N/A
57	83_Cell_MF_MF	83_Cell_MF_MF_3OMG_COOH_C0	Cell	MF	3OMG_COOH_C0	No		#N/A
58	83_S_MF_MF	83_S_MF_MF_3OMG_COOH_C0	Supernatant	MF	3OMG_COOH_C0	No		#N/A
59	84_Cell_MF_MF	84_Cell_MF_MF_3OMG_COOH_C0	Cell	MF	3OMG_COOH_C0	No		#N/A
60	84_S_MF_MF	84_S_MF_MF_3OMG_COOH_C0	Supernatant	MF	3OMG_COOH_C0	No		#N/A
87	81_Cell_MF_MF	81_Cell_MF_MF_3OMG_COOH_C6	Cell	MF	3OMG_COOH_C6	Yes	14895621	841056
88	81_S_MF_MF	81_S_MF_MF_3OMG_COOH_C6	Supernatant	MF	3OMG_COOH_C6	Yes	129469393	4095759
89	82_Cell_MF_MF	82_Cell_MF_MF_3OMG_COOH_C6	Cell	MF	3OMG_COOH_C6	Yes	8061742	448153
90	82_S_MF_MF	82_S_MF_MF_3OMG_COOH_C6	Supernatant	MF	3OMG_COOH_C6	Yes	78800129	2320099
91	83_Cell_MF_MF	83_Cell_MF_MF_3OMG_COOH_C6	Cell	MF	3OMG_COOH_C6	Yes	11113306	654035
92	83_S_MF_MF	83_S_MF_MF_3OMG_COOH_C6	Supernatant	MF	3OMG_COOH_C6	Yes	69234208	1889352
93	84_Cell_MF_MF	84_Cell_MF_MF_3OMG_COOH_C6	Cell	MF	3OMG_COOH_C6	Yes	16792954	1053877
94	84_S_MF_MF	84_S_MF_MF_3OMG_COOH_C6	Supernatant	MF	3OMG_COOH_C6	Yes	67204213	1874014
121	81_Cell_MF_MF	81_Cell_MF_MF_3OMG6P_C6	Cell	MF	3OMG6P_C6	Yes		#N/A
122	81_S_MF_MF	81_S_MF_MF_3OMG6P_C6	Supernatant	MF	3OMG6P_C6	Yes		#N/A
123	82_Cell_MF_MF	82_Cell_MF_MF_3OMG6P_C6	Cell	MF	3OMG6P_C6	Yes		#N/A
124	82_S_MF_MF	82_S_MF_MF_3OMG6P_C6	Supernatant	MF	3OMG6P_C6	Yes		#N/A
125	83_Cell_MF_MF	83_Cell_MF_MF_3OMG6P_C6	Cell	MF	3OMG6P_C6	Yes		#N/A
126	83_S_MF_MF	83_S_MF_MF_3OMG6P_C6	Supernatant	MF	3OMG6P_C6	Yes		#N/A
