	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S3	S4	S5	S6	S7	S8	S9
306ccd0c840309ac9ae708c3e38a94b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64664.0	0.0	0.0	0.0	0.0
57ae65c6d582c6a5a3b79520c5a4c91e	2096.0	561.0	578.0	234.0	107.0	0.0	1136.0	0.0	10600.0	902.0	14207.0	1165.0	6139.0	476.0	316.0	1882.0	1065.0	0.0	184.0	614.0	381.0	2880.0	6220.0	9775.0	294.0
4a57d89737bb3ddb0a9447a7582289f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7a389d3b4f56f8c94b91bacb836c057d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60748.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23491d51da6d188d5b5f039c8ea7c850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e44d4f896e2db68c9c39118a9ef434ad	104.0	53.0	0.0	46.0	27.0	54.0	45.0	3432.0	7921.0	5112.0	4057.0	170.0	6452.0	17152.0	983.0	4669.0	5414.0	0.0	68.0	16.0	15.0	28.0	16.0	76.0	0.0
976e799f6b58325a7150235b76fdbd12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0097bdd5173cae5f927a3cf1c34d8fa8	571.0	5015.0	434.0	343.0	0.0	0.0	246.0	0.0	0.0	333.0	836.0	7661.0	1651.0	138.0	261.0	637.0	601.0	0.0	1200.0	282.0	545.0	3433.0	544.0	27078.0	215.0
495f9cf9c79a7a49da85e487d6c9a098	0.0	0.0	0.0	0.0	51726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2fdae25f6d3a7fe3cc92778a8e7c6bb1	816.0	2591.0	2144.0	5151.0	356.0	340.0	398.0	1967.0	0.0	509.0	772.0	9735.0	0.0	2925.0	313.0	829.0	998.0	0.0	10762.0	2243.0	534.0	295.0	557.0	5238.0	641.0
4d5a186fb07f76d5c69d12049399deda	0.0	0.0	42563.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25f8c3d1d9a4d79eae8013817820eca0	41558.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17f3aae97281f75a49e6535663207f9e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31008.0	0.0	0.0
a4f983b8fc9edb0f30a7ab5115f8aa89	31.0	2493.0	9832.0	713.0	537.0	27.0	244.0	244.0	303.0	959.0	657.0	2218.0	203.0	0.0	506.0	518.0	2039.0	4.0	2177.0	346.0	425.0	359.0	278.0	3141.0	253.0
5b2bc7e2e0ae4ef6308995d432f170cd	700.0	4561.0	391.0	152.0	58.0	588.0	336.0	937.0	27.0	1711.0	344.0	613.0	18.0	566.0	185.0	316.0	842.0	0.0	7165.0	202.0	391.0	2148.0	136.0	3509.0	19.0
30be7e1f90c2c03452144229fe38219b	4149.0	20.0	248.0	712.0	135.0	472.0	220.0	49.0	729.0	9504.0	74.0	1897.0	0.0	13.0	1872.0	364.0	418.0	4.0	1095.0	1084.0	678.0	132.0	130.0	37.0	11.0
6ead345f67c5c134892ebd41124767c6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0e2bfcbf80f7fc9efd14949ce09d4f08	0.0	18688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ab1b49fadb3d13464d8e934b780eeab6	29.0	14.0	46.0	9.0	12.0	21.0	23.0	35.0	6.0	25.0	29.0	17593.0	5.0	0.0	11.0	16.0	16.0	0.0	28.0	90.0	6.0	19.0	60.0	29.0	7.0
e90a66eac61789a3cfd7ef7b66a07058	0.0	0.0	0.0	0.0	0.0	1241.0	623.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2948.0	903.0	4048.0	0.0	0.0	3249.0	0.0	2197.0	1773.0	0.0	1094.0
66c61ffd23a5a416afc4415a7d6b93ce	16.0	8.0	10.0	12.0	11.0	6.0	16.0	15.0	0.0	15368.0	200.0	1649.0	5.0	12.0	10.0	10.0	14.0	4.0	293.0	78.0	0.0	231.0	3.0	15.0	10.0
11457e51a2296f6a0af767352069e39b	38.0	21.0	42.0	34.0	18.0	29.0	41.0	45.0	27.0	11.0	2343.0	27.0	7.0	9.0	12.0	23.0	24.0	0.0	10534.0	73.0	7.0	3783.0	8.0	39.0	15.0
26456eb519a60e4c0802a789c593c6ee	701.0	14.0	54.0	20.0	11.0	22.0	101.0	44.0	25.0	221.0	5080.0	1985.0	13.0	10.0	92.0	29.0	20.0	0.0	361.0	71.0	10.0	31.0	8.0	7945.0	12.0
4dbef365056d960d72b2eff816b642bb	0.0	0.0	13302.0	855.0	28.0	55.0	40.0	277.0	131.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	1022.0	80.0	47.0	0.0
abf4a1751c484bc3baede378c611b80e	24.0	27.0	223.0	0.0	2096.0	449.0	77.0	0.0	0.0	3476.0	482.0	1055.0	18.0	8.0	125.0	313.0	381.0	0.0	637.0	165.0	0.0	245.0	67.0	5840.0	112.0
b5ce0a46a394ce0f7c5dbf88056a7f9e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15819.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
