Experiment,ID,Plant,Plant2,Microbes,Treatment,System,Bio_rep,Rep,Time,Nb,Root.length.Weight,Seeds
Thalianol,Col0_MF_Water_Agar_Rep 1_15_72h,Col0,Col0,MF,Water,Agar,Rep 1,15,72h,NA,0.235,43
Thalianol,ThaD_MF_Water_Agar_Rep 1_24_72h,ThaD,ThaD,MF,Water,Agar,Rep 1,24,72h,NA,0.235,39
Thalianol,Col0_F16_Water_Agar_Rep 1_22_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,22,2weeks,NA,0.237,30
Thalianol,ThaD_F16_Water_Agar_Rep 1_5_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,5,72h,NA,0.237,21
Thalianol,ThaH_F16_Water_Agar_Rep 1_7_1week,ThaH,ThaH,F16,Water,Agar,Rep 1,7,1week,NA,0.237,33
Thalianol,ThaD_MF_Water_Agar_Rep 1_6_72h,ThaD,ThaD,MF,Water,Agar,Rep 1,6,72h,NA,0.238,39
Thalianol,ThaD_F16_Water_Agar_Rep 1_14_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,14,1week,NA,0.239,21
Thalianol,ThaH_MF_Water_Agar_Rep 1_16_1week,ThaH,ThaH,MF,Water,Agar,Rep 1,16,1week,NA,0.239,31
Thalianol,Col0_MF_3OMG_Agar_Rep 1_26_1week,Col0,Col0,MF,3OMG,Agar,Rep 1,26,1week,NA,0.24,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_11_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,11,72h,NA,0.24,34
Thalianol,ThaS2_F16_Water_Agar_Rep 1_24_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,24,1week,NA,0.24,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_11_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,11,1week,NA,0.242,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_44_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,44,2weeks,NA,0.242,45
Thalianol,Col0_F16_Water_Agar_Rep 1_25_1week,Col0,Col0,F16,Water,Agar,Rep 1,25,1week,NA,0.243,30
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_5_1week,ThaH,ThaH,MF,3OMG,Agar,Rep 1,5,1week,NA,0.243,31
Thalianol,ThaS2_F16_Water_Agar_Rep 1_9_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,9,72h,NA,0.243,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_3_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,3,1week,NA,0.244,45
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_1_1week,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,1,1week,NA,0.244,37
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_17_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,17,72h,NA,0.246,34
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_1_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,1,72h,NA,0.247,37
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_29_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,29,72h,NA,0.247,37
Thalianol,Col0_F16_3OMG_Agar_Rep 1_29_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,29,72h,NA,0.249,34
Thalianol,Col0_F16_3OMG_Agar_Rep 1_19_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,19,1week,NA,0.25,34
Thalianol,ThaD_MF_Water_Agar_Rep 1_9_72h,ThaD,ThaD,MF,Water,Agar,Rep 1,9,72h,NA,0.25,39
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_20_2weeks,ThaH,ThaH,F16,3OMG,Agar,Rep 1,20,2weeks,NA,0.25,33
Thalianol,ThaD_MF_Water_Agar_Rep 1_7_1week,ThaD,ThaD,MF,Water,Agar,Rep 1,7,1week,NA,0.251,39
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_13_1week,ThaD,ThaD,MF,3OMG,Agar,Rep 1,13,1week,NA,0.251,27
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_14_1week,ThaH,ThaH,MF,3OMG,Agar,Rep 1,14,1week,NA,0.251,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_20_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,20,72h,NA,0.251,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_12_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,12,72h,NA,0.253,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_2_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,2,72h,NA,0.253,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_11_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,11,72h,NA,0.255,31
Thalianol,Col0_F16_Water_Agar_Rep 1_13_72h,Col0,Col0,F16,Water,Agar,Rep 1,13,72h,NA,0.255,30
Thalianol,Col0_MF_Water_Agar_Rep 1_33_72h,Col0,Col0,MF,Water,Agar,Rep 1,33,72h,NA,0.256,43
Thalianol,Col0_F16_3OMG_Agar_Rep 1_21_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,21,72h,NA,0.256,34
Thalianol,ThaH_F16_Water_Agar_Rep 1_8_2weeks,ThaH,ThaH,F16,Water,Agar,Rep 1,8,2weeks,NA,0.256,33
Thalianol,Col0_F16_Water_Agar_Rep 1_8_72h,Col0,Col0,F16,Water,Agar,Rep 1,8,72h,NA,0.258,30
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_13_1week,ThaH,ThaH,MF,3OMG,Agar,Rep 1,13,1week,NA,0.258,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_5_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,5,72h,NA,0.258,34
Thalianol,Col0_MF_Water_Agar_Rep 1_12_72h,Col0,Col0,MF,Water,Agar,Rep 1,12,72h,NA,0.259,43
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_8_2weeks,ThaH,ThaH,MF,3OMG,Agar,Rep 1,8,2weeks,NA,0.259,31
Thalianol,Col0_F16_Water_Agar_Rep 1_12_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,12,2weeks,NA,0.26,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_29_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,29,2weeks,NA,0.26,30
Thalianol,Col0_MF_3OMG_Agar_Rep 1_20_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,20,72h,NA,0.261,31
Thalianol,Col0_F16_Water_Agar_Rep 1_26_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,26,2weeks,NA,0.261,30
Thalianol,ThaD_F16_Water_Agar_Rep 1_3_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,3,72h,NA,0.261,21
Thalianol,ThaH_MF_Water_Agar_Rep 1_14_1week,ThaH,ThaH,MF,Water,Agar,Rep 1,14,1week,NA,0.264,31
Thalianol,ThaH_F16_Water_Agar_Rep 1_4_1week,ThaH,ThaH,F16,Water,Agar,Rep 1,4,1week,NA,0.264,33
Thalianol,Col0_MF_3OMG_Agar_Rep 1_10_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,10,72h,NA,0.266,31
Thalianol,ThaH_MF_Water_Agar_Rep 1_20_1week,ThaH,ThaH,MF,Water,Agar,Rep 1,20,1week,NA,0.266,31
Thalianol,Col0_F16_3OMG_Agar_Rep 1_1_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,1,72h,NA,0.267,34
Thalianol,ThaD_F16_Water_Agar_Rep 1_9_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,9,1week,NA,0.267,21
Thalianol,Col0_MF_3OMG_Agar_Rep 1_23_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,23,72h,NA,0.269,31
Thalianol,ThaD_MF_Water_Agar_Rep 1_2_72h,ThaD,ThaD,MF,Water,Agar,Rep 1,2,72h,NA,0.27,39
Thalianol,Col0_F16_3OMG_Agar_Rep 1_13_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,13,1week,NA,0.272,34
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_6_1week,ThaH,ThaH,MF,3OMG,Agar,Rep 1,6,1week,NA,0.273,31
Thalianol,ThaS2_F16_Water_Agar_Rep 1_26_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,26,2weeks,NA,0.273,30
Thalianol,ThaH_MF_Water_Agar_Rep 1_20_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,20,2weeks,NA,0.274,31
Thalianol,Col0_F16_3OMG_Agar_Rep 1_23_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,23,72h,NA,0.276,34
Thalianol,Col0_MF_Water_Agar_Rep 1_8_72h,Col0,Col0,MF,Water,Agar,Rep 1,8,72h,NA,0.277,43
Thalianol,Col0_MF_3OMG_Agar_Rep 1_1_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,1,72h,NA,0.277,31
Thalianol,Col0_F16_3OMG_Agar_Rep 1_20_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,20,72h,NA,0.277,34
Thalianol,ThaD_F16_Water_Agar_Rep 1_1_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,1,72h,NA,0.277,21
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_22_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,22,72h,NA,0.277,34
Thalianol,Col0_F16_3OMG_Agar_Rep 1_26_72h,Col0,Col0,F16,3OMG,Agar,Rep 1,26,72h,NA,0.278,34
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_13_2weeks,ThaH,ThaH,F16,3OMG,Agar,Rep 1,13,2weeks,NA,0.279,33
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_13_2weeks,ThaD,ThaD,F16,3OMG,Agar,Rep 1,13,2weeks,NA,0.28,27
Thalianol,Col0_F16_Water_Agar_Rep 1_14_1week,Col0,Col0,F16,Water,Agar,Rep 1,14,1week,NA,0.281,30
Thalianol,Col0_MF_Water_Agar_Rep 1_34_72h,Col0,Col0,MF,Water,Agar,Rep 1,34,72h,NA,0.282,43
Thalianol,Col0_MF_3OMG_Agar_Rep 1_2_72h,Col0,Col0,MF,3OMG,Agar,Rep 1,2,72h,NA,0.282,31
Thalianol,Col0_F16_Water_Agar_Rep 1_15_1week,Col0,Col0,F16,Water,Agar,Rep 1,15,1week,NA,0.282,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_12_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,12,1week,NA,0.283,30
Thalianol,Col0_MF_Water_Agar_Rep 1_31_72h,Col0,Col0,MF,Water,Agar,Rep 1,31,72h,NA,0.285,43
Thalianol,ThaS2_MF_Water_Agar_Rep 1_38_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,38,1week,NA,0.285,45
Thalianol,Col0_MF_3OMG_Agar_Rep 1_17_1week,Col0,Col0,MF,3OMG,Agar,Rep 1,17,1week,NA,0.286,31
Thalianol,Col0_F16_3OMG_Agar_Rep 1_15_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,15,1week,NA,0.286,34
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_18_1week,ThaD,ThaD,MF,3OMG,Agar,Rep 1,18,1week,NA,0.286,27
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_4_2weeks,ThaD,ThaD,MF,3OMG,Agar,Rep 1,4,2weeks,NA,0.289,27
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_32_2weeks,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,32,2weeks,NA,0.289,37
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_2_1week,ThaD,ThaD,MF,3OMG,Agar,Rep 1,2,1week,NA,0.29,27
Thalianol,Col0_F16_Water_Agar_Rep 1_5_1week,Col0,Col0,F16,Water,Agar,Rep 1,5,1week,NA,0.291,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_5_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,5,2weeks,NA,0.292,45
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_1_72h,ThaD,ThaD,MF,3OMG,Agar,Rep 1,1,72h,NA,0.293,27
Thalianol,Col0_MF_Water_Agar_Rep 1_1_72h,Col0,Col0,MF,Water,Agar,Rep 1,1,72h,NA,0.294,43
Thalianol,Col0_F16_Water_Agar_Rep 1_17_1week,Col0,Col0,F16,Water,Agar,Rep 1,17,1week,NA,0.294,30
Thalianol,Col0_MF_3OMG_Agar_Rep 1_10_2weeks,Col0,Col0,MF,3OMG,Agar,Rep 1,10,2weeks,NA,0.294,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_26_1week,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,26,1week,NA,0.295,34
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_3_2weeks,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,3,2weeks,NA,0.296,37
Thalianol,ThaS2_F16_Water_Agar_Rep 1_25_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,25,2weeks,NA,0.296,30
Thalianol,ThaD_MF_Water_Agar_Rep 1_14_1week,ThaD,ThaD,MF,Water,Agar,Rep 1,14,1week,NA,0.299,39
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_17_1week,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,17,1week,NA,0.299,34
Thalianol,Col0_MF_Water_Agar_Rep 1_16_1week,Col0,Col0,MF,Water,Agar,Rep 1,16,1week,NA,0.303,43
Thalianol,Col0_F16_Water_Agar_Rep 1_9_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,9,2weeks,NA,0.303,30
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_12_1week,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,12,1week,NA,0.303,34
Thalianol,ThaD_F16_Water_Agar_Rep 1_8_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,8,2weeks,NA,0.306,21
Thalianol,ThaS2_MF_Water_Agar_Rep 1_30_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,30,1week,NA,0.306,45
Thalianol,Col0_F16_Water_Agar_Rep 1_23_72h,Col0,Col0,F16,Water,Agar,Rep 1,23,72h,NA,0.309,30
Thalianol,Col0_F16_Water_Agar_Rep 1_13_1week,Col0,Col0,F16,Water,Agar,Rep 1,13,1week,NA,0.309,30
Thalianol,Col0_F16_Water_Agar_Rep 1_6_1week,Col0,Col0,F16,Water,Agar,Rep 1,6,1week,NA,0.31,30
Thalianol,Col0_F16_Water_Agar_Rep 1_20_1week,Col0,Col0,F16,Water,Agar,Rep 1,20,1week,NA,0.31,30
Thalianol,Col0_F16_3OMG_Agar_Rep 1_17_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,17,1week,NA,0.311,34
Thalianol,Col0_F16_Water_Agar_Rep 1_23_1week,Col0,Col0,F16,Water,Agar,Rep 1,23,1week,NA,0.312,30
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_22_2weeks,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,22,2weeks,NA,0.312,37
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_22_2weeks,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,22,2weeks,NA,0.312,34
Thalianol,ThaS2_F16_Water_Agar_Rep 1_4_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,4,1week,NA,0.314,30
Thalianol,ThaD_F16_Water_Agar_Rep 1_17_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,17,2weeks,NA,0.317,21
Thalianol,ThaD_F16_Water_Agar_Rep 1_17_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,17,1week,NA,0.318,21
Thalianol,ThaH_F16_Water_Agar_Rep 1_2_72h,ThaH,ThaH,F16,Water,Agar,Rep 1,2,72h,NA,0.318,33
Thalianol,ThaH_F16_Water_Agar_Rep 1_3_2weeks,ThaH,ThaH,F16,Water,Agar,Rep 1,3,2weeks,NA,0.318,33
Thalianol,Col0_MF_3OMG_Agar_Rep 1_23_2weeks,Col0,Col0,MF,3OMG,Agar,Rep 1,23,2weeks,NA,0.322,31
Thalianol,ThaS2_MF_Water_Agar_Rep 1_41_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,41,2weeks,NA,0.322,45
Thalianol,ThaH_MF_Water_Agar_Rep 1_13_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,13,2weeks,NA,0.324,31
Thalianol,Col0_MF_Water_Agar_Rep 1_23_1week,Col0,Col0,MF,Water,Agar,Rep 1,23,1week,NA,0.326,43
Thalianol,Col0_F16_Water_Agar_Rep 1_18_1week,Col0,Col0,F16,Water,Agar,Rep 1,18,1week,NA,0.329,30
Thalianol,Col0_MF_3OMG_Agar_Rep 1_8_1week,Col0,Col0,MF,3OMG,Agar,Rep 1,8,1week,NA,0.332,31
Thalianol,Col0_MF_3OMG_Agar_Rep 1_9_1week,Col0,Col0,MF,3OMG,Agar,Rep 1,9,1week,NA,0.332,31
Thalianol,Col0_F16_Water_Agar_Rep 1_28_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,28,2weeks,NA,0.332,30
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_6_1week,ThaD,ThaD,F16,3OMG,Agar,Rep 1,6,1week,NA,0.333,27
Thalianol,ThaS2_F16_Water_Agar_Rep 1_9_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,9,1week,NA,0.333,30
Thalianol,Col0_F16_Water_Agar_Rep 1_11_1week,Col0,Col0,F16,Water,Agar,Rep 1,11,1week,NA,0.336,30
Thalianol,Col0_F16_Water_Agar_Rep 1_6_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,6,2weeks,NA,0.337,30
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_30_2weeks,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,30,2weeks,NA,0.337,37
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_8_1week,ThaD,ThaD,F16,3OMG,Agar,Rep 1,8,1week,NA,0.338,27
Thalianol,ThaS2_MF_Water_Agar_Rep 1_34_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,34,2weeks,NA,0.339,45
Thalianol,Col0_F16_Water_Agar_Rep 1_8_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,8,2weeks,NA,0.34,30
Thalianol,Col0_F16_Water_Agar_Rep 1_8_1week,Col0,Col0,F16,Water,Agar,Rep 1,8,1week,NA,0.341,30
Thalianol,ThaD_F16_Water_Agar_Rep 1_7_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,7,2weeks,NA,0.344,21
Thalianol,Col0_MF_Water_Agar_Rep 1_2_1week,Col0,Col0,MF,Water,Agar,Rep 1,2,1week,NA,0.345,43
Thalianol,Col0_MF_Water_Agar_Rep 1_22_1week,Col0,Col0,MF,Water,Agar,Rep 1,22,1week,NA,0.346,43
Thalianol,ThaS2_MF_Water_Agar_Rep 1_31_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,31,1week,NA,0.348,45
Thalianol,ThaS2_MF_Water_Agar_Rep 1_42_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,42,2weeks,NA,0.348,45
Thalianol,ThaH_MF_Water_Agar_Rep 1_21_1week,ThaH,ThaH,MF,Water,Agar,Rep 1,21,1week,NA,0.349,31
Thalianol,Col0_F16_Water_Agar_Rep 1_23_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,23,2weeks,NA,0.35,30
Thalianol,Col0_MF_Water_Agar_Rep 1_41_2weeks,Col0,Col0,MF,Water,Agar,Rep 1,41,2weeks,NA,0.355,43
Thalianol,Col0_MF_Water_Agar_Rep 1_25_1week,Col0,Col0,MF,Water,Agar,Rep 1,25,1week,NA,0.356,43
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_24_1week,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,24,1week,NA,0.356,34
Thalianol,Col0_MF_Water_Agar_Rep 1_36_1week,Col0,Col0,MF,Water,Agar,Rep 1,36,1week,NA,0.36,43
Thalianol,Col0_MF_Water_Agar_Rep 1_35_2weeks,Col0,Col0,MF,Water,Agar,Rep 1,35,2weeks,NA,0.36,43
Thalianol,Col0_F16_Water_Agar_Rep 1_20_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,20,2weeks,NA,0.36,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_31_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,31,2weeks,NA,0.362,45
Thalianol,Col0_F16_Water_Agar_Rep 1_21_2weeks,Col0,Col0,F16,Water,Agar,Rep 1,21,2weeks,NA,0.363,30
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_14_1week,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,14,1week,NA,0.363,34
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_3_1week,ThaH,ThaH,MF,3OMG,Agar,Rep 1,3,1week,NA,0.371,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_8_2weeks,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,8,2weeks,NA,0.371,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_15_1week,Col0,Col0,MF,3OMG,Agar,Rep 1,15,1week,NA,0.373,31
Thalianol,Col0_F16_Water_Agar_Rep 1_7_1week,Col0,Col0,F16,Water,Agar,Rep 1,7,1week,NA,0.375,30
Thalianol,ThaH_F16_Water_Agar_Rep 1_15_1week,ThaH,ThaH,F16,Water,Agar,Rep 1,15,1week,NA,0.375,33
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_10_2weeks,ThaD,ThaD,MF,3OMG,Agar,Rep 1,10,2weeks,NA,0.376,27
Thalianol,ThaS2_F16_Water_Agar_Rep 1_10_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,10,1week,NA,0.376,30
Thalianol,ThaH_MF_Water_Agar_Rep 1_18_1week,ThaH,ThaH,MF,Water,Agar,Rep 1,18,1week,NA,0.378,31
Thalianol,Col0_F16_Water_Agar_Rep 1_19_1week,Col0,Col0,F16,Water,Agar,Rep 1,19,1week,NA,0.38,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_21_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,21,1week,NA,0.38,30
Thalianol,ThaD_MF_Water_Agar_Rep 1_8_2weeks,ThaD,ThaD,MF,Water,Agar,Rep 1,8,2weeks,NA,0.382,39
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_16_2weeks,ThaD,ThaD,MF,3OMG,Agar,Rep 1,16,2weeks,NA,0.383,27
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_20_1week,ThaH,ThaH,F16,3OMG,Agar,Rep 1,20,1week,NA,0.383,33
Thalianol,Col0_MF_Water_Agar_Rep 1_40_2weeks,Col0,Col0,MF,Water,Agar,Rep 1,40,2weeks,NA,0.386,43
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_3_1week,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,3,1week,NA,0.386,37
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_32_1week,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,32,1week,NA,0.386,37
Thalianol,Col0_F16_3OMG_Agar_Rep 1_14_1week,Col0,Col0,F16,3OMG,Agar,Rep 1,14,1week,NA,0.387,34
Thalianol,Col0_MF_Water_Agar_Rep 1_42_2weeks,Col0,Col0,MF,Water,Agar,Rep 1,42,2weeks,NA,0.387,43
Thalianol,ThaD_F16_Water_Agar_Rep 1_16_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,16,2weeks,NA,0.387,21
Thalianol,ThaS2_F16_Water_Agar_Rep 1_14_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,14,1week,NA,0.387,30
Thalianol,Col0_MF_3OMG_Agar_Rep 1_20_2weeks,Col0,Col0,MF,3OMG,Agar,Rep 1,20,2weeks,NA,0.388,31
Thalianol,ThaS2_MF_Water_Agar_Rep 1_40_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,40,2weeks,NA,0.388,45
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_6_1week,ThaH,ThaH,F16,3OMG,Agar,Rep 1,6,1week,NA,0.389,33
Thalianol,ThaS2_MF_Water_Agar_Rep 1_17_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,17,1week,NA,0.392,45
Thalianol,ThaS2_MF_Water_Agar_Rep 1_39_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,39,1week,NA,0.392,45
Thalianol,Col0_F16_3OMG_Agar_Rep 1_9_2weeks,Col0,Col0,F16,3OMG,Agar,Rep 1,9,2weeks,NA,0.393,34
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_23_2weeks,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,23,2weeks,NA,0.394,34
Thalianol,Col0_MF_3OMG_Agar_Rep 1_14_2weeks,Col0,Col0,MF,3OMG,Agar,Rep 1,14,2weeks,NA,0.397,31
Thalianol,ThaD_F16_Water_Agar_Rep 1_2_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,2,1week,NA,0.397,21
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_9_1week,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,9,1week,NA,0.399,34
Thalianol,ThaS2_F16_Water_Agar_Rep 1_17_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,17,2weeks,NA,0.4,30
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_4_1week,ThaH,ThaH,F16,3OMG,Agar,Rep 1,4,1week,NA,0.401,33
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_1_1week,ThaH,ThaH,MF,3OMG,Agar,Rep 1,1,1week,NA,0.402,31
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_21_2weeks,ThaH,ThaH,F16,3OMG,Agar,Rep 1,21,2weeks,NA,0.402,33
Thalianol,ThaH_MF_Water_Agar_Rep 1_23_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,23,2weeks,NA,0.404,31
Thalianol,ThaH_F16_Water_Agar_Rep 1_3_1week,ThaH,ThaH,F16,Water,Agar,Rep 1,3,1week,NA,0.405,33
Thalianol,ThaH_MF_Water_Agar_Rep 1_19_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,19,2weeks,NA,0.406,31
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_18_1week,ThaH,ThaH,F16,3OMG,Agar,Rep 1,18,1week,NA,0.407,33
Thalianol,ThaS2_MF_Water_Agar_Rep 1_33_2weeks,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,33,2weeks,NA,0.407,45
Thalianol,ThaS2_F16_Water_Agar_Rep 1_18_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,18,1week,NA,0.408,30
Thalianol,ThaS2_F16_Water_Agar_Rep 1_26_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,26,1week,NA,0.41,30
Thalianol,ThaH_F16_Water_Agar_Rep 1_14_1week,ThaH,ThaH,F16,Water,Agar,Rep 1,14,1week,NA,0.415,33
Thalianol,ThaS2_F16_Water_Agar_Rep 1_6_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,6,2weeks,NA,0.415,30
