Experiment,ID,Plant,Plant2,Microbes,Treatment,System,Bio_rep,Rep,Time,Nb,Root.length.Weight,Seeds
Thalianol,ThaS2_F16_Water_Agar_Rep 1_24_2weeks,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,24,2weeks,NA,0.178,30
Thalianol,Col0_MF_Water_Agar_Rep 1_14_72h,Col0,Col0,MF,Water,Agar,Rep 1,14,72h,NA,0.179,43
Thalianol,Col0_MF_Water_Agar_Rep 1_37_72h,Col0,Col0,MF,Water,Agar,Rep 1,37,72h,NA,0.179,43
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_6_72h,ThaD,ThaD,MF,3OMG,Agar,Rep 1,6,72h,NA,0.179,27
Thalianol,ThaD_F16_Water_Agar_Rep 1_3_2weeks,ThaD,ThaD,F16,Water,Agar,Rep 1,3,2weeks,NA,0.179,21
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_8_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,8,72h,NA,0.179,34
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_7_72h,ThaD,ThaD,MF,3OMG,Agar,Rep 1,7,72h,NA,0.18,27
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_8_72h,ThaD,ThaD,F16,3OMG,Agar,Rep 1,8,72h,NA,0.18,27
Thalianol,ThaS2_MF_Water_Agar_Rep 1_32_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,32,72h,NA,0.18,45
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_8_72h,ThaD,ThaD,MF,3OMG,Agar,Rep 1,8,72h,NA,0.181,27
Thalianol,ThaD_F16_Water_Agar_Rep 1_11_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,11,72h,NA,0.181,21
Thalianol,ThaD_F16_Water_Agar_Rep 1_6_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,6,1week,NA,0.181,21
Thalianol,ThaS2_MF_Water_Agar_Rep 1_26_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,26,72h,NA,0.182,45
Thalianol,Col0_F16_Water_Agar_Rep 1_22_72h,Col0,Col0,F16,Water,Agar,Rep 1,22,72h,NA,0.183,30
Thalianol,Col0_F16_Water_Agar_Rep 1_26_1week,Col0,Col0,F16,Water,Agar,Rep 1,26,1week,NA,0.183,30
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_2_72h,ThaD,ThaD,F16,3OMG,Agar,Rep 1,2,72h,NA,0.183,27
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_5_72h,ThaD,ThaD,F16,3OMG,Agar,Rep 1,5,72h,NA,0.183,27
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_1_72h,ThaH,ThaH,MF,3OMG,Agar,Rep 1,1,72h,NA,0.183,31
Thalianol,Col0_MF_Water_Agar_Rep 1_5_72h,Col0,Col0,MF,Water,Agar,Rep 1,5,72h,NA,0.184,43
Thalianol,ThaD_MF_3OMG_Agar_Rep 1_4_1week,ThaD,ThaD,MF,3OMG,Agar,Rep 1,4,1week,NA,0.184,27
Thalianol,ThaS2_MF_Water_Agar_Rep 1_2_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,2,72h,NA,0.184,45
Thalianol,ThaS1_MF_Water_Agar_Rep 1_1_1week,ThaS1,ThaS1-1,MF,Water,Agar,Rep 1,1,1week,NA,0.185,32
Thalianol,ThaS2_F16_Water_Agar_Rep 1_16_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,16,72h,NA,0.185,30
Thalianol,ThaS2_MF_Water_Agar_Rep 1_7_1week,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,7,1week,NA,0.185,45
