"Plate";"Plate_Well";"Well";"Condition";"475nm/510nm";"600nm";"row";"col";"borders";"mad_475nm_510nm";"median_475nm_510nm";"TH_low";"TH_high";"adj475nm/510nm";"Interest"
44;"44_H2";"H2";"B329_WT+F16";628;0.115800001;"H";"2";"y";123.0558;762.5;NA;NA;0.823606557377049;"No"
44;"44_H3";"H3";"B329_WT+F16";939;0.132300004;"H";"3";"y";123.0558;762.5;NA;NA;1.23147540983607;"No"
44;"44_H4";"H4";"B329_WT+F16";677;0.122900002;"H";"4";"y";123.0558;762.5;NA;NA;0.887868852459016;"No"
45;"45_H1";"H1";"B329_WT+F16";708;0.120300002;"H";"1";"y";114.9015;835;NA;NA;0.847904191616766;"No"
45;"45_H2";"H2";"B329_WT+F16";665;0.133100003;"H";"2";"y";114.9015;835;NA;NA;0.796407185628742;"No"
45;"45_H3";"H3";"B329_WT+F16";732;0.133599997;"H";"3";"y";114.9015;835;NA;NA;0.876646706586826;"No"
45;"45_H4";"H4";"B329_WT+F16";732;0.139500007;"H";"4";"y";114.9015;835;NA;NA;0.876646706586826;"No"
46;"46_H1";"H1";"B329_WT+F16";890;0.152199998;"H";"1";"y";117.8667;985.5;NA;NA;0.903094875697615;"No"
46;"46_H2";"H2";"B329_WT+F16";1276;0.156599998;"H";"2";"y";117.8667;985.5;NA;NA;1.29477422628108;"No"
46;"46_H3";"H3";"B329_WT+F16";830;0.140799999;"H";"3";"y";117.8667;985.5;NA;NA;0.842212075088787;"No"
46;"46_H4";"H4";"B329_WT+F16";850;0.142199993;"H";"4";"y";117.8667;985.5;NA;NA;0.862506341958397;"No"
47;"47_H1";"H1";"B329_WT+F16";1259;0.1479;"H";"1";"y";134.9166;1386.5;NA;NA;0.908041831950956;"No"
47;"47_H2";"H2";"B329_WT+F16";1116;0.127900004;"H";"2";"y";134.9166;1386.5;NA;NA;0.804904435629282;"No"
47;"47_H3";"H3";"B329_WT+F16";1261;0.125599995;"H";"3";"y";134.9166;1386.5;NA;NA;0.909484313018392;"No"
47;"47_H4";"H4";"B329_WT+F16";1219;0.130600005;"H";"4";"y";134.9166;1386.5;NA;NA;0.879192210602236;"No"
48;"48_H1";"H1";"B329_WT+F16";1418;0.151099995;"H";"1";"y";157.1556;1451;NA;NA;0.977257064093728;"No"
48;"48_H2";"H2";"B329_WT+F16";1319;0.150399998;"H";"2";"y";157.1556;1451;NA;NA;0.909028256374914;"No"
48;"48_H3";"H3";"B329_WT+F16";1274;0.129999995;"H";"3";"y";157.1556;1451;NA;NA;0.878015161957271;"No"
