	SAMPLE_ID	GROUP	Plant	Treatment	Time	Mg.Plant	Unit	Compound	Labelled	PEAK_AREA	PEAK_AREA_Norm
203	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_Glc1P_00	No	569342429	22737317452
204	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_Glc1P_00	No	546019275	19287152066
205	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_Glc1P_00	No	141028091	9712678444
206	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_Glc1P_00	No	160667025	12822587789
207	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_Glc1P_00	No	176466005	12086712671
208	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_Glc1P_00	No	207425924	12059646744
209	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_Glc1P_00	No	175443147	14755521194
210	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_Glc1P_00	No	196893486	10591365573
211	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_Glc1P_00	No	199740366	9502396099
212	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_Glc1P_00	No	212165682	7729168743
213	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_Glc1P_00	No	454276289	6618244304
214	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_Glc1P_00	No	359469762	6546526352
215	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_Glc1P_00	No	377141175	5690978950
216	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_Glc1P_00	No	411002281	7643709894
217	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_Glc1P_00	No	324609374	6896311324
218	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_Glc1P_00	No	288131773	6570850011
219	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_Glc1P_00	No	386207668	6158629692
220	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_Glc1P_00	No	272269958	9142711820
221	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_Glc1P_00	No	353384992	NA
222	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_Glc1P_00	No	345101426	NA
223	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_Glc1P_00	No	335359866	NA
224	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_Glc1P_00	No	NA	NA
225	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_Glc6P_00	No	353712936	19804755655
226	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_Glc6P_00	No	888168364	52961739058
227	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_Glc6P_00	No	1344443288	23144143364
228	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_Glc6P_00	No	1000441826	28470171485
229	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_Glc6P_00	No	721871598	45004463716
230	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_Glc6P_00	No	845185410	40056180569
231	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_Glc6P_00	No	1096945448	43807725559
232	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_Glc6P_00	No	1060279265	37452464324
233	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_Glc6P_00	No	658527689	45353146625
234	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_Glc6P_00	No	825127144	65852126417
235	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_Glc6P_00	No	823757120	56421720548
236	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_Glc6P_00	No	920445346	53514264302
237	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_Glc6P_00	No	850901033	71564426661
238	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_Glc6P_00	No	1024377172	55103667133
239	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_Glc6P_00	No	958505107	45599672074
240	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_Glc6P_00	No	981154018	35743315774
241	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_Glc6P_00	No	1976585736	28796412238
242	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_Glc6P_00	No	1473392473	26832862375
243	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_Glc6P_00	No	1331754790	20095892410
244	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_Glc6P_00	No	1479703887	27519134964
245	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_Glc6P_00	No	1626249507	34549596495
246	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_Glc6P_00	No	1285515781	29316209373
247	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_Glc6P_00	No	1548595147	24694548668
248	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_Glc6P_00	No	1334784585	44821510578
249	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_Glc6P_00	No	1286385086	NA
250	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_Glc6P_00	No	1228641487	NA
251	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_Glc6P_00	No	1204882945	NA
252	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_Glc6P_00	No	NA	NA
253	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_gluconic_acid_00	No	689269259	38592903639
254	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_gluconic_acid_00	No	1530424996	91259689684
255	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_gluconic_acid_00	No	1974447346	33989453365
256	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_gluconic_acid_00	No	1246070268	35460166989
257	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_gluconic_acid_00	No	958762881	59773246945
258	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_gluconic_acid_00	No	1461015046	69242419242
259	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_gluconic_acid_00	No	1811577736	72347353674
260	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_gluconic_acid_00	No	1621320674	57270246344
261	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_gluconic_acid_00	No	1336144325	92020959022
262	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_gluconic_acid_00	No	1857119325	1.48214E+11
263	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_gluconic_acid_00	No	1953011308	1.33768E+11
264	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_gluconic_acid_00	No	2321995490	1.35E+11
265	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_gluconic_acid_00	No	1920391773	1.61513E+11
266	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_gluconic_acid_00	No	2446896843	1.31624E+11
267	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_gluconic_acid_00	No	2382324196	1.13336E+11
268	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_gluconic_acid_00	No	2649261911	96512273625
269	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_gluconic_acid_00	No	3966539979	57787587107
270	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_gluconic_acid_00	No	3560308380	64838979785
271	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_gluconic_acid_00	No	3889099279	58685668915
272	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_gluconic_acid_00	No	3550253022	66026650958
273	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_gluconic_acid_00	No	3533814740	75075732738
274	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_gluconic_acid_00	No	3754815795	85628638426
275	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_gluconic_acid_00	No	3890600926	62041156530
276	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_gluconic_acid_00	No	2967884834	99660336938
277	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_gluconic_acid_00	No	2351768532	NA
278	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_gluconic_acid_00	No	2520992265	NA
279	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_gluconic_acid_00	No	2574211857	NA
280	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_gluconic_acid_00	No	9765772	NA
281	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_glucose_00	No	603983318	33817654983
282	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_glucose_00	No	1270298538	75748272987
283	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_glucose_00	No	1994108646	34327916096
284	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_glucose_00	No	1318865699	37531750114
285	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_glucose_00	No	979408672	61060391022
286	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_glucose_00	No	1418030178	67205221706
287	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_glucose_00	No	1827825040	72996207668
288	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_glucose_00	No	1650032925	58284455140
289	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_glucose_00	No	830786375	57216692493
290	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_glucose_00	No	1191594628	95099331844
291	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_glucose_00	No	1290211807	88370671712
292	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_glucose_00	No	1635418934	95082496163
293	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_glucose_00	No	1245820835	1.04779E+11
294	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_glucose_00	No	1585404561	85282655245
295	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_glucose_00	No	1672858662	79584141865
296	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_glucose_00	No	1991903846	72564803133
297	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_glucose_00	No	2152737834	31362730682
298	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_glucose_00	No	3040724211	55376510854
299	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_glucose_00	No	3154451764	47599996439
300	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_glucose_00	No	2284158092	42480157932
301	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_glucose_00	No	1962215122	41687170639
302	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_glucose_00	No	2456649986	56023944949
303	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_glucose_00	No	2124410505	33876742226
304	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_glucose_00	No	1657626541	55662409033
305	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_glucose_00	No	1769600630	NA
306	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_glucose_00	No	1787563445	NA
307	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_glucose_00	No	1786486020	NA
308	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_glucose_00	No	3732353	NA
309	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_glucose_06	Yes	0	0
310	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_glucose_06	Yes	0	0
311	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_glucose_06	Yes	0	0
312	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_glucose_06	Yes	0	0
313	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_glucose_06	Yes	556537	34696820.45
314	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_glucose_06	Yes	779908	36962464.45
315	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_glucose_06	Yes	1462499	58406509.58
316	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_glucose_06	Yes	1133550	40040621.69
317	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_glucose_06	Yes	0	0
318	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_glucose_06	Yes	0	0
319	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_glucose_06	Yes	0	0
320	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_glucose_06	Yes	0	0
321	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_glucose_06	Yes	0	0
322	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_glucose_06	Yes	0	0
323	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_glucose_06	Yes	0	0
324	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_glucose_06	Yes	0	0
325	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_glucose_06	Yes	0	0
326	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_glucose_06	Yes	0	0
327	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_glucose_06	Yes	0	0
328	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_glucose_06	Yes	0	0
329	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_glucose_06	Yes	739638	15713575.53
330	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_glucose_06	Yes	1245827	28411106.04
331	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_glucose_06	Yes	1270065	20252989.95
332	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_glucose_06	Yes	599892	20144123.57
333	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_glucose_06	Yes	NA	NA
334	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_glucose_06	Yes	NA	NA
335	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_glucose_06	Yes	NA	NA
336	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_glucose_06	Yes	NA	NA
337	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_lactic_00	No	777272358	43520288802
338	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_lactic_00	No	215084488	12825550865
339	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_lactic_00	No	174818567	3009443398
340	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_lactic_00	No	270061655	7685306061
341	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_lactic_00	No	554697343	34582128616
342	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_lactic_00	No	216957676	10282354313
343	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_lactic_00	No	423712999	16921445647
344	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_lactic_00	No	164119362	5797222254
345	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_lactic_00	No	391140527	26938052824
346	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_lactic_00	No	185725478	14822464326
347	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_lactic_00	No	149773388	10258451233
348	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_lactic_00	No	180419661	10489515174
349	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_lactic_00	No	208284580	17517626577
350	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_lactic_00	No	234929000	12637385691
351	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_lactic_00	No	213709391	10166954853
352	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_lactic_00	No	157422374	5734877013
353	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_lactic_00	No	159503040	2323762238
354	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_lactic_00	No	159023662	2896078346
355	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_lactic_00	No	141249666	2131426981
356	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_lactic_00	No	432296546	8039734908
357	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_lactic_00	No	162445633	3451150053
358	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_lactic_00	No	133951848	3054774185
359	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_lactic_00	No	119179996	1900494275
360	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_lactic_00	No	113511738	3811676897
361	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_lactic_00	No	254147099	NA
362	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_lactic_00	No	211056801	NA
363	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_lactic_00	No	195703667	NA
364	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_lactic_00	No	64323002	NA
365	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_malate_00	No	2533911566	1.41876E+11
366	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_malate_00	No	5169332246	3.08249E+11
367	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_malate_00	No	6525200411	1.12329E+11
368	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_malate_00	No	5166462983	1.47025E+11
369	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_malate_00	No	3201440027	1.99591E+11
370	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_malate_00	No	4249095087	2.01379E+11
371	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_malate_00	No	5556406494	2.21901E+11
372	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_malate_00	No	5251007333	1.85482E+11
373	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_malate_00	No	7412535247	5.10505E+11
374	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_malate_00	No	10380353751	8.2844E+11
375	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_malate_00	No	10883982824	7.45478E+11
376	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_malate_00	No	11782614046	6.85036E+11
377	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_malate_00	No	6735610624	5.66494E+11
378	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_malate_00	No	9161343628	4.9281E+11
379	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_malate_00	No	10237316677	4.87027E+11
380	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_malate_00	No	9940408832	3.62128E+11
381	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_malate_00	No	17085714612	2.48918E+11
382	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_malate_00	No	11549682138	2.10338E+11
383	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_malate_00	No	12101057038	1.82602E+11
384	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_malate_00	No	13643582306	2.5374E+11
385	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_malate_00	No	10288523530	2.18579E+11
386	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_malate_00	No	10692370500	2.4384E+11
387	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_malate_00	No	12578226836	2.00578E+11
388	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_malate_00	No	9960244927	3.34461E+11
389	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_malate_00	No	9122070226	NA
390	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_malate_00	No	9313714120	NA
391	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_malate_00	No	9274516826	NA
392	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_malate_00	No	91754358	NA
393	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_pentose5P_00	No	6117978	342551959.7
394	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_pentose5P_00	No	18744759	1117755456
395	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_pentose5P_00	No	17868859	307606455.5
396	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_pentose5P_00	No	11857178	337426807.1
397	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_pentose5P_00	No	8366311	521590461.3
398	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_pentose5P_00	No	13432849	636627914.7
399	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_pentose5P_00	No	15308771	611372643.8
400	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_pentose5P_00	No	14180073	500885658.8
401	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_pentose5P_00	No	6752761	465066184.6
402	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_pentose5P_00	No	9985123	796897286.5
403	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_pentose5P_00	No	12967516	888186027.4
