	SAMPLE_ID	GROUP	Plant	Treatment	Time	Mg.Plant	Unit	Compound	Labelled	PEAK_AREA	PEAK_AREA_Norm
41	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_3OMG_06	Yes	0	0
42	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_3OMG_06	Yes	0	0
43	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_3OMG_06	Yes	0	0
44	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_3OMG_06	Yes	0	0
45	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_3OMG_06	Yes	0	0
46	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_3OMG_06	Yes	0	0
47	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_3OMG_06	Yes	0	0
48	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_3OMG_06	Yes	0	0
49	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_3OMG_06	Yes	0	0
50	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_3OMG_06	Yes	0	0
51	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_3OMG_06	Yes	0	0
52	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_3OMG_06	Yes	0	0
53	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_3OMG_06	Yes	NA	NA
54	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_3OMG_06	Yes	NA	NA
55	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_3OMG_06	Yes	NA	NA
56	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_3OMG_06	Yes	NA	NA
57	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_3OMG6P_06	Yes	0	0
58	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_3OMG6P_06	Yes	0	0
59	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_3OMG6P_06	Yes	0	0
60	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_3OMG6P_06	Yes	0	0
61	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_3OMG6P_06	Yes	704709295	43934494701
62	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_3OMG6P_06	Yes	1113723576	52783107867
63	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_3OMG6P_06	Yes	1786946781	71363689337
64	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_3OMG6P_06	Yes	1562628213	55197040374
65	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_3OMG6P_06	Yes	0	0
66	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_3OMG6P_06	Yes	0	0
67	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_3OMG6P_06	Yes	0	0
68	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_3OMG6P_06	Yes	0	0
