,Treatment,Pots,Rep,Microbes,Plants,Expe,SFW
90,Glucose,R1,4,MF,3,Fungal SynCom (n=4),0
91,Glucose,R1,5,MF,3,Fungal SynCom (n=4),0
92,Glucose,R2,1,MF,5,Fungal SynCom (n=4),30.6
93,Glucose,R2,2,MF,5,Fungal SynCom (n=4),15.1
94,Glucose,R2,3,MF,5,Fungal SynCom (n=4),16.4
95,Glucose,R2,4,MF,5,Fungal SynCom (n=4),18.2
96,Glucose,R2,5,MF,5,Fungal SynCom (n=4),15.8
97,Glucose,R3,1,MF,5,Fungal SynCom (n=4),6.4
98,Glucose,R3,2,MF,5,Fungal SynCom (n=4),26.1
99,Glucose,R3,3,MF,5,Fungal SynCom (n=4),20.8
100,Glucose,R3,4,MF,5,Fungal SynCom (n=4),21.2
101,Glucose,R3,5,MF,5,Fungal SynCom (n=4),36.1
102,Glucose,R4,1,MF,5,Fungal SynCom (n=4),24.7
103,Glucose,R4,2,MF,5,Fungal SynCom (n=4),11.9
104,Glucose,R4,3,MF,5,Fungal SynCom (n=4),14.2
105,Glucose,R4,4,MF,5,Fungal SynCom (n=4),25.2
106,Glucose,R4,5,MF,5,Fungal SynCom (n=4),25.3
107,Glucose,R1,1,FSC,3,Fungal SynCom (n=4),13.6
108,Glucose,R1,2,FSC,3,Fungal SynCom (n=4),11.1
109,Glucose,R1,3,FSC,3,Fungal SynCom (n=4),5.1
110,Glucose,R1,4,FSC,3,Fungal SynCom (n=4),0
111,Glucose,R1,5,FSC,3,Fungal SynCom (n=4),0
112,Glucose,R2,1,FSC,4,Fungal SynCom (n=4),7.1
113,Glucose,R2,2,FSC,4,Fungal SynCom (n=4),12
114,Glucose,R2,3,FSC,4,Fungal SynCom (n=4),11.1
115,Glucose,R2,4,FSC,4,Fungal SynCom (n=4),10.7
116,Glucose,R2,5,FSC,4,Fungal SynCom (n=4),0
117,Glucose,R3,1,FSC,4,Fungal SynCom (n=4),6
118,Glucose,R3,2,FSC,4,Fungal SynCom (n=4),18
119,Glucose,R3,3,FSC,4,Fungal SynCom (n=4),11.6
120,Glucose,R3,4,FSC,4,Fungal SynCom (n=4),25.5
121,Glucose,R3,5,FSC,4,Fungal SynCom (n=4),0
122,Glucose,R4,1,FSC,5,Fungal SynCom (n=4),19.9
123,Glucose,R4,2,FSC,5,Fungal SynCom (n=4),17.3
124,Glucose,R4,3,FSC,5,Fungal SynCom (n=4),20.5
125,Glucose,R4,4,FSC,5,Fungal SynCom (n=4),20.9
126,Glucose,R4,5,FSC,5,Fungal SynCom (n=4),11.3
