Strains	Expe	Expe2	Size	Kingdom	Rep	Plate	CtITS	Ct16S
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	26.41	22.72
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	23.98	16.74
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	24.2	16.55
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	24.48	16.71
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	23.99	16.45
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	24.06	16.31
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	23.86	15.81
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	21.61	15.55
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	21.69	15.26
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	23.05	16.5
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	20.92	17.29
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	23.3	17.55
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	21.63	17.56
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	22.08	17.26
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	22.08	17.19
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	21.91	16.9
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	24.05	21.89
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	23.48	21.07
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R1	P2-R1	24.92	22.12
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	23.07	20.44
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	23.26	21.03
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	23.12	20.91
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	24.07	18.24
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	24.82	18.4
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	24.04	18.5
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	23.08	18.61
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	23.56	18.07
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	23.34	18.35
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	20.79	17.55
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	21.08	17.27
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	21.13	17.05
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	21.36	17.44
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	20.69	17.74
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	21.62	18.28
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	21.6	17.84
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	22.14	18.15
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	22.27	18.26
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	22.3	20.38
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	22.16	20.42
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	P2-R2	21.83	19.52
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	26.51	22.75
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	22.15	20.28
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	25.57	21.15
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.63	18.19
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.42	17.98
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.6	18.2
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	25.1	18.34
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	25.13	18.57
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.9	18.17
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	21.39	18.09
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	21.38	18.38
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	22.72	18.66
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	21.84	19.2
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	21.86	18.96
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	22.11	19.11
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	23.06	18.28
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.52	19.08
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.78	18.89
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	22.76	19.97
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	24.31	21.07
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	P2-R3	22.51	20
