Strains	Expe	Expe2	Size	Kingdom	Rep	Fluorescens	OD600
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	135	0.086800002
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	136	0.086800002
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	143	0.094499998
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	140	0.092600003
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	143	0.092
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	147	0.093699999
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	224	0.099399999
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	145	0.095700003
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	222	0.111000001
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	213	0.111299999
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	242	0.118199997
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	139	0.098499998
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	153	0.100900002
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	138	0.095899999
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	140	0.0955
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	142	0.0942
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	141	0.095200002
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	137	0.088399999
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	135	0.0889
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R2	136	0.088799998
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	138	0.086599998
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	144	0.091200002
R9_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	143	0.0867
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	146	0.1021
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	153	0.101800002
R68_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	150	0.096900001
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	149	0.0977
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	144	0.094999999
R71_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	144	0.096100003
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	159	0.093900003
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	166	0.095700003
R329_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	180	0.098399997
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	136	0.092699997
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	129	0.092
R401_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	134	0.091799997
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	147	0.095600002
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	136	0.090099998
R562_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	138	0.090599999
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	134	0.088100001
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	128	0.086400002
R569_2	F16	Pseudomonas	Pairwise	Bacteria.Fungi	R3	139	0.089100003
