	Expe	Plant	System	Bio_rep	Tech_Rep	Microbes	Treatment	Time	Element	Weight_length	Nb	Weight_length_Per_Plant
15	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2972h	MF	3OMG	1 week	Roots	1.2	1	1.2
28	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	3OMG	1 week	Roots	1.58	1	1.58
41	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	3OMG	1 week	Roots	1.94	1	1.94
48	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	3OMG	1 week	Roots	2.05	1	2.05
66	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	3OMG	1 week	Roots	2.53	1	2.53
72	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	3OMG	1 week	Roots	3.27	1	3.27
76	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	3OMG	1 week	Roots	3.6	1	3.6
81	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	3OMG	1 week	Roots	4.21	1	4.21
85	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	3OMG	1 week	Roots	4.77	1	4.77
91	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	3OMG	1 week	Roots	5.71	1	5.71
93	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	28	MF	3OMG	1 week	Roots	6.05	1	6.05
99	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	3OMG	1 week	Roots	7.79	1	7.79
100	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	3OMG	1 week	Roots	7.9	1	7.9
103	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	3OMG	1 week	Roots	8.7	1	8.7
105	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	3OMG	1 week	Roots	9.1	1	9.1
106	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	3OMG	1 week	Roots	9.2	1	9.2
107	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	3OMG	1 week	Roots	9.23	1	9.23
109	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	3OMG	1 week	Roots	9.44	1	9.44
110	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	3OMG	1 week	Roots	9.45	1	9.45
112	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	3OMG	1 week	Roots	10.34	1	10.34
113	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	26	MF	3OMG	1 week	Roots	10.35	1	10.35
114	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	3OMG	1 week	Roots	10.41	1	10.41
115	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	3OMG	1 week	Roots	10.77	1	10.77
116	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	3OMG	1 week	Roots	11.15	1	11.15
117	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	3OMG	1 week	Roots	11.29	1	11.29
120	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	27	MF	3OMG	1 week	Roots	11.6	1	11.6
121	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	3OMG	1 week	Roots	11.75	1	11.75
123	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	3OMG	1 week	Roots	13.16	1	13.16
125	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	3OMG	1 week	Roots	13.65	1	13.65
197	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	Water	1 week	Roots	1.77	1	1.77
211	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	Water	1 week	Roots	2.28	1	2.28
229	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	Water	1 week	Roots	3.07	1	3.07
232	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	Water	1 week	Roots	3.51	1	3.51
234	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	Water	1 week	Roots	3.84	1	3.84
236	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	Water	1 week	Roots	4.39	1	4.39
243	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	Water	1 week	Roots	5.75	1	5.75
244	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	Water	1 week	Roots	5.81	1	5.81
248	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	Water	1 week	Roots	7.73	1	7.73
249	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	Water	1 week	Roots	9.69	1	9.69
250	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	Water	1 week	Roots	9.9	1	9.9
251	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	Water	1 week	Roots	10.14	1	10.14
252	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	29	MF	Water	1 week	Roots	10.14	1	10.14
253	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	Water	1 week	Roots	10.48	1	10.48
254	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	Water	1 week	Roots	10.58	1	10.58
255	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	Water	1 week	Roots	10.94	1	10.94
256	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	30	MF	Water	1 week	Roots	11.14	1	11.14
257	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	Water	1 week	Roots	11.9	1	11.9
258	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	Water	1 week	Roots	11.92	1	11.92
259	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	Water	1 week	Roots	12	1	12
260	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	Water	1 week	Roots	12.82	1	12.82
261	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	Water	1 week	Roots	13.21	1	13.21
262	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	26	MF	Water	1 week	Roots	13.55	1	13.55
263	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	Water	1 week	Roots	13.74	1	13.74
264	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	Water	1 week	Roots	13.81	1	13.81
266	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	Water	1 week	Roots	14.34	1	14.34
267	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	Water	1 week	Roots	14.37	1	14.37
268	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	Water	1 week	Roots	15.23	1	15.23
270	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	27	MF	Water	1 week	Roots	15.46	1	15.46
30	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	3OMG	2 weeks	Roots	1.68	1	1.68
33	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	3OMG	2 weeks	Roots	1.8	1	1.8
59	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	3OMG	2 weeks	Roots	2.39	1	2.39
62	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	3OMG	2 weeks	Roots	2.45	1	2.45
71	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	3OMG	2 weeks	Roots	2.94	1	2.94
111	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	3OMG	2 weeks	Roots	9.63	1	9.63
119	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	3OMG	2 weeks	Roots	11.33	1	11.33
127	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	3OMG	2 weeks	Roots	18.18	1	18.18
128	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	3OMG	2 weeks	Roots	19.42	1	19.42
131	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	3OMG	2 weeks	Roots	19.99	1	19.99
138	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	3OMG	2 weeks	Roots	22.71	1	22.71
141	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	3OMG	2 weeks	Roots	23.37	1	23.37
142	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	3OMG	2 weeks	Roots	24.25	1	24.25
145	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	3OMG	2 weeks	Roots	25.67	1	25.67
146	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	3OMG	2 weeks	Roots	26.56	1	26.56
151	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	3OMG	2 weeks	Roots	28.36	1	28.36
152	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	3OMG	2 weeks	Roots	28.99	1	28.99
153	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	3OMG	2 weeks	Roots	29.38	1	29.38
155	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	3OMG	2 weeks	Roots	29.47	1	29.47
158	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	3OMG	2 weeks	Roots	29.93	1	29.93
161	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	3OMG	2 weeks	Roots	30.6	1	30.6
162	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	3OMG	2 weeks	Roots	32.25	1	32.25
163	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	3OMG	2 weeks	Roots	32.56	1	32.56
164	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	3OMG	2 weeks	Roots	33.34	1	33.34
165	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	3OMG	2 weeks	Roots	35.03	1	35.03
166	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	26	MF	3OMG	2 weeks	Roots	35.24	1	35.24
189	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	Water	2 weeks	Roots	1.5	1	1.5
226	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	Water	2 weeks	Roots	2.94	1	2.94
235	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	Water	2 weeks	Roots	4.1	1	4.1
237	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	Water	2 weeks	Roots	4.85	1	4.85
247	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	Water	2 weeks	Roots	7.58	1	7.58
265	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	Water	2 weeks	Roots	14.15	1	14.15
269	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	Water	2 weeks	Roots	15.39	1	15.39
271	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	28	MF	Water	2 weeks	Roots	18.94	1	18.94
272	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	Water	2 weeks	Roots	19.37	1	19.37
273	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	Water	2 weeks	Roots	27.33	1	27.33
274	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	Water	2 weeks	Roots	27.46	1	27.46
275	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	26	MF	Water	2 weeks	Roots	30.83	1	30.83
276	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	Water	2 weeks	Roots	31.53	1	31.53
277	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	Water	2 weeks	Roots	32.07	1	32.07
278	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	Water	2 weeks	Roots	33.09	1	33.09
279	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	Water	2 weeks	Roots	35.04	1	35.04
280	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	Water	2 weeks	Roots	35.5	1	35.5
281	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	Water	2 weeks	Roots	36.43	1	36.43
282	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	27	MF	Water	2 weeks	Roots	36.77	1	36.77
283	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	29	MF	Water	2 weeks	Roots	37.68	1	37.68
284	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	Water	2 weeks	Roots	38.59	1	38.59
285	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	Water	2 weeks	Roots	39.25	1	39.25
286	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	Water	2 weeks	Roots	39.5	1	39.5
287	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	Water	2 weeks	Roots	39.76	1	39.76
288	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	Water	2 weeks	Roots	39.94	1	39.94
289	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	Water	2 weeks	Roots	40.11	1	40.11
290	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	Water	2 weeks	Roots	42.37	1	42.37
291	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	Water	2 weeks	Roots	43.3	1	43.3
292	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	Water	2 weeks	Roots	44.1	1	44.1
2	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	3OMG	72h	Roots	0.73	1	0.73
5	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	3OMG	72h	Roots	0.85	1	0.85
6	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	3OMG	72h	Roots	0.86	1	0.86
9	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	3OMG	72h	Roots	0.99	1	0.99
11	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	3OMG	72h	Roots	1.04	1	1.04
13	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	3OMG	72h	Roots	1.13	1	1.13
14	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	3OMG	72h	Roots	1.13	1	1.13
18	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	3OMG	72h	Roots	1.35	1	1.35
19	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	3OMG	72h	Roots	1.37	1	1.37
20	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	3OMG	72h	Roots	1.39	1	1.39
21	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	3OMG	72h	Roots	1.4	1	1.4
26	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	3OMG	72h	Roots	1.53	1	1.53
29	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	3OMG	72h	Roots	1.64	1	1.64
31	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	3OMG	72h	Roots	1.75	1	1.75
35	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	3OMG	72h	Roots	1.82	1	1.82
39	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	3OMG	72h	Roots	1.87	1	1.87
43	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	3OMG	72h	Roots	1.97	1	1.97
44	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	3OMG	72h	Roots	1.97	1	1.97
49	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	3OMG	72h	Roots	2.12	1	2.12
51	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	3OMG	72h	Roots	2.14	1	2.14
52	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	3OMG	72h	Roots	2.15	1	2.15
63	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	3OMG	72h	Roots	2.47	1	2.47
64	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	3OMG	72h	Roots	2.48	1	2.48
67	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	3OMG	72h	Roots	2.61	1	2.61
170	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	29	MF	Water	72h	Roots	0.88	1	0.88
171	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	Water	72h	Roots	0.9	1	0.9
173	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	Water	72h	Roots	0.95	1	0.95
174	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	Water	72h	Roots	0.97	1	0.97
175	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	28	MF	Water	72h	Roots	1.12	1	1.12
176	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	Water	72h	Roots	1.13	1	1.13
177	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	Water	72h	Roots	1.16	1	1.16
179	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	Water	72h	Roots	1.21	1	1.21
182	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	Water	72h	Roots	1.27	1	1.27
190	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	Water	72h	Roots	1.52	1	1.52
191	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	26	MF	Water	72h	Roots	1.54	1	1.54
195	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	Water	72h	Roots	1.71	1	1.71
196	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	Water	72h	Roots	1.75	1	1.75
198	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	Water	72h	Roots	1.79	1	1.79
199	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	Water	72h	Roots	1.81	1	1.81
200	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	Water	72h	Roots	1.98	1	1.98
201	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	Water	72h	Roots	2.02	1	2.02
207	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	Water	72h	Roots	2.19	1	2.19
209	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	Water	72h	Roots	2.27	1	2.27
210	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	Water	72h	Roots	2.27	1	2.27
212	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	Water	72h	Roots	2.29	1	2.29
214	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	Water	72h	Roots	2.44	1	2.44
216	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	Water	72h	Roots	2.49	1	2.49
217	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	Water	72h	Roots	2.56	1	2.56
220	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	Water	72h	Roots	2.75	1	2.75
222	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	Water	72h	Roots	2.78	1	2.78
224	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	Water	72h	Roots	2.89	1	2.89
225	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	27	MF	Water	72h	Roots	2.89	1	2.89
231	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	Water	72h	Roots	3.18	1	3.18
293	Flowpots_Carbohydrates		Flowpot	R1	4	MF	3OMG	5 weeks	Shoots	27.3	5	5.46
294	Flowpots_Carbohydrates		Flowpot	R1	2	MF	3OMG	5 weeks	Shoots	22.9	3	7.633333333
295	Flowpots_Carbohydrates		Flowpot	R1	1	MF	3OMG	5 weeks	Shoots	58	4	14.5
296	Flowpots_Carbohydrates		Flowpot	R1	3	MF	3OMG	5 weeks	Shoots	87	5	17.4
297	Flowpots_Carbohydrates		Flowpot	R1	2	MF	Water	5 weeks	Shoots	56.9	4	14.225
298	Flowpots_Carbohydrates		Flowpot	R1	3	MF	Water	5 weeks	Shoots	32.2	2	16.1
299	Flowpots_Carbohydrates		Flowpot	R1	4	MF	Water	5 weeks	Shoots	128	6	21.33333333
300	Flowpots_Carbohydrates		Flowpot	R1	1	MF	Water	5 weeks	Shoots	124	5	24.8
334	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	26	MF	Water	1 week	Roots	2.116	1	2.116
345	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	7	MF	Water	1 week	Roots	2.598	1	2.598
375	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	16	MF	Water	1 week	Roots	3.613	1	3.613
376	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	37	MF	Water	1 week	Roots	3.759	1	3.759
378	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	15	MF	Water	1 week	Roots	3.955	1	3.955
380	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	46	MF	Water	1 week	Roots	4.025	1	4.025
381	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	44	MF	Water	1 week	Roots	4.076	1	4.076
383	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	48	MF	Water	1 week	Roots	4.395	1	4.395
384	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	13	MF	Water	1 week	Roots	4.748	1	4.748
385	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	35	MF	Water	1 week	Roots	4.839	1	4.839
386	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	38	MF	Water	1 week	Roots	5.47	1	5.47
387	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	50	MF	Water	1 week	Roots	6.057	1	6.057
388	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	28	MF	Water	1 week	Roots	6.656	1	6.656
389	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	24	MF	Water	1 week	Roots	6.976	1	6.976
390	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	36	MF	Water	1 week	Roots	7.965	1	7.965
391	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	9	MF	Water	1 week	Roots	10.52	1	10.52
392	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	22	MF	Water	1 week	Roots	10.619	1	10.619
393	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	34	MF	Water	1 week	Roots	10.977	1	10.977
394	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	29	MF	Water	1 week	Roots	11.597	1	11.597
395	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	20	MF	Water	1 week	Roots	11.862	1	11.862
396	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	17	MF	Water	1 week	Roots	11.962	1	11.962
397	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	4	MF	Water	1 week	Roots	12.017	1	12.017
398	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	49	MF	Water	1 week	Roots	12.098	1	12.098
399	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	18	MF	Water	1 week	Roots	12.148	1	12.148
400	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	23	MF	Water	1 week	Roots	12.524	1	12.524
401	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	6	MF	Water	1 week	Roots	12.762	1	12.762
402	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	27	MF	Water	1 week	Roots	12.783	1	12.783
403	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	43	MF	Water	1 week	Roots	12.867	1	12.867
404	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	42	MF	Water	1 week	Roots	12.956	1	12.956
405	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	33	MF	Water	1 week	Roots	13.141	1	13.141
406	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	19	MF	Water	1 week	Roots	13.182	1	13.182
407	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	21	MF	Water	1 week	Roots	13.187	1	13.187
408	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	10	MF	Water	1 week	Roots	13.258	1	13.258
409	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	30	MF	Water	1 week	Roots	13.301	1	13.301
410	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	25	MF	Water	1 week	Roots	13.766	1	13.766
411	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	11	MF	Water	1 week	Roots	13.89	1	13.89
412	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	2	MF	Water	1 week	Roots	14.323	1	14.323
413	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	8	MF	Water	1 week	Roots	14.39	1	14.39
414	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	47	MF	Water	1 week	Roots	15.167	1	15.167
415	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	12	MF	Water	1 week	Roots	15.523	1	15.523
416	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	31	MF	Water	1 week	Roots	15.604	1	15.604
417	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	32	MF	Water	1 week	Roots	15.726	1	15.726
418	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	14	MF	Water	1 week	Roots	15.799	1	15.799
419	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	5	MF	Water	1 week	Roots	15.878	1	15.878
420	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	39	MF	Water	1 week	Roots	16.085	1	16.085
421	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	1	MF	Water	1 week	Roots	16.155	1	16.155
422	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	45	MF	Water	1 week	Roots	16.773	1	16.773
423	Methyl_Sugar_Screen	Arabidopsis_thaliana	Agar	R1	41	MF	Water	1 week	Roots	17.083	1	17.083
