	ID2	System	Plant	Experiment	Bio_rep	Tech_Rep	Microbes	Treatment	Element	Weight	Tube	Tube+element	Microbial ID	Primers	CT	UBQ10	Kingdom
26	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	FSC	Water	Matrix	274.6	1994.5	2269.1	MiniSC	Primer_16S	17.88		Bacteria
27	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	FSC	Water	Matrix	625	1809.7	2434.7	MiniSC	Primer_16S	23.19		Bacteria
28	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	FSC	Water	Matrix	350	1887	2237	MiniSC	Primer_16S	18.53		Bacteria
29	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	FSC	Water	Matrix	437.7	1848.2	2285.9	MiniSC	Primer_16S	17.29		Bacteria
30	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	FSC	Water	Matrix	470.6	1949.5	2420.1	MiniSC	Primer_16S	17.05		Bacteria
31	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	FSC	Water	Matrix	556.2	1931.1	2487.3	MiniSC	Primer_16S	17.34		Bacteria
32	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_FSC_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	FSC	Water	Matrix	461.6	1876.3	2337.9	MiniSC	Primer_16S	19.67		Bacteria
33	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	FSC	Glucose	Matrix	630.4	1957.1	2587.5	MiniSC	Primer_16S	15.99		Bacteria
34	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	FSC	Glucose	Matrix	348.3	1860.5	2208.8	MiniSC	Primer_16S	28.96		Bacteria
35	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	FSC	Glucose	Matrix	505.5	1845.1	2350.6	MiniSC	Primer_16S	17.44		Bacteria
36	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	FSC	Glucose	Matrix	498.3	1895.9	2394.2	MiniSC	Primer_16S	27.1		Bacteria
37	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	FSC	Glucose	Matrix	647.3	1878.9	2526.2	MiniSC	Primer_16S	30.48		Bacteria
38	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	FSC	Glucose	Matrix	385.1	1872.5	2257.6	MiniSC	Primer_16S	17.4		Bacteria
39	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	FSC	Glucose	Matrix	492.9	1843.7	2336.6	MiniSC	Primer_16S	23.32		Bacteria
40	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_FSC_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	FSC	Glucose	Matrix	418.9	1811.6	2230.5	MiniSC	Primer_16S	16.85		Bacteria
41	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	FSC	3OMG	Matrix	645.7	1862	2507.7	MiniSC	Primer_16S	15.93		Bacteria
42	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_FSC_3OMG_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	FSC	3OMG	Matrix	360.8	1929.2	2290	MiniSC	Primer_16S	15.45		Bacteria
