1	Well	Plate_ID	OD600	Plecto_ID	Plecto_ID2	Condition	Replicate
343	E6	Plecto_MF_4	0.084899999	Empty	Empty	MF	4
344	E7	Plecto_MF_4	0.084399998	Empty	Empty	MF	4
345	E8	Plecto_MF_4	0.084399998	Empty	Empty	MF	4
346	E9	Plecto_MF_4	0.085100003	Empty	Empty	MF	4
347	E10	Plecto_MF_4	0.084899999	Empty	Empty	MF	4
348	E11	Plecto_MF_4	0.084700003	Empty	Empty	MF	4
349	E12	Plecto_MF_4	0.085600004	Empty	Empty	MF	4
350	F1	Plecto_MF_4	0.085299999	Empty	Empty	MF	4
351	F2	Plecto_MF_4	0.086000003	Empty	Empty	MF	4
352	F3	Plecto_MF_4	0.086199999	Empty	Empty	MF	4
353	F4	Plecto_MF_4	0.084899999	Empty	Empty	MF	4
354	F5	Plecto_MF_4	0.084799998	Empty	Empty	MF	4
355	F6	Plecto_MF_4	0.085299999	Empty	Empty	MF	4
356	F7	Plecto_MF_4	0.084600002	Empty	Empty	MF	4
357	F8	Plecto_MF_4	0.085299999	Empty	Empty	MF	4
358	F9	Plecto_MF_4	0.085100003	Empty	Empty	MF	4
359	F10	Plecto_MF_4	0.085199997	Empty	Empty	MF	4
360	F11	Plecto_MF_4	0.085600004	Empty	Empty	MF	4
361	F12	Plecto_MF_4	0.087200001	Empty	Empty	MF	4
362	G1	Plecto_MF_4	0.084899999	Empty	Empty	MF	4
363	G2	Plecto_MF_4	0.0867	Empty	Empty	MF	4
364	G3	Plecto_MF_4	0.0867	Empty	Empty	MF	4
365	G4	Plecto_MF_4	0.086300001	Empty	Empty	MF	4
366	G5	Plecto_MF_4	0.085000001	Empty	Empty	MF	4
367	G6	Plecto_MF_4	0.085000001	Empty	Empty	MF	4
368	G7	Plecto_MF_4	0.085299999	Empty	Empty	MF	4
369	G8	Plecto_MF_4	0.087099999	Empty	Empty	MF	4
370	G9	Plecto_MF_4	0.085299999	Empty	Empty	MF	4
371	G10	Plecto_MF_4	0.086000003	Empty	Empty	MF	4
372	G11	Plecto_MF_4	0.085000001	Empty	Empty	MF	4
373	G12	Plecto_MF_4	0.085199997	Empty	Empty	MF	4
374	H1	Plecto_MF_4	0.085600004	Empty	Empty	MF	4
375	H2	Plecto_MF_4	0.086499996	Empty	Empty	MF	4
376	H3	Plecto_MF_4	0.085000001	Empty	Empty	MF	4
377	H4	Plecto_MF_4	0.084899999	Empty	Empty	MF	4
378	H5	Plecto_MF_4	0.086400002	Empty	Empty	MF	4
379	H6	Plecto_MF_4	0.085900001	Empty	Empty	MF	4
380	H7	Plecto_MF_4	0.085900001	Empty	Empty	MF	4
381	H8	Plecto_MF_4	0.0854	Empty	Empty	MF	4
382	H9	Plecto_MF_4	0.086099997	Empty	Empty	MF	4
383	H10	Plecto_MF_4	0.0867	Empty	Empty	MF	4
384	H11	Plecto_MF_4	0.0858	Empty	Empty	MF	4
385	H12	Plecto_MF_4	0.086599998	Empty	Empty	MF	4
386	A1	Plecto_R329_1	0.1373	P1	P1	R329	1
387	A2	Plecto_R329_1	0.128099993	P2	P2	R329	1
388	A3	Plecto_R329_1	0.122900002	P3	P3	R329	1
389	A4	Plecto_R329_1	0.118699998	P4	P4	R329	1
390	A5	Plecto_R329_1	0.110799998	P5	P5	R329	1
391	A6	Plecto_R329_1	0.115699999	P6	P6	R329	1
392	A7	Plecto_R329_1	0.120399997	P7	P7	R329	1
393	A8	Plecto_R329_1	0.100299999	P8	P8	R329	1
394	A9	Plecto_R329_1	0.130700007	P9	P9	R329	1
395	A10	Plecto_R329_1	0.107500002	P10	P10	R329	1
396	A11	Plecto_R329_1	0.131600007	P11	P11	R329	1
397	A12	Plecto_R329_1	0.136399999	P12	P12	R329	1
398	B1	Plecto_R329_1	0.114799999	P13	P13	R329	1
399	B2	Plecto_R329_1	0.096100003	P14	P14	R329	1
400	B3	Plecto_R329_1	0.112499997	P15	P15	R329	1
401	B4	Plecto_R329_1	0.106799997	P16	P16	R329	1
402	B5	Plecto_R329_1	0.100400001	P17	P17	R329	1
403	B6	Plecto_R329_1	0.101400003	P18	P18	R329	1
404	B7	Plecto_R329_1	0.111599997	P19	P19	R329	1
405	B8	Plecto_R329_1	0.106299996	P20	P20	R329	1
406	B9	Plecto_R329_1	0.098800004	P21	P21	R329	1
407	B10	Plecto_R329_1	0.1061	P22	P22	R329	1
408	B11	Plecto_R329_1	0.114299998	P23	P23	R329	1
409	B12	Plecto_R329_1	0.135299996	P24	P24	R329	1
410	C1	Plecto_R329_1	0.1241	P25	P25	R329	1
411	C2	Plecto_R329_1	0.109999999	P26	P26	R329	1
412	C3	Plecto_R329_1	0.104500003	P27	P27	R329	1
413	C4	Plecto_R329_1	0.097099997	P28	P28	R329	1
414	C5	Plecto_R329_1	0.093699999	P29	P29	R329	1
415	C6	Plecto_R329_1	0.111100003	P30	P30	R329	1
416	C7	Plecto_R329_1	0.102600001	P31	P31	R329	1
417	C8	Plecto_R329_1	0.103100002	P32	P32	R329	1
418	C9	Plecto_R329_1	0.105999999	P33	P33	R329	1
419	C10	Plecto_R329_1	0.113899998	P34	P34	R329	1
420	C11	Plecto_R329_1	0.103	P35	P35	R329	1
421	C12	Plecto_R329_1	0.128199995	P36	P36	R329	1
422	D1	Plecto_R329_1	0.115699999	P38	P38	R329	1
423	D2	Plecto_R329_1	0.094899997	P39	P39	R329	1
